
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 147 for June 30, 2009.
[00:00:34.000 --> 00:00:37.000]   I lost my handy.
[00:00:37.000 --> 00:00:41.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:46.000]   For your free audio book, visit audible.com/macbreak.
[00:00:46.000 --> 00:00:52.000]   And by Drobo, and the new Drobo Pro with expanded capacity
[00:00:52.000 --> 00:00:54.000]   and performance for small businesses.
[00:00:54.000 --> 00:00:58.000]   To learn more about Drobo Pro and for special offers on the Drobo,
[00:00:58.000 --> 00:01:02.000]   visit Drobo.com/macbreak.
[00:01:02.000 --> 00:01:06.000]   And by Go to Meeting, business travel can kill your
[00:01:06.000 --> 00:01:10.000]   company's profits, so do more, save more, and travel less
[00:01:10.000 --> 00:01:11.000]   with Go to Meeting.
[00:01:11.000 --> 00:01:16.000]   For your free 30-day trial, visit GoToMeeting.com/macbreak.
[00:01:16.000 --> 00:01:19.000]   It's time for Mac Break Weekly, the show that covers all things
[00:01:19.000 --> 00:01:21.000]   Macintosh my last episode.
[00:01:21.000 --> 00:01:26.000]   Before three out of the four panelists go to China.
[00:01:26.000 --> 00:01:28.000]   Alex Lindsay, we're leaving you behind.
[00:01:28.000 --> 00:01:29.000]   AlexLindsayapixelcourt.tv.
[00:01:29.000 --> 00:01:30.000]   You can't go.
[00:01:30.000 --> 00:01:32.000]   I might think about something I'm going to say.
[00:01:32.000 --> 00:01:33.000]   You've got to take over the show.
[00:01:33.000 --> 00:01:35.000]   You've got to run this place.
[00:01:35.000 --> 00:01:36.000]   We need you here.
[00:01:36.000 --> 00:01:37.000]   I'll hold down the fort.
[00:01:37.000 --> 00:01:38.000]   Hold down the fort.
[00:01:38.000 --> 00:01:40.000]   Well, I'll be here Tuesday.
[00:01:40.000 --> 00:01:42.000]   Oh, you will.
[00:01:42.000 --> 00:01:43.000]   That's right.
[00:01:43.000 --> 00:01:46.000]   Alex is going to have somebody to be with him because Andy Ennaco
[00:01:46.000 --> 00:01:48.000]   doesn't leave for China until the following week.
[00:01:48.000 --> 00:01:49.000]   Yes.
[00:01:49.000 --> 00:01:50.000]   You're going later.
[00:01:50.000 --> 00:01:52.000]   Andy Ennaco from the Chicago Sun Times.
[00:01:52.000 --> 00:01:55.000]   Also with us, Scott Born, who is also here, but he has the
[00:01:55.000 --> 00:01:57.000]   shirt that looks like he's traveling.
[00:01:57.000 --> 00:01:58.000]   So wait a minute.
[00:01:58.000 --> 00:02:00.000]   Three of the four panelists are going to China.
[00:02:00.000 --> 00:02:02.000]   This either means that I'm no longer a panelist or that I'm
[00:02:02.000 --> 00:02:03.000]   going to China.
[00:02:03.000 --> 00:02:04.000]   Did I count wrong?
[00:02:04.000 --> 00:02:05.000]   Yes.
[00:02:05.000 --> 00:02:06.000]   Three out of five.
[00:02:06.000 --> 00:02:07.000]   Okay.
[00:02:07.000 --> 00:02:10.000]   Well, normally Mr. Don McAllister is not with us.
[00:02:10.000 --> 00:02:11.000]   Screencast's online.
[00:02:11.000 --> 00:02:14.000]   He's a semi-regular visitor to Mac Break Weekly, but he is
[00:02:14.000 --> 00:02:15.000]   going to China.
[00:02:15.000 --> 00:02:16.000]   Yes.
[00:02:16.000 --> 00:02:18.000]   I've dragged myself away from my preparations.
[00:02:18.000 --> 00:02:21.000]   I'm still hurriedly preparing slides and all sorts of things.
[00:02:21.000 --> 00:02:23.000]   So it's, yeah, but I need to break.
[00:02:23.000 --> 00:02:25.000]   Oh, I need to break badly.
[00:02:25.000 --> 00:02:28.000]   And I'm not going to get one because I have to do everything.
[00:02:28.000 --> 00:02:31.000]   I have to not only do my radio show ahead of time and do all the
[00:02:31.000 --> 00:02:34.000]   Twitch shows ahead of time, most of which we prerecorded.
[00:02:34.000 --> 00:02:38.000]   I'm also going to be doing those four lectures one of these days
[00:02:38.000 --> 00:02:41.000]   that I have to deliver on Mac Mania 9.
[00:02:41.000 --> 00:02:42.000]   There's always that.
[00:02:42.000 --> 00:02:46.000]   One of these days I committed to four lectures, 60 iPhone apps
[00:02:46.000 --> 00:02:47.000]   and 60 seconds.
[00:02:47.000 --> 00:02:48.000]   That should be easy.
[00:02:48.000 --> 00:02:50.000]   I've got at least 60 on my phone alone.
[00:02:50.000 --> 00:02:51.000]   Exactly.
[00:02:51.000 --> 00:02:53.000]   Just hold on to my phone and say, "Here, please."
[00:02:53.000 --> 00:02:54.000]   Look, can you see that?
[00:02:54.000 --> 00:02:55.000]   Can you see that?
[00:02:55.000 --> 00:02:58.000]   60 freeware downloads in 60 seconds.
[00:02:58.000 --> 00:03:02.000]   I'm just going to take all of your picks for the last two years.
[00:03:02.000 --> 00:03:07.000]   Then an easy one for me, which is an introduction to social media
[00:03:07.000 --> 00:03:09.000]   because I live it.
[00:03:09.000 --> 00:03:13.000]   And then finally I have to do a lecture on home theater PC
[00:03:13.000 --> 00:03:15.000]   using a Mac mini.
[00:03:15.000 --> 00:03:20.000]   That's the one that's going to kill me before I get off the ship.
[00:03:20.000 --> 00:03:22.000]   Because you can't do any of this in China, of course.
[00:03:22.000 --> 00:03:23.000]   You've got to do it now.
[00:03:23.000 --> 00:03:24.000]   I'm leaving in two days.
[00:03:24.000 --> 00:03:26.000]   So, Don, we're excited, aren't we?
[00:03:26.000 --> 00:03:30.000]   Don did a really nice, really nice I-Web page.
[00:03:30.000 --> 00:03:31.000]   Oh, yeah.
[00:03:31.000 --> 00:03:34.000]   Well, I was sort of, it just happened to be a chance actually.
[00:03:34.000 --> 00:03:36.000]   I need to think of a show to do when I come back.
[00:03:36.000 --> 00:03:37.000]   I'm actually taking two weeks off.
[00:03:37.000 --> 00:03:40.000]   Normally I do prepare shows in advance, but this time I thought,
[00:03:40.000 --> 00:03:41.000]   no, it was just too much work.
[00:03:41.000 --> 00:03:44.000]   Unlike some who only have four sessions, I've actually got six sessions
[00:03:44.000 --> 00:03:45.000]   to put together.
[00:03:45.000 --> 00:03:46.000]   You have six?
[00:03:46.000 --> 00:03:47.000]   Yeah.
[00:03:47.000 --> 00:03:48.000]   Yeah.
[00:03:48.000 --> 00:03:50.000]   Oh, they...
[00:03:50.000 --> 00:03:54.000]   So, you know what you should have made in retrospect one session B is
[00:03:54.000 --> 00:03:58.000]   doing an I-Web page for your trip to China.
[00:03:58.000 --> 00:03:59.000]   That's right.
[00:03:59.000 --> 00:04:00.000]   That's right.
[00:04:00.000 --> 00:04:01.000]   No, but I'll save that for when I come back.
[00:04:01.000 --> 00:04:05.000]   So, I hurriedly put together one and I'm actually going to use that
[00:04:05.000 --> 00:04:07.000]   to talkload photos, upload videos.
[00:04:07.000 --> 00:04:10.000]   There's a blog on there as well which I'm going to try and use with my iPhone.
[00:04:10.000 --> 00:04:12.000]   I've integrated a Tumblr blog so well.
[00:04:12.000 --> 00:04:14.000]   We're going to have a go with that as well.
[00:04:14.000 --> 00:04:16.000]   But, yeah, see how it goes really.
[00:04:16.000 --> 00:04:19.000]   And then when I come back, I'll be able to do a tutorial on how I put the website
[00:04:19.000 --> 00:04:23.000]   together, how the different tools worked, and what I found the most useful and
[00:04:23.000 --> 00:04:24.000]   most successful.
[00:04:24.000 --> 00:04:30.000]   You inspire me to open up I-Web because I hadn't opened it up since '06,
[00:04:30.000 --> 00:04:31.000]   probably, and play with a little bit.
[00:04:31.000 --> 00:04:34.000]   They have some nice little widgets now like this time to departure.
[00:04:34.000 --> 00:04:35.000]   That's right.
[00:04:35.000 --> 00:04:36.000]   That's right.
[00:04:36.000 --> 00:04:37.000]   Yeah.
[00:04:37.000 --> 00:04:41.000]   There's a nice RSS widget so you can have just a blank page and bring in an RSS feed.
[00:04:41.000 --> 00:04:43.000]   And that's what I've done for Tumblr.
[00:04:43.000 --> 00:04:47.000]   You can have audio or you can have text or you can have photos.
[00:04:47.000 --> 00:04:51.000]   And basically just embedded a Tumblr RSS feed in there.
[00:04:51.000 --> 00:04:53.000]   So I should be able to update that from my iPhone and it should appear within
[00:04:53.000 --> 00:04:54.000]   the I-Web page.
[00:04:54.000 --> 00:04:55.000]   So, well-
[00:04:55.000 --> 00:04:56.000]   This is actually fun.
[00:04:56.000 --> 00:04:59.000]   This is for, I think, for you and me and Annie, I don't know about you,
[00:04:59.000 --> 00:05:04.000]   Annie, but I presume it's going to be an experiment in how much live blogging
[00:05:04.000 --> 00:05:06.000]   real-time coverage you can do of something like this.
[00:05:06.000 --> 00:05:10.000]   Well, as long as we don't get too wrapped up in the technology and forget about the content,
[00:05:10.000 --> 00:05:12.000]   I mean, you're more of a content guy so you'll probably be providing the content.
[00:05:12.000 --> 00:05:14.000]   And I'll just be playing with the tools.
[00:05:14.000 --> 00:05:15.000]   Well, I see how it goes.
[00:05:15.000 --> 00:05:16.000]   Yeah, it's fun.
[00:05:16.000 --> 00:05:17.000]   I mean, this is fun for me.
[00:05:17.000 --> 00:05:19.000]   Are you going to do anything, Andy, from the...
[00:05:19.000 --> 00:05:20.000]   I guess you're on a boat.
[00:05:20.000 --> 00:05:22.000]   So you're not going to have as much of an opportunity to.
[00:05:22.000 --> 00:05:23.000]   Yeah, probably not.
[00:05:23.000 --> 00:05:26.000]   I have a day in a hotel before and then a couple days after.
[00:05:26.000 --> 00:05:29.000]   So hopefully I will have some stuff.
[00:05:29.000 --> 00:05:33.000]   But hopefully when I get back to Shanghai, I can do a couple days' worth of stuff,
[00:05:33.000 --> 00:05:34.000]   and start posting.
[00:05:34.000 --> 00:05:40.000]   I'm mostly looking into making sure that I know how to use Mars edit for archiving,
[00:05:40.000 --> 00:05:44.000]   setting up a whole bunch of things on a bunch of blogs I'm doing to set up so they can
[00:05:44.000 --> 00:05:47.000]   basically deploy while I'm away and create the illusion that I'm actually still in the
[00:05:47.000 --> 00:05:48.000]   United States of America.
[00:05:48.000 --> 00:05:50.000]   Again, I've never...
[00:05:50.000 --> 00:05:55.000]   And cruises that we've done before, we've had Internet access that was expensive, but it's sort of work,
[00:05:55.000 --> 00:05:57.000]   so you could sort of budget what you're going to do.
[00:05:57.000 --> 00:06:01.000]   This is the first time that I'm simply going to assume that I'm not going to have access.
[00:06:01.000 --> 00:06:04.000]   Actually, it does put one big item on my to-do list time.
[00:06:04.000 --> 00:06:09.000]   I've been sort of putting off switching my email host provider because they give me sort of
[00:06:09.000 --> 00:06:13.000]   extremely good service, but very limited amount of storage space.
[00:06:13.000 --> 00:06:16.000]   And so that means that I have to make sure that happens well before I leave so that the
[00:06:16.000 --> 00:06:17.000]   changeover is in place.
[00:06:17.000 --> 00:06:21.000]   So if I don't answer my email for a whole week in worst case scenarios, there'll be
[00:06:21.000 --> 00:06:24.000]   plenty of storage that all that stuff will just simply fill up in the inbox.
[00:06:24.000 --> 00:06:26.000]   Are we just weird?
[00:06:26.000 --> 00:06:28.000]   Or is this kind of weird?
[00:06:28.000 --> 00:06:32.000]   Something people are going to be doing in future when they travel is like kind of do this live
[00:06:32.000 --> 00:06:33.000]   real-time travel diary.
[00:06:33.000 --> 00:06:38.000]   No, I think that the whole infrastructure is going to appear because...
[00:06:38.000 --> 00:06:43.000]   I mean, we're weird in that, you know, we're in our 30s and our 40s and we're doing this sort of stuff.
[00:06:43.000 --> 00:06:48.000]   We didn't grow up with this idea of always being connected and always being into social media sites.
[00:06:48.000 --> 00:06:52.000]   But now we have a whole generation of people that they never knew the idea of answering a ringing telephone.
[00:06:52.000 --> 00:06:55.000]   They always knew the idea of just ex-messaging people.
[00:06:55.000 --> 00:06:58.000]   So when those people start getting real jobs and start making real money, they're going to be...
[00:06:58.000 --> 00:07:05.000]   They're going to want to spend $30 a month for, look, here is a single IP address, a single address that will simply be a pipeline that works
[00:07:05.000 --> 00:07:10.000]   everywhere and anywhere to get all of your status reports and all of your photos and all your videos into one location.
[00:07:10.000 --> 00:07:11.000]   Yeah.
[00:07:11.000 --> 00:07:18.000]   Well, and I think that we saw in the news that just after the, you know, since the iPhone has been released,
[00:07:18.000 --> 00:07:24.000]   the video to YouTube, the cell-based or phone-based video to YouTube has jumped.
[00:07:24.000 --> 00:07:25.000]   I think it's four times.
[00:07:25.000 --> 00:07:30.000]   I've done two or three videos already and they're just stupid and consequential videos just to play with it.
[00:07:30.000 --> 00:07:31.000]   Right.
[00:07:31.000 --> 00:07:38.000]   And it's making a huge impact on when it's actually easy to do and then people will start to do it.
[00:07:38.000 --> 00:07:40.000]   I knew this. We predicted this would happen.
[00:07:40.000 --> 00:07:41.000]   Yeah.
[00:07:41.000 --> 00:07:43.000]   I mean, it's exploding.
[00:07:43.000 --> 00:07:46.000]   And I think that, you know, I am almost done.
