;FFMETADATA1
title=The Year in Review
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=746
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.000]   It's time for Mac Break Weekly. Renee Richie is here, Andy and not go to.
[00:00:04.000 --> 00:00:09.000]   It's kind of a year-end episode. We're gonna look back at what was a terrible year.
[00:00:09.000 --> 00:00:14.000]   I think we all agree. 2020, but turned out pretty good for Apple.
[00:00:14.000 --> 00:00:19.000]   It began with the first tremors of COVID-19 early on in January
[00:00:19.000 --> 00:00:24.000]   and ended with Apple Silicon and an amazing M1 chip.
[00:00:24.000 --> 00:00:33.000]   Apple's no good, very bad, but somewhat productive year next.
[00:00:33.000 --> 00:00:37.000]   Podcasts you love from people you trust.
[00:00:37.000 --> 00:00:42.000]   This is Twit.
[00:00:42.000 --> 00:00:51.000]   This is Mac Break Weekly, episode 746, recorded Tuesday, December 29, 2020, the year-end review.
[00:00:51.000 --> 00:00:55.000]   It's time for Mac Break Weekly, the show we get together with Mac.
[00:00:55.000 --> 00:01:01.000]   My Mac friends, my little Mac friends, and talk about the latest news from Apple.
[00:01:01.000 --> 00:01:05.000]   We've lost one of our little Mac friends to the fruit company.
[00:01:05.000 --> 00:01:12.000]   Yes. Lori Gill has got a much better job writing for Apple's YouTube channel,
[00:01:12.000 --> 00:01:16.000]   so it's just the three amigos this week.
[00:01:16.000 --> 00:01:20.000]   Andy and I go good to see you. Happy holidays. Do you have a good Christmas?
[00:01:20.000 --> 00:01:26.000]   Oh, had a great Christmas. As a matter of fact, because of the reduced circumstances,
[00:01:26.000 --> 00:01:31.000]   I realized that, well, here's how much money I would normally put in the budget for Christmas
[00:01:31.000 --> 00:01:35.000]   because oftentimes it involves, I'm going to go to New York and spend the day with friends
[00:01:35.000 --> 00:01:36.000]   and see the fifth dunaries.
[00:01:36.000 --> 00:01:42.000]   I decided to spend one third of that amount on the biggest Christmas feast I have ever put together.
[00:01:42.000 --> 00:01:45.000]   But it was just you all by yourself eating a giant feast?
[00:01:45.000 --> 00:01:54.000]   Well, that was the plan. For breakfast, I had many pastries that I bought at the market.
[00:01:54.000 --> 00:02:00.000]   For lunch, I made myself a salmon steak with a quinoa and walnut salad.
[00:02:00.000 --> 00:02:03.000]   So, what did I trust? Oh, of course.
[00:02:03.000 --> 00:02:09.000]   Perfect. Then I had a pork roast I was going to be making for second dinner at 7 or 8.
[00:02:09.000 --> 00:02:14.000]   But by 4 or 5 in the afternoon, I had finished cleaning the kitchen.
[00:02:14.000 --> 00:02:17.000]   I'd also had the better part of half of a pumpkin pie.
[00:02:17.000 --> 00:02:20.000]   He's passed out drooling on the tree.
[00:02:20.000 --> 00:02:26.000]   Luckily, I still had half of a pizza from my Christmas Eve pizza left over.
[00:02:26.000 --> 00:02:32.000]   I think I've just got to be on the sofa, I'm going to eat pizza, and I'm going to binge watch.
[00:02:32.000 --> 00:02:38.000]   I'll ask you about your TV viewing over the holidays just a second.
[00:02:38.000 --> 00:02:42.000]   But we also want to say hello to Renee Ritchie, amigo number trace.
[00:02:42.000 --> 00:02:45.000]   Hello, Renee.
[00:02:45.000 --> 00:02:51.000]   Hello, Leo. You haven't lost me to big fruit, and you won't, not even in the season finale of 2020.
[00:02:51.000 --> 00:02:52.000]   Oh, my God.
[00:02:52.000 --> 00:02:55.000]   And I just say, I really hope there's no after credit scene.
[00:02:55.000 --> 00:03:00.000]   You think that Linda Carter showing up for no apparent reason with a brand new name,
[00:03:00.000 --> 00:03:03.000]   Listeria? No, it wasn't Listeria.
[00:03:03.000 --> 00:03:05.000]   Asteria wasn't a perfect...
[00:03:05.000 --> 00:03:07.000]   You can't tell people this, Leo. They haven't seen it yet.
[00:03:07.000 --> 00:03:09.000]   They've only like three people can afford it.
[00:03:09.000 --> 00:03:12.000]   Spoiler alert.
[00:03:12.000 --> 00:03:16.000]   It wasn't a spoiler. It was bizarre.
[00:03:16.000 --> 00:03:18.000]   I'm going to say it was a nice touch.
[00:03:18.000 --> 00:03:23.000]   So long as it's not like the way that they did, like there was like a monsters reboot
[00:03:23.000 --> 00:03:27.000]   where the new Herman Munster takes a job as a waiter,
