
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly Episode 119 for December 16, 2008.
[00:00:34.000 --> 00:00:37.000]   MacBreak Media.
[00:00:37.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:53.000]   And by the award-winning Drobo, the large redundant hard drive that
[00:00:53.000 --> 00:00:56.000]   guards against data loss from a hard drive crash and
[00:00:56.000 --> 00:00:59.000]   instantly expands to 16 terabytes.
[00:00:59.000 --> 00:01:02.000]   To learn more and receive $50 off your own Drobo,
[00:01:02.000 --> 00:01:05.000]   visit Drobo.com/macbreak.
[00:01:05.000 --> 00:01:09.000]   And by listeners like you.
[00:01:09.000 --> 00:01:11.000]   Thanks so much for your contribution.
[00:01:11.000 --> 00:01:13.000]   We couldn't do it without it.
[00:01:13.000 --> 00:01:15.000]   Welcome to MacBreak Weekly.
[00:01:15.000 --> 00:01:17.000]   This is not Leo.
[00:01:17.000 --> 00:01:20.000]   I know I don't even sound like Leo.
[00:01:20.000 --> 00:01:21.000]   Leo is out.
[00:01:21.000 --> 00:01:23.000]   He is gone.
[00:01:23.000 --> 00:01:25.000]   He's out of the country.
[00:01:25.000 --> 00:01:30.000]   And so of course we've decided to take over the playhouse.
[00:01:30.000 --> 00:01:31.000]   This is Alex.
[00:01:31.000 --> 00:01:34.000]   And we have of course Andy Naco.
[00:01:34.000 --> 00:01:35.000]   Hey Andy.
[00:01:35.000 --> 00:01:36.000]   Hey Ho.
[00:01:36.000 --> 00:01:40.000]   Hey and we also have a couple of new guests.
[00:01:40.000 --> 00:01:43.000]   Scott was not able to join us today.
[00:01:43.000 --> 00:01:46.000]   And I filled his place with Fred Johnson.
[00:01:46.000 --> 00:01:47.000]   Hey Fred.
[00:01:47.000 --> 00:01:48.000]   Hello, hello.
[00:01:48.000 --> 00:01:50.000]   And also Ron Brinkman.
[00:01:50.000 --> 00:01:51.000]   Hey guys.
[00:01:51.000 --> 00:01:52.000]   How you doing?
[00:01:52.000 --> 00:01:57.000]   And Fred and Ron are on on Twitch fairly often this week of photography.
[00:01:57.000 --> 00:02:00.000]   And also you guys you know had a little bit of history with Apple.
[00:02:00.000 --> 00:02:03.000]   So I've got some some background there.
[00:02:03.000 --> 00:02:07.000]   So so I thought it'd be fun to have have these guys on the show.
[00:02:07.000 --> 00:02:19.000]   And we have a special this is going to be a bit of a special episode where we're going to be talking for the first half hour or so about news of course this typical Mac Break affair.
[00:02:19.000 --> 00:02:25.000]   And then we're going to bring Paul Kent on from from IDG to talk about the Mac Mac world Expo.
[00:02:25.000 --> 00:02:29.000]   There's a lot of changes a lot of stuff coming up and it's only a couple weeks away.
[00:02:29.000 --> 00:02:33.000]   So we wanted to really get the skinny on what's what's available there.
[00:02:33.000 --> 00:02:34.000]   So so stay tuned for that.
[00:02:34.000 --> 00:02:37.000]   And so anyway let's get into it.
[00:02:37.000 --> 00:02:41.000]   The have you guys seen the ads the new Mac ads?
[00:02:41.000 --> 00:02:42.000]   No.
[00:02:42.000 --> 00:02:44.000]   Has anyone seen these ads?
[00:02:44.000 --> 00:02:46.000]   So these these just came out today.
[00:02:46.000 --> 00:02:49.000]   These are animated ads.
[00:02:49.000 --> 00:03:06.000]   So so you have you get it's basically the standard Mac ads except that they are you know animated as if it was the you know the Christmas you root off the red nose reindeer style animation although I don't think they went through the trouble of stop motion.
[00:03:06.000 --> 00:03:09.000]   You know it was you know I looked at it and I was like that's 3D.
[00:03:09.000 --> 00:03:15.000]   But but really really really a lot of fun so I'm definitely check that out.
[00:03:15.000 --> 00:03:28.000]   So if the if you let me I don't think I can see I'm not as I'm not as rigged up as as Leo is to start playing them over over video here but the bad with the band.
[00:03:28.000 --> 00:03:40.000]   So I can I can do that but I you know and I really should have figured out some way to do the to do to stream because I can build things in a fast motion.
[00:03:40.000 --> 00:03:42.000]   Well we lost I lost it.
[00:03:42.000 --> 00:03:47.000]   So we said gives a nice flavor of nothing.
[00:03:47.000 --> 00:03:51.000]   Alex that that was so high tech I can't stand it.
[00:03:51.000 --> 00:04:02.000]   But I'm looking at it so it is is sort of the like the rank and best style like the Rudolph the red reindeer style thing but with your typical Mac PC standing around the Christmas tree.
[00:04:02.000 --> 00:04:03.000]   It's very cute.
[00:04:03.000 --> 00:04:08.000]   Definitely worth checking out and worth checking out online given that you know I haven't seen American TV for a month.
[00:04:08.000 --> 00:04:11.000]   So so I don't know if I'd ever see it otherwise.
[00:04:11.000 --> 00:04:14.000]   So definitely actually I haven't seen it for a couple years.
[00:04:14.000 --> 00:04:24.000]   So so anyway so definitely check that out also in the news Mac releases of course 10.5.6.
[00:04:24.000 --> 00:04:27.000]   Who's done the update Andy have you done the update.
[00:04:27.000 --> 00:04:34.000]   I Tuesdays and Wednesdays are big deadline days for me so I ain't coming anywhere near an OS update until Thursday Friday.
[00:04:34.000 --> 00:04:36.000]   I did it it didn't work.
[00:04:36.000 --> 00:04:37.000]   It didn't work.
[00:04:37.000 --> 00:04:38.000]   It did it again.
[00:04:38.000 --> 00:04:48.000]   There's apparently a very well known problem that's happened to a lot of people including me where if you just do the basic update it will hang partway into it.
[00:04:48.000 --> 00:04:56.000]   You just have to reboot and then so what every suggestion I found online said download the full size combo up there it's called.
[00:04:56.000 --> 00:05:04.000]   It's like 600 gigabytes of something I don't know but it is big but it it seemed to work okay.
[00:05:04.000 --> 00:05:13.000]   Yeah I downloaded Alex and it you know it coincidentally I ordered a MacBook Pro the 15 inch and it arrived yesterday.
[00:05:13.000 --> 00:05:23.000]   So it was it was a combination of a new glossy computer and you know let's just make sure she's brand new and put the new OS on there.
[00:05:23.000 --> 00:05:27.000]   So and I'm installing software on it right now and it's it's it's fine for me.
[00:05:27.000 --> 00:05:46.000]   Yeah I you know I was telling handy before the show in Japan you know it's a 300 300 megabyte it's big it's a big update you know it's a 300 meg update for the basic not for the combo and here in Japan that it told me when I when I hit it it would say it take it will take about a minute to download.
[00:05:46.000 --> 00:05:53.000]   I was just like I don't want to go home I got to figure out some way to have this connection at home so.
[00:05:53.000 --> 00:05:56.000]   Yeah look at what it fixes what what all is in there.
[00:05:56.000 --> 00:06:05.000]   It is so there's a there's a bunch of fixes in it it improves Safari compatibility better printing under CS3.
[00:06:05.000 --> 00:06:19.000]   It's supposed to really make a big change to the mobile me sinking service so you know the there's a there's a pretty good update a couple good updates on on Macworld.com.
[00:06:19.000 --> 00:06:34.000]   But it is a you know I'm talking talking about what's in the update but it is within a minute supposed to be able to any within a minute of changing anything it's supposed to be able to sync that to to mobile me so we'll see how that that actually works.
[00:06:34.000 --> 00:06:45.000]   But but that that that's what one of the pieces that is there go ahead my favorite I'm looking over the list of things in there here's my favorite one addresses inaccuracies with calculator when Macworld.
[00:06:45.000 --> 00:06:49.000]   I think it's just set the German or Swiss German.
[00:06:49.000 --> 00:06:53.000]   That's why I updated German.
[00:06:53.000 --> 00:06:57.000]   That's they're good eyeballing things those Swiss just you know.
[00:06:57.000 --> 00:07:14.000]   I think I think I think the German users the German users notice that the round off air at you know eight decimals in was you know there was an issue there and they knew they knew it in their heart they didn't they didn't know exactly you know where the problem was but they knew there was something wrong here.
[00:07:14.000 --> 00:07:27.000]   They knew they were they were an email to Apple saying I was measuring my drapes and they were point oh oh oh one centimeter off and it wasn't the ruler because I have that recalibrated three times a day.
[00:07:27.000 --> 00:07:34.000]   Exactly what what nationality could you drive the most crazy by having an inaccurate calculator.
[00:07:34.000 --> 00:07:43.000]   Exactly exactly you know it couldn't have been near the French or the it had to be the Germans the Germans would would definitely notice it now there's also there's 21 bugs are updated in the patch.
[00:07:43.000 --> 00:07:58.000]   There are some security issues that are updated in the patch so definitely is it's worth definitely checking out and making sure to download mine worked well but you said no Ron you said that this is a pretty this is a common issue.
[00:07:58.000 --> 00:08:09.000]   Apparently from what I saw there's a very common issue where if you just do a regular update it hangs on I think it's you know some configuration step and it's pretty obvious after a couple minutes it's not going to go any further.
[00:08:09.000 --> 00:08:16.000]   You just have to reboot and like I said download the combo update which I think is about 650 megabytes.
[00:08:16.000 --> 00:08:19.000]   Very good fine.
[00:08:19.000 --> 00:08:38.000]   The now the the rumors are continuing to swirl around the idea that Apple is going to release some kind of netbook this is this is now in computer world they're talking about that they think that there's going to be something coming out and do you guys think that we're going to see a netbook.
[00:08:38.000 --> 00:08:41.000]   Andy do you think that there's netbook coming.
[00:08:41.000 --> 00:08:58.000]   As a matter of fact I hedge my bets a little bit I have a call is going to be running in Macworld UK three days after the keynote and basically I just don't think that it makes sense for Apple to do anything that would remotely be recognizable as a netbook.
[00:08:58.000 --> 00:09:08.000]   However I really think that the possibility would be there for them to make a computer that is has the same relationship to netbooks as the iPhone did to a cell phone.
[00:09:08.000 --> 00:09:22.000]   Meaning every time every time we heard about oh Apple's working on a phone Apple's working on a phone Apple's working on a phone we always thought well we take an iPhone you put a keypad on it and boom you got a phone no one was able to guess at anything close to what they had up their sleeves.
[00:09:22.000 --> 00:09:33.000]   If Apple were to produce if you try to think of Apple producing like a MacBook that would cost less than six or six hundred or five hundred dollars that's not possible that's not something that Apple would be willing to do.
[00:09:33.000 --> 00:09:51.000]   But if Apple would be willing to build a brand new computer that's not necessarily a Mac not necessarily a PC just like the iPhone it runs OSX but does not run Macintosh software just like the iPhone it's as attractive to Mac people as to PC people just like just like the iPhone.
[00:09:51.000 --> 00:10:03.000]   Upon its first release it came in hardwired with certain basic apps that everyone would find useful and then later on down the road Apple made it open to developers that I can certainly see.
[00:10:03.000 --> 00:10:20.000]   And given that Apple has been able to build iPhones for less than two hundred dollars I'm also confident that they could build something that we can't quite imagine for less than five hundred dollars but if you're thinking about I shouldn't buy a MacBook because Apple's going to come out with a Macintosh netbook I don't think that is anywhere near possible in the next two or three years.
[00:10:20.000 --> 00:10:26.000]   Now do you think that they would just use the iPhone OS to run this netbook?
[00:10:26.000 --> 00:10:35.000]   That's certainly that's really likely I think it might have a difference it's just like the iPhone OS is again it's OSX with all the Mac stuff taken out and phone stuff put in.
[00:10:35.000 --> 00:10:46.000]   I think that it would be OSX with but it would be iPhone OS with all the phone stuff taken out and keyboard control put in just like with the iPhone.
[00:10:46.000 --> 00:10:55.000]   Apple doesn't have to create a big complicated development environment they can just give us a text editor you have Safari great put that on you have iTunes great put that on there.
[00:10:55.000 --> 00:11:03.000]   All this basic core core collection of applications would work just fine with everything that Apple's developing in house.
[00:11:03.000 --> 00:11:10.000]   I would not see it as an iPhone plus I would see it as a brand new device that Apple's just creating on its own.
[00:11:10.000 --> 00:11:23.000]   I do think though that anybody who's been developing for the iPhone when the opportunity arrived to finally write software for again a theoretical Mac netbook they would find it as easy a transition to make as they made when they started going from Mac development to iPhone development.
[00:11:23.000 --> 00:11:30.000]   All of this wraps back into Xcode which would be the key to the operation there.
[00:11:30.000 --> 00:11:45.000]   It really is cool because I think we all know some serious Mac developers and I just keep coming back to a conversation that one of them had with Apple because they were one of the few major developers of Mac software that still was sticking to code warrior or whatever else they were working with.
[00:11:45.000 --> 00:12:02.000]   They just resisted Xcode and resisted it and there were an important enough house that someone from Apple had that sort of Don Corleone moment with them and said it would probably be in your best interest if you started the transition to Xcode.
[00:12:02.000 --> 00:12:21.000]   I wish I could describe how he describes me but he said I just knew that if I did not they made it very clear to me without threatening, without saying anything that couldn't tell me that my company would be dead in two years time if I didn't make the switch.
[00:12:21.000 --> 00:12:28.000]   We have a reason to believe you want to.
[00:12:28.000 --> 00:12:36.000]   Why do you disrespect me so that's a total years ago than the other developers that would feel you.
[00:12:36.000 --> 00:12:50.000]   And the reality is is that by doing that it is really given Apple developers an incredible amount of flexibility being able to develop for a phone and for the OS without with relatively very similar code based.
[00:12:50.000 --> 00:13:04.000]   Yeah I mean it's not like you can simply click a button and re-burn your code for a new device but it means that it's like building a different sort of toy in the exact same workshop that you've always worked in.
[00:13:04.000 --> 00:13:08.000]   All the tools are there, all the procedures are all very very familiar.
[00:13:08.000 --> 00:13:13.000]   You can just focus on exactly how you want to articulate this idea that's inside your head.
[00:13:13.000 --> 00:13:26.000]   I mean I'm starting, I haven't touched Coco in a few years but I just picked up a really interesting book on iPhone development and I'm finding that the good news is that I find that I can pick up my cocoa work exactly where I left it off three years ago.
[00:13:26.000 --> 00:13:28.000]   The bad news is that I left it off at.
[00:13:28.000 --> 00:13:36.000]   Hey look if you press this button it plays this sound file but now the button is stated and it's translucent.
[00:13:36.000 --> 00:13:37.000]   Awesome.
[00:13:37.000 --> 00:13:44.000]   Hey guys I just want to stop for a second and thank our sponsor Drobo Drobo is of course more than just a sponsor.
