
[00:00:00.000 --> 00:00:06.440]   It's time for Mac Break Weekly. Renee Richie joins Andy Inaka. We'll talk about the screw job
[00:00:06.440 --> 00:00:10.520]   That has one Swedish blog gave to all the Mac rumor blogs
[00:00:10.520 --> 00:00:16.360]   We will round up the latest iPhone rumors and we'll talk about Apple versus Samsung
[00:00:16.360 --> 00:00:23.480]   The defense rests and now it's time for Samsung to talk. Where's at the plaintiff? I can't remember
[00:00:23.480 --> 00:00:26.160]   We'll talk about it next on Mac Break Weekly
[00:00:26.160 --> 00:00:33.560]   Netcast you love from people you trust
[00:00:33.560 --> 00:00:46.180]   This is Troy bandwidth for Mac Break Weekly is provided by cash fly at C A C H E F L Y
[00:00:46.180 --> 00:00:48.180]   .com
[00:00:51.000 --> 00:00:58.720]   This is Mac Break Weekly episode 312 recorded August 14th 2012 the taming of the screw
[00:00:58.720 --> 00:01:07.480]   Mac Break Weekly is brought to you by go to meeting with HD faces from Citrix
[00:01:07.480 --> 00:01:12.600]   All you need is a webcam and a click to turn your online meeting into a high definition video conference
[00:01:12.600 --> 00:01:17.960]   Meet with colleagues anywhere in the world even from an iPad sign up for your 30-day free trial today
[00:01:17.960 --> 00:01:23.400]   Visit go to meeting.com click the try it free button and use the promo code Mac Break and by
[00:01:23.400 --> 00:01:29.560]   FreshBooks the easy online invoicing app for small businesses that saves time and gets you paid faster
[00:01:29.560 --> 00:01:35.640]   Join over three and a half million fresh books users and try the service free for 30 days of unlimited use at
[00:01:35.640 --> 00:01:42.700]   freshbooks.com make sure you tell them you heard about it on Mac Break and by the new Squarespace
[00:01:43.200 --> 00:01:49.200]   introduces a new content management system making it faster and easier to create a high quality website or blog
[00:01:49.200 --> 00:01:56.040]   Plus more than 50 new features including mobile responsive designs with automatic device scaling for a free trial and
[00:01:56.040 --> 00:02:01.680]   10% off your first purchase go to squarespace.com and use the offer code Mac Break 8
[00:02:01.680 --> 00:02:04.000]   And buy
[00:02:04.000 --> 00:02:08.360]   honorable.com to download the free audio book of your choice go to honorable.com
[00:02:09.320 --> 00:02:16.000]   slash it's time for Mac break weekly the show that tells you everything is going on in the world of
[00:02:16.000 --> 00:02:22.320]   Cupertino, California home to that little tiny company known as Apple Computer joining us as always mr
[00:02:22.320 --> 00:02:27.960]   Andy Naco from the Chicago Sun Times you're gonna have to take some time off Andy because I really I really should I mean
[00:02:27.960 --> 00:02:31.320]   There's a lot of great stuff there at the Sun Times. I've got all bases covered
[00:02:31.320 --> 00:02:38.000]   I you know I could lay down my sword and shield for just three days to maybe get some fried clams take a dip in the ocean
[00:02:38.000 --> 00:02:44.880]   But I just feel too great a responsibility Leo and to you the listeners and to my readers to provide them with the well
[00:02:44.880 --> 00:02:46.880]   No, not really but
[00:02:46.880 --> 00:02:49.540]   They don't they don't pay them a freelancer. They don't pay me unless I
[00:02:49.540 --> 00:02:52.840]   Freelancers don't get a vacation. I forgot about that
[00:02:52.840 --> 00:02:57.040]   Yeah, it's it's that's you get paid when you work period
[00:02:57.040 --> 00:03:04.920]   Yes, but I see that that that it also allows us to like create these wrong wrong wrong impressions with our friends and family that he is so
[00:03:05.080 --> 00:03:08.640]   Devoted to his craft. He was working on Christmas. He was working on Thanksgiving
[00:03:08.640 --> 00:03:12.600]   We're asked it's like I'm bored. It's for you. It's four hours till Thanksgiving
[00:03:12.600 --> 00:03:16.560]   I bet I could get some work done that way that way I can take Saturday off and go get ice cream for
[00:03:16.560 --> 00:03:19.360]   So isn't that cute and you've got a little bunny with you today?
[00:03:19.360 --> 00:03:27.400]   Also joining us I'm very happy to have Renee Richie here from i'mor.com
[00:03:27.400 --> 00:03:31.420]   Which I have I've only recently learned used to be
[00:03:32.120 --> 00:03:34.440]   I visor calm and then I
[00:03:34.440 --> 00:03:42.040]   Visor central and I guess there's no I at the time and then not invented it and then after visor was at handspring
[00:03:42.040 --> 00:03:48.520]   Central is a central trio central trio. Yeah central and then crackberry
[00:03:48.520 --> 00:03:53.240]   Yeah, no Android central Android central and I'm more yes
[00:03:53.240 --> 00:03:55.960]   All iPhone all the time
[00:03:55.960 --> 00:04:01.600]   iPhone iPad anything Apple makes with an iron. Oh, okay good. I and more
[00:04:01.600 --> 00:04:07.020]   I get it. Yes. Well, that's good. That gives you plenty. That's more than enough so to speak
[00:04:07.020 --> 00:04:10.280]   They also busy company. Yeah, these Apple guys
