
[00:00:00.000 --> 00:00:05.300]   It's time for Mac break weekly Annie and Renee are here. We're gonna say goodbye to South segue
[00:00:05.300 --> 00:00:10.280]   No, he's not dead, but he is leaving Apple. What's the future of automated or an Apple script?
[00:00:10.280 --> 00:00:15.600]   We'll also give you my review of the new Mac book pro pros and cons and explain
[00:00:15.600 --> 00:00:22.620]   Why those speaker grills don't really do much at all. It's all next I'm back break quickly
[00:00:22.620 --> 00:00:29.380]   Netcasts you love from people you trust
[00:00:29.380 --> 00:00:39.740]   This is tweet bandwidth for Mac break weekly is provided by cash fly at
[00:00:39.740 --> 00:00:43.020]   C A C A F L Y dot com
[00:00:43.020 --> 00:00:49.460]   This is Mac break weekly episode
[00:00:49.460 --> 00:00:55.620]   534 recorded Tuesday November 22nd 2016. Thank you, Sal
[00:00:57.140 --> 00:01:01.700]   Mac break weekly is brought to you by FreshBooks the super simple cloud accounting software
[00:01:01.700 --> 00:01:08.140]   It's giving thousands of freelancers and small businesses the tools to save time billing and get paid faster try it free at
[00:01:08.140 --> 00:01:10.540]   freshbooks.com/macbreak
[00:01:10.540 --> 00:01:18.860]   And by the ring video doorbell with ring you can see and talk to anyone at your door from anywhere in the world using your smartphone
[00:01:18.860 --> 00:01:24.140]   It's like caller ID for your home go to ring.com/macbreak and get up to
[00:01:24.620 --> 00:01:28.740]   $50 off a ring of security kit with their limited time offer and
[00:01:28.740 --> 00:01:37.180]   By rocket mortgage from quick and loans rocket mortgage brings the mortgage process into the 21st century with a fast easy and completely
[00:01:37.180 --> 00:01:43.900]   online process check out rocket mortgage today at quick and loans.com/macbreak
[00:01:43.900 --> 00:01:49.300]   It's time for Mac break weekly to show where we cover the latest news from Apple and of course
[00:01:49.300 --> 00:01:52.100]   We do it with the help of two of the premier
[00:01:52.860 --> 00:01:59.820]   Journalists in the business Andy and not co who covers all technology for the Chicago Sun times has his own podcasts
[00:01:59.820 --> 00:02:05.180]   In fact two of them now the and not co the almanac launched right
[00:02:05.180 --> 00:02:09.820]   I'll Mac launched a couple weeks ago. We're still taking it has not been canceled yet
[00:02:09.820 --> 00:02:17.380]   That's a good thing and of course he also does material the material packets both on
[00:02:17.380 --> 00:02:19.900]   relay dot related
[00:02:19.900 --> 00:02:21.900]   And also with us running
[00:02:21.900 --> 00:02:26.100]   Richie of i'm more dot com who does podcasts beyond number
