
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:35.000]   This is MacBreak Weekly, Episode 127, for February 10, 2009.
[00:00:35.000 --> 00:00:37.000]   Is that a Kindle in your pocket?
[00:00:37.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:51.000]   And by listeners like you.
[00:00:51.000 --> 00:00:53.000]   Thanks so much for your contribution.
[00:00:53.000 --> 00:00:55.000]   We couldn't do to it without it.
[00:00:56.000 --> 00:00:59.000]   It's time for MacBreak Weekly, Episode 100.
[00:00:59.000 --> 00:01:02.000]   And this episode brought to you by Andy's Hat.
[00:01:02.000 --> 00:01:07.000]   Andy Inako is here from the Chicago Sun Times, wearing his
[00:01:07.000 --> 00:01:09.000]   Colorado University hat.
[00:01:09.000 --> 00:01:10.000]   What are those?
[00:01:10.000 --> 00:01:11.000]   The University of...
[00:01:11.000 --> 00:01:12.000]   Are those bison?
[00:01:12.000 --> 00:01:15.000]   The mighty buffalo, Leo.
[00:01:15.000 --> 00:01:16.000]   Is that what you like to do?
[00:01:16.000 --> 00:01:22.000]   Well, I go to school there every year for the past 12 or 13 years to speak at the conference of World Affairs
[00:01:22.000 --> 00:01:23.000]   on the Boulder campus.
[00:01:23.000 --> 00:01:24.000]   Oh, that's neat.
[00:01:24.000 --> 00:01:28.000]   They have not rewarded me with an honorarium yet, but they have
[00:01:28.000 --> 00:01:32.000]   rewarded me with a 10% discount on all CU logo merchandising.
[00:01:32.000 --> 00:01:35.000]   That's a good deal.
[00:01:35.000 --> 00:01:37.000]   I'll take what I can get.
[00:01:37.000 --> 00:01:39.000]   Anything to beef up that'll CV.
[00:01:39.000 --> 00:01:43.000]   Also here from upstairs, it is Alex.
[00:01:43.000 --> 00:01:46.000]   I walked all the way down the stairs.
[00:01:46.000 --> 00:01:48.000]   He lives up here now, which is great.
[00:01:48.000 --> 00:01:49.000]   We love having you.
[00:01:49.000 --> 00:01:50.000]   You should have an ocean.
[00:01:50.000 --> 00:01:52.000]   You should introduce it by just leading out the window and shouting,
[00:01:52.000 --> 00:01:53.000]   "Naughton!"
[00:01:53.000 --> 00:01:54.000]   "Naughton!"
[00:01:54.000 --> 00:01:55.000]   "Naughton!"
[00:01:55.000 --> 00:01:56.000]   "Naughton!"
[00:01:56.000 --> 00:01:57.000]   "What a wealthy boy.
[00:01:57.000 --> 00:01:58.000]   What do you got?"
[00:01:58.000 --> 00:02:00.000]   "We're doing a show."
[00:02:00.000 --> 00:02:01.000]   "Hey, Norton.
[00:02:01.000 --> 00:02:03.000]   We're doing a show down here.
[00:02:03.000 --> 00:02:04.000]   I'm coming down."
[00:02:04.000 --> 00:02:07.000]   Now, we were going to have Bobby Llewellyn.
[00:02:07.000 --> 00:02:10.000]   He's got a new podcast, which is such a good idea.
[00:02:10.000 --> 00:02:15.000]   It's called Carpool, where he drives famous British people around in his car and interviews them.
[00:02:15.000 --> 00:02:16.000]   But I don't...
[00:02:16.000 --> 00:02:17.000]   I think he's...
[00:02:17.000 --> 00:02:18.000]   I'm not sure what happened.
[00:02:18.000 --> 00:02:19.000]   He may appear at some point.
[00:02:19.000 --> 00:02:21.000]   Of course, he's the former star of Red Dwarf.
[00:02:21.000 --> 00:02:22.000]   He played Criton.
[00:02:22.000 --> 00:02:25.000]   The rubber-faced robot on Red Dwarf and has been on the show before.
[00:02:25.000 --> 00:02:27.000]   We love having Bobby Llewellyn.
[00:02:27.000 --> 00:02:29.000]   But before we...
[00:02:29.000 --> 00:02:32.000]   And Scott is taking the day off because his truck is being towed.
[00:02:32.000 --> 00:02:33.000]   Or Scott.
[00:02:33.000 --> 00:02:34.000]   He didn't...
[00:02:34.000 --> 00:02:35.000]   I think it broke down.
[00:02:35.000 --> 00:02:36.000]   He didn't sound that he parked it in the wrong place.
[00:02:36.000 --> 00:02:37.000]   No, no, no, no, no.
[00:02:37.000 --> 00:02:38.000]   He broke down.
[00:02:38.000 --> 00:02:39.000]   Very important.
[00:02:39.000 --> 00:02:40.000]   Make that distinction.
[00:02:40.000 --> 00:02:41.000]   Absolutely.
[00:02:41.000 --> 00:02:42.000]   No, you know, I'm kind of surprised.
[00:02:42.000 --> 00:02:46.000]   I would expect him to have a brand new truck that's really big and shiny and starts itself.
[00:02:46.000 --> 00:02:47.000]   He probably does.
[00:02:47.000 --> 00:02:48.000]   Toes itself.
[00:02:48.000 --> 00:02:49.000]   Oh, yeah.
[00:02:49.000 --> 00:02:50.760]   I expect him to have like...
[00:02:50.760 --> 00:02:55.240]   In the back pickup of the truck to have one of those smart cars just in case of emergency.
[00:02:55.240 --> 00:02:58.000]   So we can just sort of drive it off the truck when it breaks down.
[00:02:58.000 --> 00:02:59.000]   Go get gas.
[00:02:59.000 --> 00:03:00.000]   Drive back.
[00:03:00.000 --> 00:03:01.000]   Drive it back into the ramp.
[00:03:01.000 --> 00:03:02.680]   Scott's car is so big.
[00:03:02.680 --> 00:03:05.680]   He's got a smart car in the back.
[00:03:05.680 --> 00:03:07.720]   Just in case it breaks down.
[00:03:07.720 --> 00:03:09.120]   That's a great idea.
[00:03:09.120 --> 00:03:12.920]   So the top stories on the Mac Break Weekly list.
[00:03:12.920 --> 00:03:17.440]   By the way, if you want to ever contribute stories to us, just bookmark them on delicious
[00:03:17.440 --> 00:03:23.680]   d-e-l-i-c-i-o-u-s.com with the tag m-b-w-i-d-s.
[00:03:23.680 --> 00:03:28.840]   And then you can go to m-b-i-d-i-d-s.com, which I think Merlin Man owns.
[00:03:28.840 --> 00:03:31.280]   And so I don't know how much longer it's going to last.
[00:03:31.280 --> 00:03:32.960]   That's Merlin to give it to us.
[00:03:32.960 --> 00:03:38.160]   And you'll see a link to the stories that we are talking about today.
[00:03:38.160 --> 00:03:41.360]   Apple stock going up, which is kind of a surprise.
[00:03:41.360 --> 00:03:46.920]   Despite the bad stock market in general and despite the news about Steve Jobs, I guess
[00:03:46.920 --> 00:03:50.440]   the market liked the quarterly report.
[00:03:50.440 --> 00:03:55.240]   Well I think that the issue is that Apple's making money when a lot of people aren't.
[00:03:55.240 --> 00:03:57.120]   So everyone's doing losses.
[00:03:57.120 --> 00:03:58.200]   It's not just that they made money.
[00:03:58.200 --> 00:04:02.480]   We talked about this previously is that they had their best quarter ever.
[00:04:02.480 --> 00:04:07.360]   Ever, ever, ever, ever, ever in the middle of a recession.
[00:04:07.360 --> 00:04:11.320]   Did they give an advisory that they might not be doing so well next quarter?
[00:04:11.320 --> 00:04:14.240]   Because that's what companies, companies either have abandoned the advisories or are
[00:04:14.240 --> 00:04:16.880]   starting to say, "Don't count on much next time."
[00:04:16.880 --> 00:04:23.120]   Well that was sort of an odd purview that Microsoft did during CES.
[00:04:23.120 --> 00:04:25.360]   They took the time out to say, "You know what?
[00:04:25.360 --> 00:04:29.480]   We think that our wonderful success over the past 10 years was due not to our vision
[00:04:29.480 --> 00:04:33.160]   and our products, but due to a fluke of exuberance in the market."
[00:04:33.160 --> 00:04:36.560]   And so please, that profitable ever again.
[00:04:36.560 --> 00:04:40.760]   Cut to Apple where they're saying, "If you check under your seat, you'll find a bag
[00:04:40.760 --> 00:04:42.680]   of $50 bills.
[00:04:42.680 --> 00:04:43.960]   Just take whatever you want.
[00:04:43.960 --> 00:04:44.960]   We've got too much now.
[00:04:44.960 --> 00:04:49.280]   I'll cut and say they're blocking the fire exits and the fire marshals will shut us down
[00:04:49.280 --> 00:04:51.680]   if you don't get rid of some of this money cluttering up our offices."
[00:04:51.680 --> 00:04:54.680]   Actually, as we record, they have gone down, but so did the market as a whole.
[00:04:54.680 --> 00:04:56.720]   The whole market's been way, way off.
[00:04:56.720 --> 00:04:59.000]   In fact, it's a big sell-off right now.
[00:04:59.000 --> 00:05:04.920]   But they were up on Thursday, Friday, Monday, and now down a little bit today.
[00:05:04.920 --> 00:05:08.160]   I do think I was doing some searches here and I can't with some good news that is from
[00:05:08.160 --> 00:05:11.600]   a little bit in the past just to remind us of how far apples come.
[00:05:11.600 --> 00:05:16.400]   This is amid rumors that there may be a buyer interested in Apple.
[00:05:16.400 --> 00:05:21.840]   The troubled computer maker's share price has soared 14% today in extremely heavy trading.
[00:05:21.840 --> 00:05:29.040]   Apple closed at 15 and 3/16 share, up 1 and 15/16.
[00:05:29.040 --> 00:05:33.560]   The number of shares trading hands was 6.4 million more than four times the average trading
[00:05:33.560 --> 00:05:34.560]   volume.
[00:05:34.560 --> 00:05:35.560]   Rumors that Apple take over-
[00:05:35.560 --> 00:05:36.560]   Well, I didn't wait by then.
[00:05:36.560 --> 00:05:37.560]   Why?
[00:05:37.560 --> 00:05:41.560]   Well, here's the worst part is that back then there was some...
[00:05:41.560 --> 00:05:48.200]   We were sitting looking at this stuff and a guy at Lucasfilm and one of the guys there
[00:05:48.200 --> 00:05:50.400]   was saying, "Oh, I got to sell all my Apple stock.
[00:05:50.400 --> 00:05:51.400]   It's not going to go under."
[00:05:51.400 --> 00:05:52.960]   They're just going to go under and I was like, "Oh, you should buy more.
[00:05:52.960 --> 00:05:53.960]   You should buy more.
[00:05:53.960 --> 00:05:54.960]   I didn't have any money."
[00:05:54.960 --> 00:05:55.960]   But you didn't.
[00:05:55.960 --> 00:05:56.960]   Well, I didn't have any money.
[00:05:56.960 --> 00:05:57.960]   I worked...
[00:05:57.960 --> 00:05:58.960]   What was that?
[00:05:58.960 --> 00:05:59.960]   What year was that?
[00:05:59.960 --> 00:06:03.640]   1997, that was July 11th, 1997 that that news came out.
[00:06:03.640 --> 00:06:04.640]   Wow.
[00:06:04.640 --> 00:06:05.640]   Yeah, they've done okay.
[00:06:05.640 --> 00:06:07.640]   They've done all right.
[00:06:07.640 --> 00:06:09.400]   They've not been too shabby.
[00:06:09.400 --> 00:06:11.520]   They've done all right.
[00:06:11.520 --> 00:06:14.000]   So what else is in the Apple?
[00:06:14.000 --> 00:06:16.760]   Are you guys going to buy a Kindle Kindle 2?
[00:06:16.760 --> 00:06:17.760]   Kindle 2 is the next?
[00:06:17.760 --> 00:06:18.760]   I don't know yet.
[00:06:18.760 --> 00:06:21.320]   I'm a big Kindle fan.
[00:06:21.320 --> 00:06:23.880]   They're going to be sending me one as soon as it ships, so I'll have a chance to play
[00:06:23.880 --> 00:06:25.680]   with it for a bit.
[00:06:25.680 --> 00:06:29.720]   If I didn't own one already, the fact that a friend of mine as good as Andy Anato was
[00:06:29.720 --> 00:06:32.440]   so enthusiastic about it would make me want to buy one.
[00:06:32.440 --> 00:06:35.320]   It doesn't look like a revolutionary new articulation of it.
[00:06:35.320 --> 00:06:37.680]   It looks like they gave it a better screen.
[00:06:37.680 --> 00:06:41.000]   It has more shades of gray, which means that even if you just use it as a book reader,
[00:06:41.000 --> 00:06:46.840]   it'll give you nicer edge definition on those tiny bits of text, more memory, faster page
[00:06:46.840 --> 00:06:48.440]   turns, longer battery life.
[00:06:48.440 --> 00:06:52.800]   It doesn't look like something that you would basically be used as a murder weapon in a really,
[00:06:52.800 --> 00:06:56.160]   really bad 1977 Sean Connery science fiction movie.
[00:06:56.160 --> 00:06:59.360]   It has a little bit of smart design to it.
[00:06:59.360 --> 00:07:00.920]   It's got round buttons.
[00:07:00.920 --> 00:07:01.920]   It's got round buttons.
[00:07:01.920 --> 00:07:02.920]   It's got round buttons.
[00:07:02.920 --> 00:07:06.000]   I mean, the first thing I saw, I just saw it and I was like, well, it's got round buttons.
[00:07:06.000 --> 00:07:07.000]   I mean, come on now.
[00:07:07.000 --> 00:07:09.040]   I mean, they've now moved out of the 80s.
[00:07:09.040 --> 00:07:11.560]   It's not such a compelling thing that if you already have one, you might want to buy one.
[00:07:11.560 --> 00:07:14.560]   I did order it, but just so I could review it.
[00:07:14.560 --> 00:07:15.600]   I do like the metal back.
[00:07:15.600 --> 00:07:17.120]   That looks nicer.
[00:07:17.120 --> 00:07:21.960]   If God, all they have to do is have a back that doesn't pop off in my hand every third
[00:07:21.960 --> 00:07:23.760]   page turn and I'll be very, very happy with it.
[00:07:23.760 --> 00:07:28.520]   The back of mine, I'm actually very pleased that I have the old Kindle that they've had
[00:07:28.520 --> 00:07:32.640]   for the past year and two months to show off because people will believe me when I show
[00:07:32.640 --> 00:07:36.920]   off how baffed up, taped up, smudged and everything this thing is.
[00:07:36.920 --> 00:07:40.080]   I tell them that I love the Kindle and I take it everywhere.
[00:07:40.080 --> 00:07:41.920]   It's just like a regular book.
[00:07:41.920 --> 00:07:45.680]   If someone tries to lend you a book that they say they've read 50 times and it's nice
