
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:35.000]   This is Mac Break Weekly, Episode 158 for September 15, 2009.
[00:00:35.000 --> 00:00:37.000]   They don't have that in the U.S.
[00:00:37.000 --> 00:00:41.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:52.000]   And by Go To Meeting, do more and travel less with Go To Meeting.
[00:00:52.000 --> 00:00:55.000]   Make your next meeting a Go To Meeting instead.
[00:00:55.000 --> 00:01:01.000]   For your free 30-day trial, visit GoToMeeting.com/macbreak.
[00:01:01.000 --> 00:01:04.000]   And by, listeners like you.
[00:01:04.000 --> 00:01:06.000]   Thanks so much for your contribution.
[00:01:06.000 --> 00:01:08.000]   Couldn't do to it without it.
[00:01:08.000 --> 00:01:16.000]   It's time for Mac Break Weekly, the show that covers all things Mac and Tosh,
[00:01:16.000 --> 00:01:20.000]   all things Apple, the iPod, and all of that stuff.
[00:01:20.000 --> 00:01:22.000]   Alex Lindsey is in studio with us from the Pixel Core.
[00:01:22.000 --> 00:01:23.000]   Hello Alex.
[00:01:23.000 --> 00:01:24.000]   Good to see you.
[00:01:24.000 --> 00:01:26.000]   It was good to see you virtually last week.
[00:01:26.000 --> 00:01:27.000]   That was fun.
[00:01:27.000 --> 00:01:28.000]   Oh yeah, that's right.
[00:01:28.000 --> 00:01:30.000]   For the event, we did our live coverage of the event.
[00:01:30.000 --> 00:01:32.000]   You were at the Pixel Core in your dark room.
[00:01:32.000 --> 00:01:33.000]   In the dark room.
[00:01:33.000 --> 00:01:34.000]   I like the dark room.
[00:01:34.000 --> 00:01:38.000]   Andy was great because Andy was in Boston.
[00:01:38.000 --> 00:01:40.000]   Was it Boston Commons Park?
[00:01:40.000 --> 00:01:41.000]   What was it called?
[00:01:41.000 --> 00:01:42.000]   The Public Guard.
[00:01:42.000 --> 00:01:44.000]   The Public Guard, which is adjacent to Boston Common.
[00:01:44.000 --> 00:01:46.000]   Oh, that's how you spot a foreigner.
[00:01:46.000 --> 00:01:49.000]   It's foreigners will say Boston Commons.
[00:01:49.000 --> 00:01:51.000]   It's actually the Boston.
[00:01:51.000 --> 00:01:52.000]   Common.
[00:01:52.000 --> 00:01:53.000]   Common.
[00:01:53.000 --> 00:01:57.000]   The bonus question is, if you're in the place with the Swan boats,
[00:01:57.000 --> 00:01:58.000]   are you in Boston Common?
[00:01:58.000 --> 00:01:59.000]   No!
[00:01:59.000 --> 00:02:00.000]   We're in the Public Guard.
[00:02:00.000 --> 00:02:01.000]   Okay.
[00:02:01.000 --> 00:02:03.000]   So he was in the place with the Swan boats.
[00:02:03.000 --> 00:02:04.000]   I've been there.
[00:02:04.000 --> 00:02:05.000]   Good to have you back.
[00:02:05.000 --> 00:02:09.000]   And I don't know where, actually, I do know come to think of it, where this cat was.
[00:02:09.000 --> 00:02:15.000]   Mr. Will Harris was in a brewery somewhere in England.
[00:02:15.000 --> 00:02:17.000]   Ah, for change.
[00:02:17.000 --> 00:02:21.000]   Will was at the Apple satellite event.
[00:02:21.000 --> 00:02:22.000]   Was that in London?
[00:02:22.000 --> 00:02:24.000]   Yeah, in the centre of London.
[00:02:24.000 --> 00:02:30.000]   So they do a satellite so that all the English journalists can get together and watch the
[00:02:30.000 --> 00:02:33.000]   Apple event as it happens.
[00:02:33.000 --> 00:02:37.000]   The most pointless thing is when some of the slightly dumber journalists all try to
[00:02:37.000 --> 00:02:42.000]   claw at the same time, not realising the satellite link is only one way.
[00:02:42.000 --> 00:02:47.000]   Was there standing O for the jobs when he came on screen?
[00:02:47.000 --> 00:02:48.000]   There wasn't.
[00:02:48.000 --> 00:02:49.000]   There was some hefty clapping.
[00:02:49.000 --> 00:02:50.000]   Yeah.
[00:02:50.000 --> 00:02:51.000]   There was some hefty clapping.
[00:02:51.000 --> 00:02:54.000]   That was pointless because Steve had no idea.
[00:02:54.000 --> 00:02:55.000]   Well, exactly.
[00:02:55.000 --> 00:02:56.000]   Well, it's good to have you.
[00:02:56.000 --> 00:02:58.000]   Will is, of course, from Channel Flip.
[00:02:58.000 --> 00:03:04.000]   He's a regular on This Week in Tech and has been on Mac Break Weekly sometimes because
[00:03:04.000 --> 00:03:07.000]   he's a Mac fanboy, self-described.
[00:03:07.000 --> 00:03:14.000]   And you can find him on Twitter with 1L, twitter.com/will1LHarris.
[00:03:14.000 --> 00:03:20.000]   So in the aftermath, first of all, did anybody buy a new iPod this week?
[00:03:20.000 --> 00:03:21.000]   I did.
[00:03:21.000 --> 00:03:22.000]   You did?
[00:03:22.000 --> 00:03:23.000]   Which one did you get?
[00:03:23.000 --> 00:03:24.000]   I bought the Nano.
[00:03:24.000 --> 00:03:25.000]   You got to test it.
[00:03:25.000 --> 00:03:26.000]   I had to do my duty for the show.
[00:03:26.000 --> 00:03:27.000]   And?
[00:03:27.000 --> 00:03:28.000]   It's pretty cool.
[00:03:28.000 --> 00:03:29.000]   Do you have it with you?
[00:03:29.000 --> 00:03:30.000]   I don't have it with me.
[00:03:30.000 --> 00:03:33.000]   I realised over the weekend that I do left duty that I didn't do it very well.
[00:03:33.000 --> 00:03:34.000]   But I took it out shooting.
[00:03:34.000 --> 00:03:35.000]   You failed.
[00:03:35.000 --> 00:03:39.000]   I left it at the office because we were going to test it against the flip and the iPhone.
[00:03:39.000 --> 00:03:43.000]   And we didn't quite finish that test on Friday and so I didn't get it done.
[00:03:43.000 --> 00:03:45.000]   So anyway, but I did shoot some video.
[00:03:45.000 --> 00:03:47.000]   It's on YouTube.
[00:03:47.000 --> 00:03:52.800]   And my initial reaction was, and I have to test it like, you know, I was going to say
[00:03:52.800 --> 00:03:56.720]   apples to apples to apples, but they really would be apples to apples if I tested it against
[00:03:56.720 --> 00:03:57.880]   the iPhone.
[00:03:57.880 --> 00:04:03.360]   It felt like what we call the rolling shutter of the little CMOS chip was really rolling.
[00:04:03.360 --> 00:04:07.160]   I mean, it was a problem that even like the Canon 5D Mark II has where if you move the
[00:04:07.160 --> 00:04:09.000]   camera while you're shooting.
[00:04:09.000 --> 00:04:12.800]   Yeah, it's more so, it would seem more so in the Nano where it was what we call kind
[00:04:12.800 --> 00:04:16.800]   of Jello video where now what I'll say when you're not walking.
[00:04:16.800 --> 00:04:17.800]   It's great.
[00:04:17.800 --> 00:04:21.880]   So we did a bunch of stuff where we kind of walked through the office and we did and we
[00:04:21.880 --> 00:04:26.120]   kind of zoomed around and moved, you know, moved our hands through it and then it looked
[00:04:26.120 --> 00:04:28.680]   great.
[00:04:28.680 --> 00:04:33.560]   But when you're walking that high frequency jiggle is what really causes this crazy Jello
[00:04:33.560 --> 00:04:40.320]   video that's that as that was a little disconcerting at first.
[00:04:40.320 --> 00:04:44.080]   What I will say is that it handles the low light better than I expected.
[00:04:44.080 --> 00:04:48.080]   The positioning of the camera is going to be a problem for everyone.
[00:04:48.080 --> 00:04:50.640]   Almost every video that I saw on YouTube had the same problem minded, which is you can
[00:04:50.640 --> 00:04:53.800]   see my finger, the inside of my finger because of where it's at.
[00:04:53.800 --> 00:04:57.600]   And when you hold up the Nano to do it, it's very hard to hold it without putting your
[00:04:57.600 --> 00:04:59.280]   finger in front of the camera.
[00:04:59.280 --> 00:05:04.160]   So that that's going to be kind of until we will get kind of a good style or some kind
[00:05:04.160 --> 00:05:05.520]   of handle for it.
[00:05:05.520 --> 00:05:07.480]   It's going to be a little bit of a challenge.
[00:05:07.480 --> 00:05:12.760]   I thought the FM worked great and but I didn't use it very much.
[00:05:12.760 --> 00:05:14.440]   I turned it on and said, yeah, it works.
[00:05:14.440 --> 00:05:16.000]   I don't really listen to FM radio that much.
[00:05:16.000 --> 00:05:18.560]   So the, well, I don't think we can even get FM radio here.
[00:05:18.560 --> 00:05:19.880]   Yeah, I have no idea.
[00:05:19.880 --> 00:05:23.640]   I was down in San Francisco and in '93.973.3 came in great.
[00:05:23.640 --> 00:05:24.640]   So Alice.
[00:05:24.640 --> 00:05:25.640]   Yeah.
[00:05:25.640 --> 00:05:27.960]   So anyway, so I think that, you know, I think it's going to be great.
[00:05:27.960 --> 00:05:33.560]   I think that it is a, I don't think, I think there's a lot of advantages because we're doing
[00:05:33.560 --> 00:05:34.560]   some work with a flip.
[00:05:34.560 --> 00:05:35.920]   We're doing a project on a flip right now.
[00:05:35.920 --> 00:05:39.760]   And so we were playing with it.
[00:05:39.760 --> 00:05:43.760]   I think that there is, I think they really are throwing the gauntlet down in some ways
[00:05:43.760 --> 00:05:46.240]   because it's just as easy to use as the flip.
[00:05:46.240 --> 00:05:47.240]   Right.
[00:05:47.240 --> 00:05:52.400]   And you have FM radio and music and being able to watch shows and everything else that you
[00:05:52.400 --> 00:05:55.080]   can't do, you know, on a flip.
[00:05:55.080 --> 00:05:59.280]   You can't load, I mean, this is the one that you can't load video onto the flip, you know,
[00:05:59.280 --> 00:06:00.920]   which is, you only take it.
[00:06:00.920 --> 00:06:01.920]   Right.
[00:06:01.920 --> 00:06:04.280]   Andy, I presume you also have one of those.
[00:06:04.280 --> 00:06:08.200]   Yeah, I, you see, unfortunately, ask the question, did I buy one and no idea?
[00:06:08.200 --> 00:06:09.200]   No, I know you didn't.
[00:06:09.200 --> 00:06:10.200]   You got to review you.
[00:06:10.200 --> 00:06:11.200]   And I'm sure.
[00:06:11.200 --> 00:06:13.200]   I got to review you in it.
[00:06:13.200 --> 00:06:18.360]   When you consider that they kept the price of the Nano the same and now there is a video
[00:06:18.360 --> 00:06:19.360]   camera in it.
[00:06:19.360 --> 00:06:21.360]   It's a very good free video camera.
[00:06:21.360 --> 00:06:25.280]   I think that if you set your expectations at the level of this is a fun video camera
[00:06:25.280 --> 00:06:29.080]   that again got thrown into the Nano, I think you'll be very satisfied with it.
[00:06:29.080 --> 00:06:35.520]   I wasn't as, I sort of have a split opposition with Alex.
[00:06:35.520 --> 00:06:39.680]   The first thing I shot was a little trip to my friendly neighborhood comic store and
[00:06:39.680 --> 00:06:44.600]   I uploaded that to Vimeo and to my blog like Friday night.
[00:06:44.600 --> 00:06:47.280]   And I thought it was moving pictures.
[00:06:47.280 --> 00:06:48.680]   I didn't think it was all that bad.
[00:06:48.680 --> 00:06:52.960]   It wasn't worse than what I would expect from a cheap little handheld, a hundred fifty dollar
[00:06:52.960 --> 00:06:54.120]   video camera.
[00:06:54.120 --> 00:06:57.760]   I thought it was actually thought it came out very, very well, especially considering when
[00:06:57.760 --> 00:07:02.120]   you take a look at, you know, what's the size of the aperture through which this lens
[00:07:02.120 --> 00:07:03.120]   is shooting.
[00:07:03.120 --> 00:07:07.160]   And we just realized that this is a thin video camera.
[00:07:07.160 --> 00:07:08.720]   How good could this possibly be?
[00:07:08.720 --> 00:07:10.760]   You're going to be very, very pleasantly surprised.
[00:07:10.760 --> 00:07:11.760]   Low light.
[00:07:11.760 --> 00:07:13.920]   I thought it was just terrible though.
[00:07:13.920 --> 00:07:15.920]   There were in exactly.
[00:07:15.920 --> 00:07:16.920]   It was dark.
[00:07:16.920 --> 00:07:20.320]   I was about to say, yes, here we are.
[00:07:20.320 --> 00:07:21.520]   It's like, I've seen that.
[00:07:21.520 --> 00:07:25.160]   I'm seeing Andy's video and I am seeing that rolling or at least some tearing as I moved
[00:07:25.160 --> 00:07:26.160]   it around.
[00:07:26.160 --> 00:07:27.160]   Exactly.
[00:07:27.160 --> 00:07:28.160]   But I mean, it's certainly not bad.
[00:07:28.160 --> 00:07:29.160]   I mean, this looks pretty darn good.
[00:07:29.160 --> 00:07:30.960]   See, and you'll see some panning around.
[00:07:30.960 --> 00:07:35.040]   You also see which we get inside the shop when you see all kinds of comics, all kinds
[00:07:35.040 --> 00:07:38.560]   of statues, all kinds of magnets, all kinds of detail.
[00:07:38.560 --> 00:07:42.520]   And that's really what impressed me when looking at the footage when I dumped it into
[00:07:42.520 --> 00:07:43.520]   the iMovie.
[00:07:43.520 --> 00:07:48.480]   And actually, even better, you don't even need to sync this up as a regular camera.
[00:07:48.480 --> 00:07:54.000]   You put the nano into target disk mode and then you just simply have a quick time file
[00:07:54.000 --> 00:07:55.960]   that you can then simply copy wherever you want to go.
[00:07:55.960 --> 00:08:00.360]   As a matter of fact, I edited this using just QuickTime10.
[00:08:00.360 --> 00:08:01.360]   That was it.
[00:08:01.360 --> 00:08:02.360]   I just trimmed the star clip at the end.
[00:08:02.360 --> 00:08:03.360]   That was it.
[00:08:03.360 --> 00:08:06.760]   What do people think when you're holding up an iPod?
[00:08:06.760 --> 00:08:09.320]   Do they even believe you're taking video?
[00:08:09.320 --> 00:08:11.680]   This guy seems like he's a little non-plus by the whole thing.
