;FFMETADATA1
title=Black Rod for a Day
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-05-11
track=765
language=English
genre=Podcast
comment=App Tracking Transparency, Apple vs. Epic Games, colorful MacBooks
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Mac Break Weekly. Alex Lizzie has a week off, but don't worry, Renee and
[00:00:04.140 --> 00:00:08.820]   Annie have lots to say. We're going to talk about the epic battle between epic and Apple
[00:00:08.820 --> 00:00:15.920]   and many of the things now revealed. Huge success for the app tracking features in iOS
[00:00:15.920 --> 00:00:22.920]   14.5, but are you getting the full story? And then we'll talk a little bit about the
[00:00:22.920 --> 00:00:28.200]   perfect hack on the air tags. Just enough to make it small enough for your wallet. It's
[00:00:28.200 --> 00:00:31.280]   all coming up next on Mac Break Weekly.
[00:00:31.280 --> 00:00:33.280]   [Music]
[00:00:33.280 --> 00:00:36.920]   Podcasts You Love From People You Trust
[00:00:36.920 --> 00:00:40.320]   This is Twigt.
[00:00:40.320 --> 00:00:43.880]   [Music]
[00:00:43.880 --> 00:00:53.360]   This is Mac Break Weekly, Episode 765, recorded Tuesday, May 11th, 2021. Black Rod for a Day.
[00:00:53.360 --> 00:00:58.680]   This episode of Mac Break Weekly is brought to you by Untuck It! Summer is right around
[00:00:58.680 --> 00:01:03.320]   the corner and now is the perfect time to try out an untuck it shirt that's just right
[00:01:03.320 --> 00:01:10.800]   for you. Use the code TWIT for 20% off your first purchase at untuckit.com. And by Manscaped,
[00:01:10.800 --> 00:01:16.920]   the best in men's below the belt grooming. Smooth it out fellas with Manscaped. Get 20%
[00:01:16.920 --> 00:01:25.040]   off plus free shipping at Manscaped.com/twit. And by Casper. When it comes to a better night's
[00:01:25.040 --> 00:01:30.320]   sleep, Casper's new cooling collection has you covered. Focus on tomorrow, let Casper
