
[00:00:00.000 --> 00:00:07.160]   It's time for Mac break weekly the last episode of 2018 and yeah, there's still a lot of Apple news
[00:00:07.160 --> 00:00:14.000]   We'll talk about the Apple Qualcomm fights getting bitter getting vicious right now some free audio books for you from Apple which
[00:00:14.000 --> 00:00:18.560]   Starts a conversation about whether Apple might be getting into the audiobook business
[00:00:18.560 --> 00:00:25.320]   And we'll talk about TV Apple's plans for that. It's all coming up next Mac Rickwood
[00:00:29.280 --> 00:00:32.680]   Netcasts you love from people you trust
[00:00:32.680 --> 00:00:38.480]   This is to it
[00:00:38.480 --> 00:00:44.680]   This is Mac break weekly episode
[00:00:44.680 --> 00:00:50.480]   641 recorded Tuesday December 18th 2018 tick tick chunk
[00:00:50.480 --> 00:00:57.760]   Mac break weekly is brought to you by Rex the first corporate card for startups get the card free and
[00:00:57.760 --> 00:01:03.520]   Twit listeners get Rex card fees waived in perpetuity at rex.com/twit
[00:01:03.520 --> 00:01:06.600]   and by
[00:01:06.600 --> 00:01:11.980]   Rocket mortgage from quick and loans introducing rate shield approval if you're in the market to buy a home
[00:01:11.980 --> 00:01:15.760]   Race shield approval locks up your rate prep to 90 days while you shop
[00:01:15.760 --> 00:01:23.160]   It's a real game changer learn more and get started at rocket mortgage comm slash Mac break and by
[00:01:23.160 --> 00:01:25.200]   privacy.com
[00:01:25.200 --> 00:01:31.980]   Stop using the same card number everywhere use privacy virtual cards and you'll get a $5 credit off your first purchase
[00:01:31.980 --> 00:01:38.440]   Learn more and sign up in under a minute with your debit or checking account at privacy comm slash Mac break
[00:01:38.440 --> 00:01:43.520]   It's time for Mac break weekly the show we cover the latest news from Apple
[00:01:43.520 --> 00:01:50.200]   The full team has assembled our last Mac break weekly of 2018 Alex Lindsey is here
[00:01:50.200 --> 00:01:53.040]   Hello, hello great to have you from the pixel core good to be here
[00:01:53.040 --> 00:02:00.600]   I am not gonna break out the bottle of Louis the 13th today, but it is here. Oh my gosh. It is here
[00:02:00.600 --> 00:02:04.800]   Alex's I've I tricked Alex into coming in for our
[00:02:04.800 --> 00:02:07.480]   Christmas Eve Eve
[00:02:07.480 --> 00:02:13.400]   Twit I ordered my ass cut bring your ass cut. I have a smoking jacket. You can borrow it excellent and
[00:02:13.400 --> 00:02:18.980]   We will be we will be imbibing the world's most expensive cognac excellent
[00:02:20.440 --> 00:02:25.080]   Also with us Renee Richie from Montreal where Christmas is already over
[00:02:25.080 --> 00:02:29.760]   Yeah, sorry Canadian Christmas Leo. Yeah
[00:02:29.760 --> 00:02:32.880]   Great to see you because Santa starts up there
[00:02:32.880 --> 00:02:38.240]   He's just just directly over a second. I'm trainer battling him while he's doing the show. Oh, stop it
[00:02:38.240 --> 00:02:44.280]   Stop it. He is our he is my Pokemon go sensei and
[00:02:44.280 --> 00:02:47.520]   And of course at I'm where calm
[00:02:47.520 --> 00:02:50.840]   He's everybody's Pokemon go sensei along with everything else that he writes about
