
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 143 for June 2, 2009.
[00:00:34.000 --> 00:00:37.000]   Green Thumbs.
[00:00:37.000 --> 00:00:41.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:53.000]   And by Drobo, and the new Drobo Pro with expanded capacity
[00:00:53.000 --> 00:00:55.000]   and performance for small businesses.
[00:00:55.000 --> 00:00:59.000]   To learn more about Drobo Pro and for special offers on the Drobo,
[00:00:59.000 --> 00:01:03.000]   visit Drobo.com/macbreak.
[00:01:03.000 --> 00:01:06.000]   And by listeners like you.
[00:01:06.000 --> 00:01:07.000]   Thanks so much for your contribution.
[00:01:07.000 --> 00:01:09.000]   We couldn't do to it without it.
[00:01:09.000 --> 00:01:18.000]   It's time for Mac Break Weekly to show the covers all things Macintosh.
[00:01:18.000 --> 00:01:22.000]   Today we are going to talk about many, many things.
[00:01:22.000 --> 00:01:25.000]   But most of them will have to do with Apple.
[00:01:25.000 --> 00:01:26.000]   Some of them not.
[00:01:26.000 --> 00:01:29.000]   Joining us in studio today, Mr. Alex Lindsay of the Pixelcore.
[00:01:29.000 --> 00:01:30.000]   Hello, Alex.
[00:01:30.000 --> 00:01:31.000]   Hello.
[00:01:31.000 --> 00:01:32.000]   Good to have you back.
[00:01:32.000 --> 00:01:33.000]   It's good to be back.
[00:01:33.000 --> 00:01:36.000]   Alex is having a baby unfortunately.
[00:01:36.000 --> 00:01:39.000]   You look good for somebody eight months pregnant.
[00:01:39.000 --> 00:01:41.000]   Well, you know, diet.
[00:01:41.000 --> 00:01:42.000]   Mostly diet.
[00:01:42.000 --> 00:01:44.000]   But his wife is having a baby.
[00:01:44.000 --> 00:01:47.000]   But I was hoping to get Alex to kind of fill in while I'm in China,
[00:01:47.000 --> 00:01:50.000]   but I don't know if that's going to work because the baby is due right when
[00:01:50.000 --> 00:01:51.000]   you're in the middle.
[00:01:51.000 --> 00:01:52.000]   Yeah, it's right in the middle.
[00:01:52.000 --> 00:01:53.000]   We'll figure out a way.
[00:01:53.000 --> 00:01:54.000]   We're going to get you on the air.
[00:01:54.000 --> 00:01:59.000]   Also here kind of a surprise visitor out of, out of nowhere, but we're thrilled to have
[00:01:59.000 --> 00:02:00.000]   her.
[00:02:00.000 --> 00:02:01.000]   Jerry Ellsworth.
[00:02:01.000 --> 00:02:03.000]   She is the circuit girl of the Fat Man and Circuit Girl podcast.
[00:02:03.000 --> 00:02:04.000]   Nice to have you.
[00:02:04.000 --> 00:02:05.000]   Thank you, Leo.
[00:02:05.000 --> 00:02:06.000]   Thanks for having me.
[00:02:06.000 --> 00:02:08.000]   Good to see you, Jerry.
[00:02:08.000 --> 00:02:12.000]   She brought, she actually also works with New Tech who does our video equipment,
[00:02:12.000 --> 00:02:14.000]   the incredible Tri-Caster.
[00:02:14.000 --> 00:02:17.000]   She designed the chips, the chips.
[00:02:17.000 --> 00:02:19.000]   She designed the chips.
[00:02:19.000 --> 00:02:20.000]   Which is pretty important.
[00:02:20.000 --> 00:02:23.000]   Not the software, the hardware.
[00:02:23.000 --> 00:02:24.000]   And she has with her.
[00:02:24.000 --> 00:02:25.000]   I could do that.
[00:02:25.000 --> 00:02:26.000]   Shut up.
[00:02:26.000 --> 00:02:27.000]   Shut up.
[00:02:27.000 --> 00:02:32.000]   Also here, Mr. I could do that if he's not busy waxing his yacht.
[00:02:32.000 --> 00:02:35.000]   Mr. Scott Bollorn, ladies and gentlemen, from...
[00:02:35.000 --> 00:02:40.000]   Man, I'm so intimidated to be next to somebody who's like 42.39 trillion times smarter than
[00:02:40.000 --> 00:02:42.000]   me, but I'll do my best to hold my own today.
[00:02:42.000 --> 00:02:44.000]   I see you say that about Andy and Aco.
[00:02:44.000 --> 00:02:46.000]   Well, that too.
[00:02:46.000 --> 00:02:48.000]   He is to your left.
[00:02:48.000 --> 00:02:52.000]   Andy is the guy from the Chicago Sun Times.
[00:02:52.000 --> 00:02:53.000]   It covers tech.
[00:02:53.000 --> 00:02:55.000]   His hair looks fabulous today, am I?
[00:02:55.000 --> 00:02:57.000]   I had a meeting this morning.
[00:02:57.000 --> 00:03:01.000]   This is one of those rare Tuesday mornings when my hair is actually washed and combed.
[00:03:01.000 --> 00:03:03.000]   But I can tell you where a hat.
[00:03:03.000 --> 00:03:05.000]   Sherlock Holmes would know that you were a hat.
[00:03:05.000 --> 00:03:08.000]   Maybe the first time I've seen Andy.
[00:03:08.000 --> 00:03:12.000]   It's mostly just because your forehead is a little bit about three shades lighter than
[00:03:12.000 --> 00:03:13.000]   the rest of your face.
[00:03:13.000 --> 00:03:14.000]   Oh, well, yeah.
[00:03:14.000 --> 00:03:15.000]   Did you know that?
[00:03:15.000 --> 00:03:18.000]   You got a tan below the hat line.
[00:03:18.000 --> 00:03:21.000]   Oh, well, see, that's part of my...
[00:03:21.000 --> 00:03:25.000]   Again, maybe I've not been the most attractive guy in the room, like to cause my nerdy
[00:03:25.000 --> 00:03:29.000]   but the thing is, by wearing the hat all the time, my face is actually in constant shade
[00:03:29.000 --> 00:03:30.000]   almost.
[00:03:30.000 --> 00:03:32.000]   So, now I'm not a...
[00:03:32.000 --> 00:03:33.000]   All these people who've been...
[00:03:33.000 --> 00:03:34.000]   Not a line.
[00:03:34.000 --> 00:03:35.000]   Not a wrinkle.
[00:03:35.000 --> 00:03:36.000]   Well, okay.
[00:03:36.000 --> 00:03:38.000]   Andy, not a line, not a wrinkle and not...
[00:03:38.000 --> 00:03:39.000]   Not a...
[00:03:39.000 --> 00:03:41.000]   Not at this resolution, anyway.
[00:03:41.000 --> 00:03:42.000]   So...
[00:03:42.000 --> 00:03:43.000]   What did you know about...
[00:03:43.000 --> 00:03:44.000]   Say again?
[00:03:44.000 --> 00:03:45.000]   Oh, that was...
[00:03:45.000 --> 00:03:46.000]   No, I thought you were wrong.
[00:03:46.000 --> 00:03:51.000]   That was just gonna say, the only thing I know about ICs is how to release the magic smoke
[00:03:51.000 --> 00:03:52.000]   that makes them work.
[00:03:52.000 --> 00:03:55.000]   So, I'm definitely a little man of the phone.
[00:03:55.000 --> 00:03:56.000]   Sometimes I just...
[00:03:56.000 --> 00:04:00.000]   Sometimes I just do that for fun when they're really ticking me off.
[00:04:00.000 --> 00:04:02.000]   When you make your own, you can smoke them easily, right?
[00:04:02.000 --> 00:04:03.000]   That's right.
[00:04:03.000 --> 00:04:04.000]   There's always more where that came from.
[00:04:04.000 --> 00:04:10.000]   You actually were at the Maker Fair this weekend in down the peninsula in San Mateo.
[00:04:10.000 --> 00:04:11.000]   Correct.
[00:04:11.000 --> 00:04:14.000]   And showing off how to make chips in your own house.
[00:04:14.000 --> 00:04:15.000]   Exactly.
[00:04:15.000 --> 00:04:16.000]   Your home fab.
[00:04:16.000 --> 00:04:22.080]   I brought in a diffusion furnace and some household chemicals and we were making solar
[00:04:22.080 --> 00:04:24.000]   cells and MOSFETs and...
[00:04:24.000 --> 00:04:27.000]   I had no idea you could do that.
[00:04:27.000 --> 00:04:31.000]   I didn't either and a lot of people were against me when I was saying that I was gonna try to
[00:04:31.000 --> 00:04:34.000]   do this and it took me three years to pull it off.
[00:04:34.000 --> 00:04:38.000]   And they work like you can plug them in something and then they see and they work?
[00:04:38.000 --> 00:04:39.000]   Well, they're very primitive.
[00:04:39.000 --> 00:04:42.000]   The most complicated thing I've made is an inverter.
[00:04:42.000 --> 00:04:44.000]   But it has pins.
[00:04:44.000 --> 00:04:45.000]   Yeah.
[00:04:45.000 --> 00:04:46.000]   So you could put in a socket.
[00:04:46.000 --> 00:04:48.000]   Oh, we can hook it up to lab supplies.
[00:04:48.000 --> 00:04:49.000]   Oh, that's very cool.
[00:04:49.000 --> 00:04:51.000]   I brought some to show you.
[00:04:51.000 --> 00:04:52.000]   Oh good.
[00:04:52.000 --> 00:04:54.000]   Well, it's an audio show, unfortunately.
[00:04:54.000 --> 00:04:57.000]   But for those of you watching at Home On Video, I should tell people that if you want to watch
[00:04:57.000 --> 00:05:01.000]   at Home On Video, we do do this show roughly, and I mean roughly at 11 o'clock.
[00:05:01.000 --> 00:05:04.000]   We start sometime between 11 and noon.
[00:05:04.000 --> 00:05:10.000]   Two p.m. to three p.m. eastern time, roughly 1,800 U.T.
[00:05:10.000 --> 00:05:13.000]   But at 11 you'll see a whole different side of us until it's actually...
[00:05:13.000 --> 00:05:15.000]   Yeah, that's very informal for the first half hour.
[00:05:15.000 --> 00:05:16.000]   Yeah.
[00:05:16.000 --> 00:05:17.000]   It's kind of fun.
[00:05:17.000 --> 00:05:18.000]   Then we finally get started.
[00:05:18.000 --> 00:05:23.000]   It's usually when we're experimenting with whatever new piece of hardware or gear that Leo has
[00:05:23.000 --> 00:05:26.000]   decided to insert into the stream one today.
[00:05:26.000 --> 00:05:28.000]   I don't really like to call this a studio.
[00:05:28.000 --> 00:05:29.000]   It's more of a lab.
[00:05:29.000 --> 00:05:30.000]   More of a lab.
[00:05:30.000 --> 00:05:32.000]   More of a work in progress, actually.
[00:05:32.000 --> 00:05:33.000]   It is beta, technically.
[00:05:33.000 --> 00:05:34.000]   We're still beta.
[00:05:34.000 --> 00:05:36.000]   The Twit Stunkworks.
[00:05:36.000 --> 00:05:37.000]   Yeah.
[00:05:37.000 --> 00:05:44.000]   I got from Elgato this video capture unit.
[00:05:44.000 --> 00:05:45.000]   They just came out with this.
[00:05:45.000 --> 00:05:46.000]   It's about $89.
[00:05:46.000 --> 00:05:49.500]   I'm going to try it as a way to record our video so that we can put it on YouTube because
[00:05:49.500 --> 00:05:51.000]   YouTube wants MPEG-4 video.
[00:05:51.000 --> 00:05:57.000]   It turns out I talked to Google and they said what we want is you MPEG-4, H.264 and an
[00:05:57.000 --> 00:05:58.000]   MPEG-4 wrapper.
[00:05:58.000 --> 00:05:59.000]   Got it.
[00:05:59.000 --> 00:06:01.000]   So this will make that.
[00:06:01.000 --> 00:06:02.000]   Excellent.
[00:06:02.000 --> 00:06:03.000]   We'll see if we can.
[00:06:03.000 --> 00:06:04.000]   I'd love to get our video up on YouTube.
[00:06:04.000 --> 00:06:08.360]   Then I could say or you could watch us on YouTube or you could even if we'd once we've
[00:06:08.360 --> 00:06:09.720]   done that, we can make it a podcast.
[00:06:09.720 --> 00:06:11.560]   You could download a lot of people.
[00:06:11.560 --> 00:06:12.560]   I'm daring.
[00:06:12.560 --> 00:06:17.160]   That doesn't work with some of the new stuff that they came out with doesn't appear to
[00:06:17.160 --> 00:06:24.280]   work with the new version.
[00:06:24.280 --> 00:06:25.200]   Can I say it all of a sudden?
[00:06:25.200 --> 00:06:26.600]   I just had a fine.
[00:06:26.600 --> 00:06:28.320]   You mean is it software or hardware?
[00:06:28.320 --> 00:06:29.320]   I movie.
[00:06:29.320 --> 00:06:30.320]   Oh, I movie probably.
[00:06:30.320 --> 00:06:31.320]   Yeah.
[00:06:31.320 --> 00:06:32.760]   It doesn't be doing any I movie.
[00:06:32.760 --> 00:06:33.760]   I just wanted to point that out.
[00:06:33.760 --> 00:06:34.760]   That's called posting.
[00:06:34.760 --> 00:06:35.760]   I don't post.
[00:06:35.760 --> 00:06:38.400]   You get what we record and that's and you'll like it.
[00:06:38.400 --> 00:06:41.280]   No, I can use QuickTime to trim it though and I'll probably do that.
[00:06:41.280 --> 00:06:43.880]   Get it at least the beginning and the end.
[00:06:43.880 --> 00:06:46.440]   It's not going to be a fancy polished edited piece.
[00:06:46.440 --> 00:06:47.440]   It's going to be.
[00:06:47.440 --> 00:06:48.440]   It's not?
[00:06:48.440 --> 00:06:49.440]   No.
[00:06:49.440 --> 00:06:50.440]   I'm so sorry.
[00:06:50.440 --> 00:06:53.840]   I'm Mr. Live to tape, don't you know?
[00:06:53.840 --> 00:06:55.320]   Is there any Apple news whatsoever?
[00:06:55.320 --> 00:06:56.800]   You know, next week's going to be huge.
[00:06:56.800 --> 00:06:58.560]   There's plenty of Apple news.
[00:06:58.560 --> 00:06:59.680]   I'll tell us Scott born.
[00:06:59.680 --> 00:07:00.680]   What is the other?
[00:07:00.680 --> 00:07:02.080]   There was a bunch of updates yesterday.
[00:07:02.080 --> 00:07:04.080]   You mean the download?
[00:07:04.080 --> 00:07:05.080]   Yeah.
[00:07:05.080 --> 00:07:06.080]   Oh, I didn't even see those.
[00:07:06.080 --> 00:07:07.520]   You see there's this little thing.
[00:07:07.520 --> 00:07:08.520]   It's an Apple.
[00:07:08.520 --> 00:07:10.240]   It's in the top left corner of your screen.
[00:07:10.240 --> 00:07:11.240]   Yeah.
