
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachiefly.com.
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, Episode 61 for October 9th, 2007.
[00:00:34.000 --> 00:00:37.000]   The Buffont of Knowledge.
[00:00:37.000 --> 00:00:43.000]   MacBreak Weekly is brought to you by audible.com.
[00:00:43.000 --> 00:00:49.000]   For your free audio book, visit audible.com/macbreak.
[00:00:49.000 --> 00:00:56.000]   This is MacBreak Weekly and with us around the table today,
[00:00:56.000 --> 00:00:59.000]   Scott Born is not here, I'm sorry to say, and it's too bad,
[00:00:59.000 --> 00:01:03.000]   because he really should be here today as the iPhone advocate,
[00:01:03.000 --> 00:01:07.000]   because he would get to go "neener, neener, neener" to me today.
[00:01:07.000 --> 00:01:11.000]   Erica Sedoon is on the line also from the unofficial Apple web blog.
[00:01:11.000 --> 00:01:13.000]   Hello, Erica.
[00:01:13.000 --> 00:01:14.000]   Hello.
[00:01:14.000 --> 00:01:19.000]   She's also probably the foremost, well, maybe not the foremost,
[00:01:19.000 --> 00:01:22.000]   but it's been very active in iPhone applications.
[00:01:22.000 --> 00:01:27.000]   She wrote, "Not only did you write a really great one called
[00:01:27.000 --> 00:01:29.000]   "Sentunes," is it Sentunes?
[00:01:29.000 --> 00:01:32.000]   That allowed me to use something like that.
[00:01:32.000 --> 00:01:33.000]   Sent Songs.
[00:01:33.000 --> 00:01:34.000]   You don't even know.
[00:01:34.000 --> 00:01:39.000]   That allowed me to send any ringtones to my iPhone's Ringtone folder,
[00:01:39.000 --> 00:01:43.000]   also email songs, but also she did a lot of the underlying
[00:01:43.000 --> 00:01:47.000]   shell utilities for the BSD stuff, which was great.
[00:01:47.000 --> 00:01:49.000]   Did you do SSH as well?
[00:01:49.000 --> 00:01:50.000]   I did not.
[00:01:50.000 --> 00:01:51.000]   That was nerve gas.
[00:01:51.000 --> 00:01:53.000]   Oh, nerve gas.
[00:01:53.000 --> 00:01:54.000]   There you go.
[00:01:54.000 --> 00:01:56.000]   You know, you guys can't hear it probably.
[00:01:56.000 --> 00:01:57.000]   Can you hear, Erica?
[00:01:57.000 --> 00:01:58.000]   Everybody here all right?
[00:01:58.000 --> 00:01:59.000]   Yeah.
[00:01:59.000 --> 00:02:00.000]   She's a little low.
[00:02:00.000 --> 00:02:01.000]   Okay.
[00:02:01.000 --> 00:02:02.000]   So let's say hello to the other guys.
[00:02:02.000 --> 00:02:04.000]   Andy Inako is here from the Chicago Sun Times.
[00:02:04.000 --> 00:02:05.000]   Hello, Andy.
[00:02:05.000 --> 00:02:06.000]   Hello, everybody.
[00:02:06.000 --> 00:02:09.000]   I'm going to try not to whistle or annoy you in any way today.
[00:02:09.000 --> 00:02:12.000]   You can stop whistling, but I hope you never stop annoying me,
[00:02:12.000 --> 00:02:16.000]   Leo, because when you annoy, you help the industry.
[00:02:16.000 --> 00:02:20.000]   There I said, "This is going to be the Leo Apology show today."
[00:02:20.000 --> 00:02:24.000]   Chris Breen is Leo Laporte, National Day of Atonement.
[00:02:24.000 --> 00:02:26.000]   It's my day of Atonement.
[00:02:26.000 --> 00:02:28.000]   The Yom Kapoor at the Laporte House.
[00:02:28.000 --> 00:02:29.000]   Chris Breen is here.
[00:02:29.000 --> 00:02:32.000]   He is from, of course, Mac World Magazine, the Mac 911 column,
[00:02:32.000 --> 00:02:34.000]   and has written many, many books.
[00:02:34.000 --> 00:02:36.000]   His latest is an iPhone book.
[00:02:36.000 --> 00:02:37.000]   Yeah.
[00:02:37.000 --> 00:02:40.000]   And I have to, honestly, I have to thank Erica largely for that,
[00:02:40.000 --> 00:02:44.000]   because if it weren't for her screen capture utility that she
[00:02:44.000 --> 00:02:47.000]   allowed to work on the iPhone, I would have been sunk.
[00:02:47.000 --> 00:02:50.000]   I was looking at taking pictures of the interface.
[00:02:50.000 --> 00:02:52.000]   I thought, "No, I can't pass that.
[00:02:52.000 --> 00:02:53.000]   Steve could do it.
[00:02:53.000 --> 00:02:54.000]   I'm sure I can do it too."
[00:02:54.000 --> 00:02:57.000]   And Erica came up with the solution, and I am bowing in her
[00:02:57.000 --> 00:03:00.000]   direction as I think a round of applause in order for Erica Sedun.
[00:03:00.000 --> 00:03:01.000]   Oh, absolutely.
[00:03:01.000 --> 00:03:04.000]   Well, actually, you need to thank my husband.
[00:03:04.000 --> 00:03:05.000]   Why?
[00:03:05.000 --> 00:03:06.000]   Really?
[00:03:06.000 --> 00:03:12.000]   Because when I wrote it, I said to him, "Do I put this out there?"
[00:03:12.000 --> 00:03:15.000]   Because, you know, I'm writing a book, too.
[00:03:15.000 --> 00:03:20.000]   And he said, "You can be a good business woman, or you could be a good person."
[00:03:20.000 --> 00:03:23.000]   Oh, now that's a nice guy.
[00:03:23.000 --> 00:03:24.000]   And you did it.
[00:03:24.000 --> 00:03:25.000]   You were a nice person.
[00:03:25.000 --> 00:03:29.000]   Now, I thought the book was on hold after the breaking of the iPhone.
[00:03:29.000 --> 00:03:31.000]   That's a different book.
[00:03:31.000 --> 00:03:32.000]   Oh, okay.
[00:03:32.000 --> 00:03:36.000]   The book that's coming out December 17th is from A Press,
[00:03:36.000 --> 00:03:39.000]   and it's called "Taking Your iPhone to the Mac."
[00:03:39.000 --> 00:03:40.000]   Excellent.
[00:03:40.000 --> 00:03:42.000]   Well, this is the person who should know how to do that.
[00:03:42.000 --> 00:03:45.000]   Also, here for you is the last time for sometime, Mr. Merlin Mann.
[00:03:45.000 --> 00:03:46.000]   Hello, Merlin.
[00:03:46.000 --> 00:03:47.000]   Hello, Leo.
[00:03:47.000 --> 00:03:48.000]   How are you?
[00:03:48.000 --> 00:03:50.000]   Can we tell people why this is your last time for some time?
[00:03:50.000 --> 00:03:52.000]   For some reason.
[00:03:52.000 --> 00:03:56.000]   It feels like you're Max Detweiler, and I'm the Von Trapp family.
[00:03:56.000 --> 00:03:58.000]   So, you're about to announce this for the last time.
[00:03:58.000 --> 00:03:59.000]   Well, that's the reason.
[00:03:59.000 --> 00:04:01.000]   Last time that he'll be performing for some time.
[00:04:01.000 --> 00:04:05.000]   Nick, he's got a balloon out back and will be flying over the border.
[00:04:05.000 --> 00:04:06.000]   Yeah, you can.
[00:04:06.000 --> 00:04:07.000]   You can.
[00:04:07.000 --> 00:04:08.000]   Yeah.
[00:04:08.000 --> 00:04:13.000]   My wife is apparently going to provide us with a daughter very soon.
[00:04:13.000 --> 00:04:14.000]   Oh, now we know it's a girl.
[00:04:14.000 --> 00:04:16.000]   Yeah, well, how exciting.
[00:04:16.000 --> 00:04:17.000]   What name?
[00:04:17.000 --> 00:04:20.000]   Oh, now you think I'm going to tell you that?
[00:04:20.000 --> 00:04:21.000]   Oh.
[00:04:21.000 --> 00:04:23.000]   Well, we were going to call her.
[00:04:23.000 --> 00:04:27.000]   It looks, it's pronounced Joan Bennett, but it looks like John Benet.
[00:04:27.000 --> 00:04:29.000]   When you start it.
[00:04:29.000 --> 00:04:30.000]   No, no.
[00:04:30.000 --> 00:04:32.000]   She's our little cow girl.
[00:04:32.000 --> 00:04:34.000]   No, that's private.
[00:04:34.000 --> 00:04:37.000]   But yeah, I'm kind of going to slowly go a little bit.
[00:04:37.000 --> 00:04:41.000]   A little bit off the grid and regrettably.
[00:04:41.000 --> 00:04:43.000]   What we doing?
[00:04:43.000 --> 00:04:44.000]   Matt, break with you.
[00:04:44.000 --> 00:04:45.000]   You will.
[00:04:45.000 --> 00:04:46.000]   You'll be back very quickly.
[00:04:46.000 --> 00:04:50.000]   And Erica, who has baby's nose that you'll be so anxious to get back on.
[00:04:50.000 --> 00:04:52.000]   I want the break.
[00:04:52.000 --> 00:04:54.000]   You don't want to talk to grownups really bad.
[00:04:54.000 --> 00:04:55.000]   Oh, yeah.
[00:04:55.000 --> 00:04:56.000]   Chris knows that too.
[00:04:56.000 --> 00:04:57.000]   I think.
[00:04:57.000 --> 00:04:58.000]   Oh, yeah.
[00:04:58.000 --> 00:05:01.000]   Any minute now you're going to be saying I need to talk to a grownup.
[00:05:01.000 --> 00:05:03.000]   So, when is Madeline do?
[00:05:03.000 --> 00:05:04.000]   Yeah, later this month.
[00:05:04.000 --> 00:05:05.000]   That's exciting.
[00:05:05.000 --> 00:05:08.000]   So now it's now we can admit it's official to everybody.
[00:05:08.000 --> 00:05:10.000]   We've got a bunch of babies.
[00:05:10.000 --> 00:05:12.000]   Oh, actually I should add Alex Lindsey is also having a baby.
[00:05:12.000 --> 00:05:13.000]   He is not.
[00:05:13.000 --> 00:05:14.000]   That's out.
[00:05:14.000 --> 00:05:15.000]   I think that's out.
[00:05:15.000 --> 00:05:21.000]   Alex Lindsey, the official three, the Twit three are Merlin, Alex and Patrick Norton.
[00:05:21.000 --> 00:05:23.000]   And I think everybody now knows about all of them.
[00:05:23.000 --> 00:05:24.000]   I'm going to see if I can add Alex.
[00:05:24.000 --> 00:05:26.000]   He said he would be in a hotel.
[00:05:26.000 --> 00:05:29.000]   He's probably, I don't know if he's available or not.
[00:05:29.000 --> 00:05:30.000]   I don't see him on Skype.
[00:05:30.000 --> 00:05:31.000]   Oh, there he is.
[00:05:31.000 --> 00:05:32.000]   Hello, Alex.
[00:05:32.000 --> 00:05:33.000]   Well, we do.
[00:05:33.000 --> 00:05:34.000]   I'm the largest panel ever.
[00:05:34.000 --> 00:05:37.000]   Alex Lindsey is also here from the Pixel Core.
[00:05:37.000 --> 00:05:41.240]   Well, is one of us going to be the designated Scott to be a karma suck about the iPhone?
[00:05:41.240 --> 00:05:46.640]   I will be because I deserve to be because I was the one who said Apple did it on purpose.
[00:05:46.640 --> 00:05:49.800]   And if they didn't do it on purpose, they could have done a better job not doing it
[00:05:49.800 --> 00:05:50.800]   on purpose.
[00:05:50.800 --> 00:05:52.680]   And I've been very whiny and vocal about it.
[00:05:52.680 --> 00:05:54.600]   And a lot of people have offered me cheese with my wine.
[00:05:54.600 --> 00:06:00.000]   And Erica Sedoon is here to say they didn't do it on purpose after all.
[00:06:00.000 --> 00:06:01.000]   That's what you that's what you posted today.
[00:06:01.000 --> 00:06:02.280]   Well, I don't know for sure.
[00:06:02.280 --> 00:06:04.280]   No one knows what they're real intent because they haven't said a word.
[00:06:04.280 --> 00:06:07.560]   I just think that if they were going to brick it, they could have done a much better job
[00:06:07.560 --> 00:06:08.560]   at it.
[00:06:08.560 --> 00:06:11.960]   So they just didn't do it as well as they could have.
[00:06:11.960 --> 00:06:15.720]   Now somebody said to me that correct me if I'm wrong, that it was a buffer overflow
[00:06:15.720 --> 00:06:20.560]   exploit that allowed the phone to be unlocked in the first place and that by patching that
[00:06:20.560 --> 00:06:24.720]   exploit Apple bricked, but they had to patch the exploit.
[00:06:24.720 --> 00:06:25.720]   Is that accurate?
[00:06:25.720 --> 00:06:27.720]   Not as far as I know.
[00:06:27.720 --> 00:06:28.720]   That's what I didn't think it was.
[00:06:28.720 --> 00:06:31.760]   The first jail lock were just emulating I to.
[00:06:31.760 --> 00:06:32.760]   Okay.
[00:06:32.760 --> 00:06:39.200]   iTunes used to be able to do all sorts of lovely things like mount discs, copy files.
[00:06:39.200 --> 00:06:40.200]   Now it doesn't.
[00:06:40.200 --> 00:06:43.920]   Yeah, it really annoyed me in fact that I couldn't mount the iPhone and as I would
[00:06:43.920 --> 00:06:48.400]   with used to be able to with an iPod.
[00:06:48.400 --> 00:06:52.920]   There is no option in iTunes to allow you to get this access.
[00:06:52.920 --> 00:06:54.520]   Yeah, that's too bad.
[00:06:54.520 --> 00:06:57.160]   Is that for all iPods now?
[00:06:57.160 --> 00:07:05.480]   It is to the best of my knowledge for the iPod touch and the iPhone and is not exclusively
[00:07:05.480 --> 00:07:07.560]   you know, it's not it.
[00:07:07.560 --> 00:07:11.520]   So Chris Breen, you could still you could still mount an iPod and copy songs over to
[00:07:11.520 --> 00:07:13.440]   it, but just not the touch and the.
[00:07:13.440 --> 00:07:18.200]   Yeah, as Erica says, it's it's the you can't mount the iPod touch.
[00:07:18.200 --> 00:07:19.800]   That's really annoying as a hard drive.
[00:07:19.800 --> 00:07:23.920]   Yeah, but you can put the iPod touch into manual mode, which is something you can't do
[00:07:23.920 --> 00:07:24.920]   with the.
[00:07:24.920 --> 00:07:28.000]   You'll still do have that manual way to copy songs on there.
[00:07:28.000 --> 00:07:29.000]   It's very frustrating.
[00:07:29.000 --> 00:07:32.720]   I have to sync my iPhone to different computers depending on which songs I want to have on
[00:07:32.720 --> 00:07:33.720]   there.
[00:07:33.720 --> 00:07:35.280]   I haven't gotten around to moving everything over.
[00:07:35.280 --> 00:07:40.720]   Yeah, that's one of the reasons why I'm keeping one of my iPhones at 10 point at 1.02
