
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachiefly.com.
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, episode 114, for November 11, 2008.
[00:00:34.000 --> 00:00:37.000]   Sexy Bandkicks.
[00:00:37.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit Audible.com/MacBreak.
[00:00:47.000 --> 00:00:51.000]   And by listeners like you.
[00:00:51.000 --> 00:00:53.000]   Thanks so much for your contribution.
[00:00:53.000 --> 00:00:55.000]   We couldn't do to it without it.
[00:00:55.000 --> 00:00:58.000]   It's time for MacBreak Weekly a chance to sit around
[00:00:58.000 --> 00:01:01.000]   and gas shoot the breeze about topics of Macintosh.
[00:01:01.000 --> 00:01:05.000]   And today is Veterans Day.
[00:01:05.000 --> 00:01:07.000]   I don't know if we say happy Veterans Day,
[00:01:07.000 --> 00:01:09.000]   but we do want to send out a shout out to all the folks,
[00:01:09.000 --> 00:01:13.000]   all the men and women who have served their country
[00:01:13.000 --> 00:01:15.000]   in the Armed Forces.
[00:01:15.000 --> 00:01:17.000]   And you know, because we're an international show,
[00:01:17.000 --> 00:01:19.000]   about 30% of Ryan's is international.
[00:01:19.000 --> 00:01:22.000]   This is also Remembrance Day or Armistice Day
[00:01:22.000 --> 00:01:24.000]   around much of the world.
[00:01:24.000 --> 00:01:26.000]   So we say a salute to everybody who served
[00:01:26.000 --> 00:01:28.000]   in the Armed Forces of any nation out there.
[00:01:28.000 --> 00:01:31.000]   It's a great sacrifice we know and a very important one.
[00:01:31.000 --> 00:01:34.000]   I would be wearing a red poppy if I had one.
[00:01:34.000 --> 00:01:36.000]   Imagine that I'm wearing a red poppy.
[00:01:36.000 --> 00:01:39.000]   Andy Inako is a red poppy, I believe.
[00:01:39.000 --> 00:01:41.000]   Andy Inako from Chicago sometimes.
[00:01:41.000 --> 00:01:42.000]   Andy?
[00:01:42.000 --> 00:01:44.000]   I'm actually more of a summer,
[00:01:44.000 --> 00:01:46.000]   although I can pull off a fuchsia.
[00:01:46.000 --> 00:01:47.000]   You're not a Gentone.
[00:01:47.000 --> 00:01:48.000]   You're not a Gentone, huh?
[00:01:48.000 --> 00:01:49.000]   Yeah, a Gentone, huh?
[00:01:49.000 --> 00:01:51.000]   I think you'd look good in the gem tones
[00:01:51.000 --> 00:01:53.000]   and the basic colors there.
[00:01:53.000 --> 00:01:55.000]   Your girlfriend, I look good in anything.
[00:01:55.000 --> 00:01:57.000]   Are you a winner?
[00:01:57.000 --> 00:01:58.000]   Andy is...
[00:01:58.000 --> 00:01:59.000]   Oh, he had my soul.
[00:01:59.000 --> 00:02:00.000]   From the Chicago Sun Times.
[00:02:00.000 --> 00:02:04.000]   Also the Celestial Waste of Bandwidth, C-W-O-B dot com.
[00:02:04.000 --> 00:02:08.000]   Scott Born is not with us today because he's a veteran
[00:02:08.000 --> 00:02:12.000]   of Vietnam veteran and is the Grand Marshal.
[00:02:12.000 --> 00:02:13.000]   What did he say?
[00:02:13.000 --> 00:02:15.000]   Is it the Gig Harbor parade?
[00:02:15.000 --> 00:02:17.000]   He's a Grand Marshal of his local Veterans Day parade,
[00:02:17.000 --> 00:02:19.000]   which I think is so cool.
[00:02:19.000 --> 00:02:22.000]   And you sent a nice note, I thought, to him.
[00:02:22.000 --> 00:02:25.000]   Well, it was, I mean, it was where he told me
[00:02:25.000 --> 00:02:27.000]   that he was marching in the parade and I just replied,
[00:02:27.000 --> 00:02:29.000]   because it was weird because just earlier that day,
[00:02:29.000 --> 00:02:33.000]   I was looking forward to Veterans Day and just reflecting
[00:02:33.000 --> 00:02:35.000]   on the fact that mine was trying to figure out
[00:02:35.000 --> 00:02:38.000]   whether my generation was the second,
[00:02:38.000 --> 00:02:41.000]   maybe the third at the most, only the second generation
[00:02:41.000 --> 00:02:44.000]   in the 20th century, where you're a kid
[00:02:44.000 --> 00:02:47.000]   and you're growing up in high school and you don't have to worry
[00:02:47.000 --> 00:02:50.000]   about whether you're going to be spending your college years
[00:02:50.000 --> 00:02:53.000]   at war because every generation before mine,
[00:02:53.000 --> 00:02:55.000]   you know, you make your plans for you thinking,
[00:02:55.000 --> 00:02:57.000]   well, I might be overseas, I might be shooting at people,
[00:02:57.000 --> 00:02:59.000]   I might have people shooting at me.
[00:02:59.000 --> 00:03:02.000]   And that was a very, very weird, that's a very weird
[00:03:02.000 --> 00:03:05.000]   and interesting thing and I know that it's the people who served
[00:03:05.000 --> 00:03:07.000]   in uniform in the past and the people who serve in uniform
[00:03:07.000 --> 00:03:10.000]   today that allowed me to basically pack around at RPI
[00:03:10.000 --> 00:03:13.000]   for four years and not worry about being shut up.
[00:03:13.000 --> 00:03:17.000]   It's true, I am Scott's a little, a year or two older than me.
[00:03:17.000 --> 00:03:19.000]   And there, but for the grace of God,
[00:03:19.000 --> 00:03:20.000]   that's the divide.
[00:03:20.000 --> 00:03:22.000]   I was in the last year of the lottery.
[00:03:22.000 --> 00:03:25.000]   I had a high number, but they didn't end up drafting people
[00:03:25.000 --> 00:03:27.000]   from that year and then that was it.
[00:03:27.000 --> 00:03:30.000]   And the only, I don't know if Scott was drafted or enlisted,
[00:03:30.000 --> 00:03:32.000]   somehow knowing Scott, I suspect he enlisted,
[00:03:32.000 --> 00:03:34.000]   but we'll ask him the story.
[00:03:34.000 --> 00:03:36.000]   But he is in the marshals float in his parade,
[00:03:36.000 --> 00:03:38.000]   probably in Gig Harbor.
[00:03:38.000 --> 00:03:41.000]   So Scott, we salute you and all our veterans,
[00:03:41.000 --> 00:03:44.000]   and thank you for your service to keep this country free.
[00:03:44.000 --> 00:03:48.000]   On the line with us, a first timer, a newbie,
[00:03:48.000 --> 00:03:51.000]   John Redinger, he is, you might have seen him on YouTube,
[00:03:51.000 --> 00:03:54.000]   his channel, John number four Lakers,
[00:03:54.000 --> 00:03:57.000]   or go to john4lakers.com.j-o-n,
[00:03:57.000 --> 00:04:02.000]   features all things geeky and it's really good to have
[00:04:02.000 --> 00:04:03.000]   some fresh blood on here.
[00:04:03.000 --> 00:04:04.000]   John, welcome.
[00:04:04.000 --> 00:04:05.000]   Thank you.
[00:04:05.000 --> 00:04:06.000]   I'm very happy to be here.
[00:04:06.000 --> 00:04:07.000]   How did you get started?
[00:04:07.000 --> 00:04:08.000]   Yes.
[00:04:08.000 --> 00:04:09.000]   You've been doing this.
[00:04:09.000 --> 00:04:12.000]   You've got 10,000 subscribers, quarter of a million channel views.
[00:04:12.000 --> 00:04:13.000]   That's a lot.
[00:04:13.000 --> 00:04:15.000]   12,000 videos watched.
[00:04:15.000 --> 00:04:16.000]   I don't know.
[00:04:16.000 --> 00:04:17.000]   How many videos do you have?
[00:04:17.000 --> 00:04:19.000]   How many videos do you have on here?
[00:04:19.000 --> 00:04:22.000]   I think I've got somewhere around 150 videos.
[00:04:22.000 --> 00:04:23.000]   Wow.
[00:04:23.000 --> 00:04:24.000]   I got started.
[00:04:24.000 --> 00:04:27.000]   I was looking to buy my first Apple MacBook Pro
[00:04:27.000 --> 00:04:28.000]   about a year and a half ago.
[00:04:28.000 --> 00:04:30.000]   I was looking around YouTube and there really weren't
[00:04:30.000 --> 00:04:32.000]   that many good videos.
[00:04:32.000 --> 00:04:35.000]   So I created an account just to comment on what videos there were.
[00:04:35.000 --> 00:04:37.000]   And when I got my first computer,
[00:04:37.000 --> 00:04:40.000]   I figured it'd be fun to make a video and things kind of grew from there.
[00:04:40.000 --> 00:04:42.000]   There was a very quick response.
[00:04:42.000 --> 00:04:46.000]   And I really enjoyed making videos and sharing my knowledge.
[00:04:46.000 --> 00:04:49.000]   It was really blossomed into more of a community forum.
[00:04:49.000 --> 00:04:53.000]   Became less about me and more about the viewers and more about the community.
[00:04:53.000 --> 00:04:54.000]   It's for you.
[00:04:54.000 --> 00:04:55.000]   That's fantastic.
[00:04:55.000 --> 00:04:56.000]   Thank you.
[00:04:56.000 --> 00:05:00.000]   And that branched over to john4lakers.com, which is a community forum.
[00:05:00.000 --> 00:05:04.000]   It's all 100% user-generated content where they can write about anything geeky.
[00:05:04.000 --> 00:05:05.000]   Wow.
[00:05:05.000 --> 00:05:06.000]   I like that.
[00:05:06.000 --> 00:05:08.000]   How many people do you have participating in there?
[00:05:08.000 --> 00:05:14.000]   Right now we have, I believe, over 100 writers from about 12 different countries.
[00:05:14.000 --> 00:05:16.000]   That's really impressive.
[00:05:16.000 --> 00:05:17.000]   That's amazing.
[00:05:17.000 --> 00:05:18.000]   Thank you.
[00:05:18.000 --> 00:05:20.000]   It's a nice opportunity to give the people a voice.
[00:05:20.000 --> 00:05:22.000]   Those that don't have many subscribers on YouTube,
[00:05:22.000 --> 00:05:24.000]   they can promote their own channels.
[00:05:24.000 --> 00:05:26.000]   Well, we'll give you a chance to promote them.
[00:05:26.000 --> 00:05:27.000]   How about that?
[00:05:27.000 --> 00:05:28.000]   Hey, thank you very much.
[00:05:28.000 --> 00:05:29.000]   I appreciate it.
[00:05:29.000 --> 00:05:31.000]   Joining us in a few minutes, John Gruber,
[00:05:31.000 --> 00:05:34.000]   let's see, Alex Lindsey is in transit.
[00:05:34.000 --> 00:05:37.000]   We're going to, I don't know how much we're going to see of Alex over the next few weeks.
[00:05:37.000 --> 00:05:43.000]   He's, he's going to Japan for six weeks to work on a movie.
[00:05:43.000 --> 00:05:45.000]   So I think we may lose him.
[00:05:45.000 --> 00:05:48.000]   Leo, I think, I think we've been joined by yourself.
[00:05:48.000 --> 00:05:50.000]   Oh, you hear, you're hearing, you're hearing me?
[00:05:50.000 --> 00:05:52.000]   No wonder John kind of shut up.
[00:05:52.000 --> 00:05:58.000]   That actually, that is, that is me coming to you from John's site, John for Lakers technology.
[00:05:58.000 --> 00:05:59.000]   Apologies.
[00:05:59.000 --> 00:06:01.000]   I'll stop that right now.
[00:06:01.000 --> 00:06:03.000]   We're mirroring you guys over there.
[00:06:03.000 --> 00:06:04.000]   That's weird.
[00:06:04.000 --> 00:06:06.000]   That's really a weird experience.
[00:06:06.000 --> 00:06:08.000]   That's fantastic.
[00:06:08.000 --> 00:06:10.000]   So let's, let's talk about the Mac.
[00:06:10.000 --> 00:06:13.000]   There's actually not that much to say.
[00:06:13.000 --> 00:06:18.000]   A lot of the stories today about the Macintosh, our stories about Macintosh competitors.
[00:06:18.000 --> 00:06:24.000]   For instance, it looks like the Blackberry Storm, which is Blackberry's real response to the iPhone,
[00:06:24.000 --> 00:06:26.000]   will come out sometime in the next week.
[00:06:26.000 --> 00:06:29.000]   They're saying maybe even November 17th, this is a rumor.
[00:06:29.000 --> 00:06:34.000]   That's a, but a rumor that comes out of kind of a strange, a provenance.
[00:06:34.000 --> 00:06:38.000]   Larry Dignon reports it on his column between the lines on ZDNet.
[00:06:38.000 --> 00:06:44.000]   He says, "In a conversation with Verizon's help desk on an unrelated issue, a customer
[00:06:44.000 --> 00:06:48.000]   reps spilled the beans that that release date is November 17th."
[00:06:48.000 --> 00:06:52.000]   He said, "Verizon has completed training with its tech support staff.
[00:06:52.000 --> 00:06:55.000]   Monday will be the day for the storm."
[00:06:55.000 --> 00:06:59.000]   And he says, "There's a lot of people waiting for this storm because they're ready to dump
[00:06:59.000 --> 00:07:01.000]   their crappy smartphones."
[00:07:01.000 --> 00:07:07.000]   Have you, now, Andy, I know you may be in the situation where you can't talk about it.
[00:07:07.000 --> 00:07:11.000]   I'm not sure if you're under non-disclosure, but I'm sure you're waiting with interest.
[00:07:11.000 --> 00:07:17.000]   Unfortunately, I can speak freely about the storm because I don't have a problem.
[00:07:17.000 --> 00:07:25.000]   I'm in firefighter mode, unfortunately, where the PR company says, "We were wondering if
[00:07:25.000 --> 00:07:29.000]   you would be available to speak to us at some point that we can't tell you about in the
[00:07:29.000 --> 00:07:31.000]   future, about an unenized product."
[00:07:31.000 --> 00:07:32.000]   But alarm bell will go off.
[00:07:32.000 --> 00:07:35.000]   You will jump into your pants, slide down a pole, and you're going to learn all about it.
[00:07:35.000 --> 00:07:39.000]   It means that normally I don't really -- when my phone rings, like the actual phone rings,
[00:07:39.000 --> 00:07:43.000]   I don't really pay much attention to it, but it means that if I see a number that I don't
[00:07:43.000 --> 00:07:47.000]   immediately recognize, maybe I should actually pick it up just in case.
[00:07:47.000 --> 00:07:52.000]   It might be the president telling me that it's going to be the Air Force version of the G4
[00:07:52.000 --> 00:07:54.000]   landing at a metanurial field.
[00:07:54.000 --> 00:07:55.000]   I should be at the Air Strip.
[00:07:55.000 --> 00:07:56.000]   But I want to see something.
[00:07:56.000 --> 00:07:57.000]   Who knows?
[00:07:57.000 --> 00:07:58.000]   You don't know.
