;FFMETADATA1
title=Grasp the Nettle Firmly
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=429
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Grasp the Nettle Firmly
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=429
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.920]   It's time for Twit. This week in Tech, we have an amazing panel. Brian Brush was here,
[00:00:06.920 --> 00:00:11.760]   Baratunde Thurston, John C. Devorek will talk about the week's Apple News, Microsoft's
[00:00:11.760 --> 00:00:16.600]   erection in London and a whole lot more. Stay tuned. Twit is next.
[00:00:16.600 --> 00:00:19.440]   [MUSIC]
[00:00:19.440 --> 00:00:21.440]   Netcast you love.
[00:00:21.440 --> 00:00:23.440]   From people you trust.
[00:00:23.440 --> 00:00:26.440]   [MUSIC]
[00:00:26.440 --> 00:00:29.240]   This is Twit.
[00:00:29.240 --> 00:00:36.240]   Bandwidth for this week in Tech is provided by CashFly at CACHEFLY.com.
[00:00:36.240 --> 00:00:40.920]   [MUSIC]
[00:00:40.920 --> 00:00:48.760]   This is Twit, this week in Tech. Episode 429, recorded October 27th, 2013. Grasp the nettle
[00:00:48.760 --> 00:00:54.760]   firmware. This week in Tech is brought to you by ShutterStock.com with over 28 million high
[00:00:54.760 --> 00:00:59.920]   quality stock photos, illustrations, vectors and video clips. ShutterStock helps you take
[00:00:59.920 --> 00:01:05.560]   your creative projects to the next level. For 25% off your new account, go to ShutterStock.com
[00:01:05.560 --> 00:01:10.960]   and use the offer code TWIT 1013 and buy some all.
[00:01:10.960 --> 00:01:16.640]   Easily connect your data from Google, Twitter, YouTube, PayPal, Amazon, Facebook and more
[00:01:16.640 --> 00:01:22.240]   to gain important insights instantly. All in one beautiful interface. Start using it
[00:01:22.240 --> 00:01:30.320]   for free today at someall.com and buy GoToMeeting with HD Faces from Citrix, the powerfully simple
[00:01:30.320 --> 00:01:35.920]   way to meet online. You could share the same screen and see each other in HD video conferencing.
[00:01:35.920 --> 00:01:39.840]   Start hosting a GoToMeeting in seconds from your computer or mobile device by signing up
[00:01:39.840 --> 00:01:45.480]   for a free 30 day trial. There's no credit card required to get started. Visit GoToMeeting.com,
[00:01:45.480 --> 00:01:49.280]   click the try it free button and use the promo code TWIT.
[00:01:49.280 --> 00:01:54.520]   And buy Carbonite. Whether you have one computer at home or several at your small business,
[00:01:54.520 --> 00:01:59.160]   Carbonite backs up your files to the cloud automatically and continually. Plus, access
[00:01:59.160 --> 00:02:04.920]   your files anytime, anywhere with a free app. Start your free trial at Carbonite.com. No
[00:02:04.920 --> 00:02:11.440]   credit card required. Use the offer code TWIT and you'll get two bonus months with purchase.
[00:02:11.440 --> 00:02:15.640]   It's time for TWIT this week in Tech, the show that covers all your technology news of
[00:02:15.640 --> 00:02:21.880]   the week. And he's been here since last week. I'm John C. Devorak is back. I changed my
[00:02:21.880 --> 00:02:26.160]   shirt. Well, we have a whole wardrobe. I know that wardrobe room. It's got all kinds of
[00:02:26.160 --> 00:02:29.400]   cool stuff. Nice. Yeah. What happened? All the Hawaiian shirts that used to be there.
[00:02:29.400 --> 00:02:34.640]   I didn't see them. What? They hid them from you. Oh, yeah, they're mine. No, where it
[00:02:34.640 --> 00:02:39.960]   Hey, that's very good. Oh my God. Nice to see you. Nice to be back out of Brooklyn. Yes,
[00:02:39.960 --> 00:02:45.360]   sir. And here on the West Coast, Donator, West Coast, Ireland, back to the West Coast.
[00:02:45.360 --> 00:02:47.800]   Yeah. Yeah. You have been very busy. You've been
[00:02:47.800 --> 00:02:53.120]   keynoteing. You've been doing TV shows. You're doing the comedy hack day, which is awesome.
[00:02:53.120 --> 00:02:58.440]   Yeah, man. Just did one at MIT, right? MIT Media Lab about a month ago. Wow. Tell me what
[00:02:58.440 --> 00:03:03.320]   that is. So the idea it's our company, Cultivated WIT is the name of the company. And we like
[00:03:03.320 --> 00:03:08.280]   to smash humor and technology together to try to make interesting, interesting things.
[00:03:08.280 --> 00:03:12.680]   And then somebody wins because they do the best in both? Yeah. So it's a hackathon, but
[00:03:12.680 --> 00:03:16.680]   better because you have funny people involved and the goal was to make. Oh, wait, it can
[00:03:16.680 --> 00:03:22.240]   comics write code? Some can't. Really? Actually, I take Costolo. It was very funny. And some
[00:03:22.240 --> 00:03:27.840]   also the point is to create a team that has multiple talents. So now, uh, Baratunde, the
[00:03:27.840 --> 00:03:32.480]   one that I liked the most was the one where it did a link bait generator. What's clicks
[00:03:32.480 --> 00:03:37.880]   your bait? Clickster bait. Clickster bait. Yeah. So the idea is, you know, you have a
[00:03:37.880 --> 00:03:43.200]   lot of editorial outlets, news outlets, really being mysterious with their headlines. Right.
[00:03:43.200 --> 00:03:48.680]   You won't believe what Jack Kennedy said to this dog. Yeah. And, uh, you know, why bother
[00:03:48.680 --> 00:03:54.480]   actually creating content behind that. No need. Let's just have a site full of clickbait
[00:03:54.480 --> 00:03:59.000]   links. Brilliant. And they auto generated it all. It pulls celebrity images and rhetorical
[00:03:59.000 --> 00:04:05.520]   questions. I love the way it auto auto generates this. Africans have been demanding it. And
[00:04:05.520 --> 00:04:08.360]   what he did helped every lesbian alive today.
[00:04:08.360 --> 00:04:15.360]   By the way, that's, that's Brian Brushwood from NSFW. Hey, what's the, uh, the BB show
[00:04:15.360 --> 00:04:19.560]   and of course, well known magician. What did it say? Show that you can't show that. They
[00:04:19.560 --> 00:04:23.920]   said they, it shows Christ and it says they fired him for being himself. And what he did
[00:04:23.920 --> 00:04:28.040]   helped every lesbian all have today. So that's guaranteed to get clicks. Actually, I would
[00:04:28.040 --> 00:04:32.960]   click on that. What the heck is that? Yeah. Yeah. That's really, uh, it's funny. Probably
[00:04:32.960 --> 00:04:38.640]   something to avoid. The big thing that the news outlets still do today is they ask a question.
[00:04:38.640 --> 00:04:43.640]   Like, you know, can your car kill you? Yeah. And then the Cleveland clinic did it. And then
[00:04:43.640 --> 00:04:49.440]   in the body of the thing, they say, no, but you clicked on it. Yeah. It's an old trick.
[00:04:49.440 --> 00:04:52.560]   It's an old trick. You know probably every one of them. You're the king. You invented
[00:04:52.560 --> 00:04:58.680]   it before. I think baiting. Or there was a name for it. Exactly. When you were the anti-editor
[00:04:58.680 --> 00:05:02.800]   in the back of Macworld magazine, you would say it intentionally provocative. I was hired
[00:05:02.800 --> 00:05:08.320]   to do exactly that. No. Well, I don't get paid. I was paid to do that. Can you do it now?
[00:05:08.320 --> 00:05:11.960]   Dennis Felix, Dennis gave me, he said, you hear what you do. And he gave me that title.
[00:05:11.960 --> 00:05:17.520]   And I was the anti editor. I was paid to condemn Apple and the Mac and people store pissed at
[00:05:17.520 --> 00:05:21.280]   anything about this. Yeah. Well, it's type casting. You kind of, you know, you got, you
