;FFMETADATA1
title=Rattlesnake in a Pinata!
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=558
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.000]   It's time for Twit this week in Tech, our 11th anniversary episode.
[00:00:06.000 --> 00:00:09.600]   Eleven years ago today, we started doing Twit.
[00:00:09.600 --> 00:00:12.500]   I think the conversation has changed a little bit over time.
[00:00:12.500 --> 00:00:14.300]   Ian Thompson and Ben Thompson join me.
[00:00:14.300 --> 00:00:20.200]   The Thompson twins to talk about Microsoft's announcements and the F8, bots and more.
[00:00:20.200 --> 00:00:22.200]   It's all coming up next on Twit.
[00:00:22.200 --> 00:00:26.600]   Netcast you love.
[00:00:26.600 --> 00:00:28.600]   From people you trust.
[00:00:28.600 --> 00:00:33.600]   This is Twit.
[00:00:33.600 --> 00:00:40.600]   Bandwidth for this week in Tech is provided by CashFly at cachefly.com.
[00:00:40.600 --> 00:00:52.600]   This is Twit this week in Tech, episode 558, recorded Sunday, April 17, 2016.
[00:00:52.600 --> 00:00:55.600]   Rattlesnake in the pinata.
[00:00:55.600 --> 00:01:00.600]   This week in Tech is brought to you by Tracker, a coin size tracking device that pairs with your smartphone
[00:01:00.600 --> 00:01:03.600]   and keeps you from losing your most valued possessions.
[00:01:03.600 --> 00:01:09.600]   Visit thetracker.com right now and enter the promo code Twit for 30% off your entire order.
[00:01:09.600 --> 00:01:11.600]   And by Harry's.
[00:01:11.600 --> 00:01:15.600]   For guys who want a great shave experience for a fraction of what they're paying now,
[00:01:15.600 --> 00:01:21.600]   go to harries.com for a limited time new customers can get a free trial and pay just $3 for shipping
[00:01:21.600 --> 00:01:24.600]   by going to harries.com/twit.
[00:01:24.600 --> 00:01:27.600]   And by audible.com.
[00:01:27.600 --> 00:01:32.600]   Sign up for the platinum plan and get two free books go to audible.com/twit2
[00:01:32.600 --> 00:01:37.600]   and don't forget to follow audible on Twitter user id audible_com.
[00:01:37.600 --> 00:01:42.600]   And by Gazelle the online marketplace for buying and selling used gadgets.
[00:01:42.600 --> 00:01:46.600]   Shop from a variety of certified pre-owned electronics or trade one in for cash.
[00:01:46.600 --> 00:01:51.600]   Give new life to a used device at gazelle.com today.
[00:01:52.600 --> 00:01:55.600]   It's time for Twit this weekend tech the show where we cover the weeks.
[00:01:55.600 --> 00:02:02.600]   Tech news and friends I'm just going to sit back and bathe in the brilliance of our panel this week.
[00:02:02.600 --> 00:02:09.600]   It's fitting because this is our 11th anniversary episode the first Twit which at the time was called
[00:02:09.600 --> 00:02:15.600]   the revenge of the screensavers was broadcast or released to the wild.
[00:02:15.600 --> 00:02:21.600]   We didn't stream it live we didn't do video we only did audio we only did 25 minutes on April 17th,
[00:02:21.600 --> 00:02:28.600]   2005 with Patrick Norton and Robert Herron and Kevin Rose my old friends from a tech TV.
[00:02:28.600 --> 00:02:31.600]   And that's how we began 11 years old go on this day.
[00:02:31.600 --> 00:02:32.600]   Great.
[00:02:32.600 --> 00:02:39.600]   And fast forward and it's been a wonderful ride there it is in fact it's still online if you want to go to
[00:02:39.600 --> 00:02:46.600]   twit.tv/twit/one you can hear the first episode.
[00:02:46.600 --> 00:02:54.600]   Now I had to bleep out the word screensavers because shortly after I recorded that I got a letter
