;FFMETADATA1
title=Fold With Dignity
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=599
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2017
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:05.640]   It's time for Twit this week in Tech. What a great show we have for you. Oh, and J.J. Stone. He's full of it today.
[00:00:05.640 --> 00:00:09.080]   We've got Michael Nunez from Gizmodo.
[00:00:09.080 --> 00:00:17.000]   He's here with his sunglasses and his hat and of course Phil Libin, the former founder of Evernote, who's now a VC.
[00:00:17.000 --> 00:00:25.320]   And we've got two refugees on the program today. We're gonna talk about Silicon Valley's reaction to the
[00:00:25.800 --> 00:00:32.960]   immigration executive order. We've got lots of news about data mining, artificial intelligence, and one
[00:00:32.960 --> 00:00:39.920]   one of our hosts is a cyborg. Find out why and how next on Twit.
[00:00:39.920 --> 00:00:46.240]   Hi, this is Leo LaPorte and once again time for Twit's audience survey. We'd really like to hear from you.
[00:00:46.240 --> 00:00:52.840]   It's only going to take a couple of minutes really. That's all. Just go to twit.tv/survey and let us know what you think.
[00:00:52.840 --> 00:00:57.840]   Your anonymous feedback will help us make Twit even better. And thanks for your continued support.
[00:00:57.840 --> 00:01:04.640]   Netcast you love from people you trust.
[00:01:04.640 --> 00:01:09.920]   This is Twit.
[00:01:09.920 --> 00:01:17.280]   Bandwidth for this week in Tech is provided by CashFly at CACHEFLY.com.
[00:01:17.280 --> 00:01:22.280]   [Music]
[00:01:22.280 --> 00:01:30.280]   This is Twit. This week in Tech, episode 599, recorded Sunday, January 29th, 2017.
[00:01:30.280 --> 00:01:32.280]   FOLD WITH DIGMITY.
[00:01:32.280 --> 00:01:40.280]   This week in Tech is brought to you by Rocket Mortgage from Quick and Loans when it comes to the big decision of choosing a mortgage lender.
[00:01:40.280 --> 00:01:46.280]   Work with one that has your best interest in mind. Use Rocket Mortgage for a transparent, trustworthy home loan process
[00:01:46.280 --> 00:01:51.280]   that's completely online at quickandlones.com/twit2.
[00:01:51.280 --> 00:01:57.280]   And buy Betterment, a smart, easy to use and less expensive way to invest for your financial future.
[00:01:57.280 --> 00:02:05.280]   Get one month managed free when you make an initial deposit of $10,000 or more at betterment.com/twit.
[00:02:05.280 --> 00:02:13.280]   And buy Hero, why settle for just a Wi-Fi router when you can have a brilliant hyper-fast, super simple Wi-Fi system?
[00:02:13.280 --> 00:02:19.280]   No more buffering, no more dead zones. Finally Wi-Fi that works for free overnight shipping visit hero.com.
[00:02:19.280 --> 00:02:23.280]   And at checkout, select overnight shipping and enter the code Twit.
[00:02:23.280 --> 00:02:33.280]   And buy Blue Apron. Blue Apron will send you fresh, high quality ingredients to cook delicious meals with simple step-by-step instructions right to your door.
[00:02:33.280 --> 00:02:41.280]   See what's on the menu this week and get your first three meals free with free shipping by going to blueapron.com/twit.
[00:02:41.280 --> 00:02:47.280]   It's time for Twit this week at Tech, the show we cover the week's tech news.
[00:02:47.280 --> 00:02:49.280]   What a week it has been.
[00:02:49.280 --> 00:02:56.280]   But we've got a great team here to discuss it, joining us from his secret lair somewhere on the east coast.
[00:02:56.280 --> 00:02:59.280]   Oh, and JJ Stone.
[00:02:59.280 --> 00:03:04.280]   I don't know what to say. We're in cat ears.
