
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[00:00:01.180 --> 00:00:02.460]   It's time for "Twent This Week" in Tech.
[00:00:02.460 --> 00:00:05.180]   Wow, do we have a great show ahead for you?
[00:00:05.180 --> 00:00:08.220]   I mean, when you got Alex Wilhelm, Roberto Baldwin,
[00:00:08.220 --> 00:00:09.980]   and Mike Elgin all in the same room,
[00:00:09.980 --> 00:00:12.820]   you know it's gonna be fireworks.
[00:00:12.820 --> 00:00:16.340]   We'll talk about the new Windows 10 anniversary update.
[00:00:16.340 --> 00:00:18.540]   We'll talk about robotic deer.
[00:00:18.540 --> 00:00:21.540]   We'll talk about the Buzzfeed animal vertical.
[00:00:21.540 --> 00:00:24.460]   There's so much excitement ahead.
[00:00:24.460 --> 00:00:26.260]   And they will put some tech news in there too.
[00:00:26.260 --> 00:00:27.420]   Twent is next.
[00:00:28.260 --> 00:00:30.260]   ( (
[00:00:30.260 --> 00:00:32.260]   "Netcast" you love)
[00:00:32.260 --> 00:00:34.260]   From people you trust.
[00:00:34.260 --> 00:00:35.260]   (
[00:00:35.260 --> 00:00:37.260]   Music)
[00:00:37.260 --> 00:00:39.260]   This is Twent.
[00:00:39.260 --> 00:00:42.260]   Bandwidth for this week in Tech is provided by
[00:00:42.260 --> 00:00:46.260]   CashFly at C-A-C-H-E-F-L-Y.com.
[00:00:46.260 --> 00:00:51.260]   (Music)
[00:00:51.260 --> 00:00:53.260]   This is Twent, this week in Tech.
[00:00:53.260 --> 00:00:58.260]   Episode 569 recorded Sunday, July 3, 2016.
[00:00:58.260 --> 00:01:01.260]   Don't eat the gas station nougat.
[00:01:01.260 --> 00:01:03.260]   This week at Tech is brought to you by FreshBooks,
[00:01:03.260 --> 00:01:05.260]   the super simple cloud accounting software,
[00:01:05.260 --> 00:01:08.260]   that's giving thousands of freelancers and small businesses
[00:01:08.260 --> 00:01:11.260]   the tools to save time billing and get paid faster.
[00:01:11.260 --> 00:01:14.260]   Try it free at freshbooks.com/twent.
[00:01:14.260 --> 00:01:17.260]   And by Tracker, a coin-sized tracking device
[00:01:17.260 --> 00:01:20.260]   that pairs with your smartphone and keeps you from losing
[00:01:20.260 --> 00:01:22.260]   your most valued possessions.
[00:01:22.260 --> 00:01:24.260]   Visit the Tracker.com right now
[00:01:24.260 --> 00:01:28.260]   and enter the promo code TWIT for 30% off your entire order.
[00:01:28.260 --> 00:01:30.260]   And by BrainTree.
[00:01:30.260 --> 00:01:32.260]   Mobile app development can be complex,
[00:01:32.260 --> 00:01:35.260]   but integrating your payments no longer has to be.
[00:01:35.260 --> 00:01:38.260]   With BrainTree your business can accept nearly every type of payment
[00:01:38.260 --> 00:01:40.260]   from any device, which is one integration.
[00:01:40.260 --> 00:01:43.260]   Learn more at BrainTreePayments.com/twent.
[00:01:43.260 --> 00:01:46.260]   And by Wealthfront.
[00:01:46.260 --> 00:01:48.260]   Wealthfront is a low-cost automated investment service
[00:01:48.260 --> 00:01:51.260]   and the most sophisticated way to invest your money.
[00:01:51.260 --> 00:01:53.260]   Whether you've got millions or you're just starting out,
[00:01:53.260 --> 00:01:55.260]   visit Wealthfront.com/twent
[00:01:55.260 --> 00:01:58.260]   and sign up to get your free personalized investment portfolio.
[00:01:58.260 --> 00:02:01.260]   That's Wealthfront.com/twent.
[00:02:01.260 --> 00:02:06.260]   It's time for TWIT, the Fourth of July edition.
[00:02:06.260 --> 00:02:10.260]   The show in which we cover the latest Tech News of the week.
[00:02:10.260 --> 00:02:14.260]   And of course, tomorrow is our nation's birthday in the U.S.
[00:02:14.260 --> 00:02:17.260]   and at the end of this show, someone will...
[00:02:17.260 --> 00:02:20.260]   I'm gonna pick somebody from the studio audience
[00:02:20.260 --> 00:02:23.260]   and get to ignite this rocket.
[00:02:23.260 --> 00:02:25.260]   Underneath the studio?
[00:02:25.260 --> 00:02:26.260]   Yeah.
[00:02:26.260 --> 00:02:28.260]   No, I've been told under no cert.
[00:02:28.260 --> 00:02:29.260]   The kid.
[00:02:29.260 --> 00:02:31.260]   How many fingers yet?
[00:02:31.260 --> 00:02:32.260]   You got them all?
[00:02:32.260 --> 00:02:33.260]   You're good to go then.
[00:02:33.260 --> 00:02:34.260]   You still have them all?
[00:02:34.260 --> 00:02:35.260]   As long as you can...
[00:02:35.260 --> 00:02:36.260]   You can't stop you.
[00:02:36.260 --> 00:02:37.260]   You're totally fine.
[00:02:37.260 --> 00:02:38.260]   We got a great panel today.
[00:02:38.260 --> 00:02:40.260]   Alex Wilhelm is here from Mattermark, right?
[00:02:40.260 --> 00:02:41.260]   Yes.
[00:02:41.260 --> 00:02:42.260]   I got it right.
[00:02:42.260 --> 00:02:43.260]   You nailed it this time.
[00:02:43.260 --> 00:02:44.260]   I'm so impressed by you.
[00:02:44.260 --> 00:02:45.260]   Mattermark, he is an EIC.
[00:02:45.260 --> 00:02:46.260]   Indeed.
[00:02:46.260 --> 00:02:49.260]   That is ego in charge.
[00:02:49.260 --> 00:02:50.260]   Sure, we'll take that.
[00:02:50.260 --> 00:02:51.260]   It's close enough.
[00:02:51.260 --> 00:02:52.260]   @Alex.
[00:02:52.260 --> 00:02:53.260]   On Twitter.
[00:02:53.260 --> 00:02:54.260]   On Twitter, he got...
[00:02:54.260 --> 00:02:56.260]   Yes, no, that sounds like a mistake.
[00:02:56.260 --> 00:02:58.260]   You couldn't possibly be @Alex, but yes you are.
[00:02:58.260 --> 00:03:02.260]   I'm also @AlexWillHulm1 on Instagram with all the world's awesome news and names.
[00:03:02.260 --> 00:03:04.260]   So, just form one line.
[00:03:04.260 --> 00:03:06.260]   That's an AOL username.
[00:03:06.260 --> 00:03:07.260]   I joined late.
[00:03:07.260 --> 00:03:08.260]   I'm not cool.
[00:03:08.260 --> 00:03:10.260]   So, I was very behind on the whole Instagram phenomena.
[00:03:10.260 --> 00:03:13.260]   How come the other Alex Wilhelm didn't get one?
[00:03:13.260 --> 00:03:14.260]   Is he zero?
[00:03:14.260 --> 00:03:16.260]   No, he just got Alex Wilhelm no number.
[00:03:16.260 --> 00:03:17.260]   No number.
[00:03:17.260 --> 00:03:18.260]   I had to add a little kick of the ink, so I'm not very...
[00:03:18.260 --> 00:03:19.260]   Not with it.
[00:03:19.260 --> 00:03:21.260]   From Engadget, Robert Tobaldwin.
[00:03:21.260 --> 00:03:23.260]   I always say Robert Tobaldwin.
[00:03:23.260 --> 00:03:27.260]   Robert Tobaldwin, he's senior editor in gadget.
[00:03:27.260 --> 00:03:29.260]   S-T-R-N-G-W-Y-S on the Twitter.
[00:03:29.260 --> 00:03:32.260]   I say that because if I say strange ways, they might want to spell it out.
[00:03:32.260 --> 00:03:33.260]   That's true.
[00:03:33.260 --> 00:03:34.260]   Yeah, it's an old, old...
[00:03:34.260 --> 00:03:35.260]   It's me.
[00:03:35.260 --> 00:03:36.260]   That I got.
[00:03:36.260 --> 00:03:37.260]   Yes, mis-reference.
[00:03:37.260 --> 00:03:39.260]   Back in the AOL days, I got it.
[00:03:39.260 --> 00:03:40.260]   Really?
[00:03:40.260 --> 00:03:41.260]   We only have eight characters.
[00:03:41.260 --> 00:03:43.260]   That's the reason why it doesn't have all the letters.
[00:03:43.260 --> 00:03:44.260]   The vowels.
[00:03:44.260 --> 00:03:45.260]   Oh, wow, nice.
[00:03:45.260 --> 00:03:46.260]   I just kept it because I'm lazy.
[00:03:46.260 --> 00:03:47.260]   That is very sweet.
[00:03:47.260 --> 00:03:53.100]   Also here for the last time before he heads off to parts unknown, Mike Elgin, our digital
[00:03:53.100 --> 00:03:54.100]   Nomad.
[00:03:54.100 --> 00:03:55.100]   From Elgin.com.
[00:03:55.100 --> 00:03:56.740]   And what is it?
[00:03:56.740 --> 00:03:57.740]   Nomadic Life?
[00:03:57.740 --> 00:03:59.580]   It's called Becoming Nomad.
[00:03:59.580 --> 00:04:00.580]   Coming Home.
[00:04:00.580 --> 00:04:04.220]   Yeah, that is a site that will one day be the site for the book that I'm working on.
[00:04:04.220 --> 00:04:05.220]   We've had such trouble.
[00:04:05.220 --> 00:04:06.220]   I have to apologize.
[00:04:06.220 --> 00:04:08.780]   Getting you on, I just can't apologize too.
[00:04:08.780 --> 00:04:11.540]   I've dialed in with some really rotten connections.
[00:04:11.540 --> 00:04:12.700]   I feel like Jeff Jarvis.
[00:04:12.700 --> 00:04:15.060]   I mean, it's just bad.
[00:04:15.060 --> 00:04:16.260]   I feel like Jeff Jarvis.
[00:04:16.260 --> 00:04:19.260]   He's been in the next city and other places.
[00:04:19.260 --> 00:04:21.340]   Jeff, it doesn't matter where he is.
[00:04:21.340 --> 00:04:22.980]   There's something he breaks Skype.
[00:04:22.980 --> 00:04:24.660]   There's something about him.
[00:04:24.660 --> 00:04:26.500]   But you do a good, a valiant effort.
[00:04:26.500 --> 00:04:27.500]   You're going off to France.
[00:04:27.500 --> 00:04:28.500]   That's right.
[00:04:28.500 --> 00:04:29.500]   That's right.
[00:04:29.500 --> 00:04:30.500]   That's right.
[00:04:30.500 --> 00:04:31.500]   And then back to France.
[00:04:31.500 --> 00:04:32.500]   Wow, that sounds good.
[00:04:32.500 --> 00:04:33.500]   Yeah.
[00:04:33.500 --> 00:04:37.300]   You know, I just saw that you can get land in New Zealand cheap.
[00:04:37.300 --> 00:04:40.340]   And they even throw in a sheep or two.
[00:04:40.340 --> 00:04:41.340]   That's a great deal.
[00:04:41.340 --> 00:04:46.100]   Okay, I looked up New Zealand and now I found New Zealand record cocaine seizure in
[00:04:46.100 --> 00:04:47.820]   horses head.
[00:04:47.820 --> 00:04:50.660]   That is not what I was looking for.
[00:04:50.660 --> 00:04:51.660]   Sounds like a nice place.
[00:04:51.660 --> 00:04:55.260]   This is the most family friendly episode I've ever been on.
[00:04:55.260 --> 00:04:58.340]   New Zealand town with too many jobs.
[00:04:58.340 --> 00:04:59.580]   They have too many jobs.
[00:04:59.580 --> 00:05:00.580]   That's the problem.
[00:05:00.580 --> 00:05:05.700]   Offering packages of land and homes in New Zealand, $365,000.
[00:05:05.700 --> 00:05:09.460]   And they say the unemployment for teens in this town is two.
[00:05:09.460 --> 00:05:10.460]   Not 2%.
[00:05:10.460 --> 00:05:11.460]   But two.
[00:05:11.460 --> 00:05:12.460]   Just two individuals.
[00:05:12.460 --> 00:05:13.460]   Two kids.
