
[00:00:00.000 --> 00:00:04.880]   It's time for Twet this week in Tech. What a panel today. Mike Elgin. Oh,
[00:00:04.880 --> 00:00:09.880]   Doctor and the return of one of the smartest people I know Corey Doctorow.
[00:00:09.880 --> 00:00:17.840]   We're gonna solve everything. The TikTok problem Apple versus Epic will remember Chadwick Boseman and we'll even
[00:00:17.840 --> 00:00:24.160]   We'll even talk about the control pig. It's all coming up next on Twet
[00:00:25.000 --> 00:00:31.680]   This week in Tech comes to you from Twet's last past studio securing every access point in your company does not have to be a challenge
[00:00:31.680 --> 00:00:37.600]   Last past unifies access and authentication to make securing your employees simple
[00:00:37.600 --> 00:00:44.120]   And secure even when they're working remotely check out last pass dot com slash twit to learn more
[00:00:44.120 --> 00:00:49.920]   Podcasts you love from people you trust
[00:00:49.920 --> 00:00:53.080]   This is twet
[00:00:53.080 --> 00:01:03.000]   This is Twet this week at Tech episode
[00:01:03.000 --> 00:01:09.960]   786 recorded Sunday August 30th 2020 the chickenization of America
[00:01:09.960 --> 00:01:18.600]   This episode of this week at Tech is brought to you by Raycon Raycon's wireless earbuds are perfect for conference calls video calls music
[00:01:18.600 --> 00:01:24.840]   Or you know binging podcasts now's the time to get the latest and greatest from Raycon go to buy raycon
[00:01:24.840 --> 00:01:30.560]   Dot com slash twit and get 15% off your order right now and buy last pass
[00:01:30.560 --> 00:01:35.320]   Allow your remote workforce the ability to do their best work without jumping through hoops
[00:01:35.320 --> 00:01:42.000]   It's sure your business's security with last pass visit last pass dot com slash twit to find out how they can help you
[00:01:42.000 --> 00:01:46.400]   And buy Monday dot com Monday dot com is a flexible platform
[00:01:46.800 --> 00:01:50.480]   To manage any team project or workflow online
[00:01:50.480 --> 00:02:00.160]   Collaborate plan track everything your team is working on wherever you are to start your free 14-day trial go to Monday dot com slash twit
[00:02:00.160 --> 00:02:02.640]   and buy
[00:02:02.640 --> 00:02:06.320]   Cashlight give your users the seamless online experience
[00:02:06.320 --> 00:02:12.640]   They want power your site or app with cash fly CDN and be 30% faster than the competition
