
[00:00:00.000 --> 00:00:04.920]   It's time for Twit this week in Tech the Daylight Saving Time edition.
[00:00:04.920 --> 00:00:08.720]   Coming up, did Newsweek really catch Satoshi Nakamoto?
[00:00:08.720 --> 00:00:11.960]   Google balloons versus Facebook drones?
[00:00:11.960 --> 00:00:15.480]   And is Android really more dangerous than any other operating system?
[00:00:15.480 --> 00:00:17.960]   It's all coming up next on Twit.
[00:00:17.960 --> 00:00:20.240]   [MUSIC]
[00:00:20.240 --> 00:00:22.280]   Netcast you love.
[00:00:22.280 --> 00:00:23.840]   >> From people you trust.
[00:00:23.840 --> 00:00:27.440]   [MUSIC]
[00:00:27.440 --> 00:00:29.080]   >> This is Twit.
[00:00:29.080 --> 00:00:36.360]   Bandwidth for this weekend tech is provided by CashFly at CACHEFLY.com.
[00:00:36.360 --> 00:00:41.080]   [MUSIC]
[00:00:41.080 --> 00:00:48.760]   This is Twit this weekend tech episode 448 recorded Sunday, March 9th, 2014.
[00:00:48.760 --> 00:00:50.800]   You've been goxed.
[00:00:50.800 --> 00:00:55.760]   This weekend tech is brought to you by GoToMeeting with HD Faces from Citrix.
[00:00:55.760 --> 00:00:59.000]   A powerfully simple way to meet with coworkers and clients anywhere.
[00:00:59.000 --> 00:01:03.520]   Share the same screen and see each other face to face with HD video conferencing.
[00:01:03.520 --> 00:01:05.480]   Even present from an iPad.
[00:01:05.480 --> 00:01:08.320]   Start your 30 day free trial of GoToMeeting today.
[00:01:08.320 --> 00:01:13.440]   Visit GoToMeeting.com, click the try it free button, and use the promo code TWIT.
[00:01:13.440 --> 00:01:16.140]   And buy Stamps.com.
[00:01:16.140 --> 00:01:20.920]   Use Stamps.com to buy and print real US postage the instant you need it right from your desk.
[00:01:20.920 --> 00:01:25.280]   For our special offer visit Stamps.com, click the microphone, and enter Twit.
[00:01:26.080 --> 00:01:28.440]   And buy Audible.com.
[00:01:28.440 --> 00:01:31.440]   Sign up for the Platinum Plan and get two free books.
[00:01:31.440 --> 00:01:35.640]   Go to audible.com/twit2 and don't forget to follow Audible on Twitter,
[00:01:35.640 --> 00:01:38.960]   user ID Audible_com.
[00:01:38.960 --> 00:01:40.960]   And buy Carbonite.
[00:01:40.960 --> 00:01:44.520]   Whether you have one computer at home or several of your small business,
[00:01:44.520 --> 00:01:48.960]   Carbonite backs up your files to the cloud automatically and continually.
[00:01:48.960 --> 00:01:52.600]   Plus access your files anytime, anywhere with a free app.
[00:01:52.600 --> 00:01:55.040]   Start your free trial at carbonite.com.
[00:01:55.040 --> 00:01:56.560]   No credit card required.
[00:01:56.560 --> 00:01:59.840]   And use the offer code TWIT to get two bonus months with purchase.
[00:01:59.840 --> 00:02:05.320]   It's time for Twit this week in Tech to show the covers the week's Tech News,
[00:02:05.320 --> 00:02:10.720]   a massive studio audience inflated by a bunch of Weegeans.
[00:02:10.720 --> 00:02:11.920]   Is that right?
[00:02:11.920 --> 00:02:12.920]   No?
[00:02:12.920 --> 00:02:13.440]   [LAUGHTER]
[00:02:13.440 --> 00:02:13.920]   No.
[00:02:13.920 --> 00:02:14.440]   Nice try.
[00:02:14.440 --> 00:02:15.840]   Where are you from, sir?
