
[00:00:00.000 --> 00:00:01.880]   It's time for Twit.
[00:00:01.880 --> 00:00:05.720]   This week in Tech, Amy Webb is here, our futurist, Lindsey Turrentine, editor in Chief
[00:00:05.720 --> 00:00:09.560]   at CNET, Jason Heiner, editor in Chief at Tech Republic.
[00:00:09.560 --> 00:00:14.560]   We are going to talk about a lot of very deep philosophical things.
[00:00:14.560 --> 00:00:21.640]   China versus the US, artificial intelligence, Mark Zuckerberg versus Congress, and Waymo
[00:00:21.640 --> 00:00:23.160]   versus the citizens of Mountain View.
[00:00:23.160 --> 00:00:28.520]   It's all coming up next on Twit.
[00:00:28.520 --> 00:00:30.520]   That casts you love.
[00:00:30.520 --> 00:00:32.520]   From people you trust.
[00:00:32.520 --> 00:00:38.160]   This is Twit.
[00:00:38.160 --> 00:00:50.040]   Bandwidth for this week in Tech is provided by CashFly at C-A-C-H-E-F-L-Y dot com.
[00:00:50.040 --> 00:00:52.080]   This is Twit this week in Tech.
[00:00:52.080 --> 00:01:00.080]   Episode 662, recorded Sunday, April 15, 2018, scraped on the back end.
[00:01:00.080 --> 00:01:02.440]   This week in Tech is brought to you by Aptiv.
[00:01:02.440 --> 00:01:07.560]   Aptiv produces audio-based workouts created by certified personal trainers available through
[00:01:07.560 --> 00:01:08.560]   a mobile app.
[00:01:08.560 --> 00:01:15.560]   Get 30% off new annual memberships when you visit Aptiv, A-A-P-T-I-V dot com slash Twit.
[00:01:15.560 --> 00:01:16.560]   And by Molecule.
[00:01:16.560 --> 00:01:21.560]   Molecule is the world's first molecular error purifier that reduces symptoms for allergy
[00:01:21.560 --> 00:01:23.360]   and asthma sufferers.
[00:01:23.360 --> 00:01:30.240]   $75 off your first order when you visit Molecule.com, M-O-L-E-K-U-L-E dot com and another promo
[00:01:30.240 --> 00:01:31.760]   code Twit.
[00:01:31.760 --> 00:01:34.640]   And by Rocket Mortgage by Quick and Loans.
[00:01:34.640 --> 00:01:35.960]   Home plays a big role in your life.
[00:01:35.960 --> 00:01:38.960]   That's why Quick and Loans created Rocket Mortgage.
[00:01:38.960 --> 00:01:43.160]   It lets you apply simply and understand the entire mortgage process fully so you can be
[00:01:43.160 --> 00:01:45.360]   confident you're getting the right mortgage for you.
