
[00:00:00.000 --> 00:00:03.000]   It's time for Twet this week in Tech.
[00:00:03.000 --> 00:00:05.000]   Wow, I don't know what happened here.
[00:00:05.000 --> 00:00:07.000]   We have a great panel, Christina Warren, Dylan,
[00:00:07.000 --> 00:00:09.000]   20, Jason Stell, and all of a sudden,
[00:00:09.000 --> 00:00:11.000]   John C. Devorak shows up, and it turns out
[00:00:11.000 --> 00:00:14.000]   all he wants to talk about is the new Google Alphabet,
[00:00:14.000 --> 00:00:16.000]   but that's not all we'll talk about.
[00:00:16.000 --> 00:00:18.000]   We got Tinder, we've got all sorts of stuff you
[00:00:18.000 --> 00:00:20.000]   stay here this week in Tech.
[00:00:20.000 --> 00:00:22.000]   Alonglin is next.
[00:00:22.000 --> 00:00:26.000]   Netcast, you love.
[00:00:26.000 --> 00:00:28.000]   From people you trust.
[00:00:28.000 --> 00:00:33.000]   This is Twet.
[00:00:33.000 --> 00:00:36.000]   Bandwidth for this week in Tech is provided by
[00:00:36.000 --> 00:00:40.000]   CashFly at C-A-C-H-E-F-L-Y.com.
[00:00:40.000 --> 00:00:45.000]   ♪♪
[00:00:45.000 --> 00:00:47.000]   This is Twet this week in Tech.
[00:00:47.000 --> 00:00:52.000]   Episode 523, recorded Sunday, August 16, 2015.
[00:00:52.000 --> 00:00:55.000]   Screwball Ventures.
[00:00:55.000 --> 00:00:59.000]   This week in Tech is brought to you by the Ring Video Doorbell.
[00:00:59.000 --> 00:01:01.000]   With a built-in HD camera and microphone,
[00:01:01.000 --> 00:01:04.000]   you can monitor your front door from anywhere in the world
[00:01:04.000 --> 00:01:05.000]   using your smartphone.
[00:01:05.000 --> 00:01:07.000]   It's like being home even when you're not.
[00:01:07.000 --> 00:01:10.000]   Right now, get $10 off the Ring Video Doorbell
[00:01:10.000 --> 00:01:13.000]   when you go to Ring.com/Twet.
[00:01:13.000 --> 00:01:15.000]   And by Carbonite.
[00:01:15.000 --> 00:01:16.000]   For the hands-on business owner,
[00:01:16.000 --> 00:01:19.000]   Carbonite makes data backup hands-free.
[00:01:19.000 --> 00:01:21.000]   Carbonite's automatic cloud backup
[00:01:21.000 --> 00:01:23.000]   provides you with round-the-clock protection
[00:01:23.000 --> 00:01:25.000]   at work and at home.
[00:01:25.000 --> 00:01:27.000]   Visit Carbonite.com and use the offer code Twet
[00:01:27.000 --> 00:01:29.000]   for two free bonus months.
[00:01:29.000 --> 00:01:33.000]   And by Gazelle, the fast and simple way to sell your used gadgets.
[00:01:33.000 --> 00:01:39.000]   Find out what your used iPhone, iPad or other Apple product is worth at Gazelle.com.
[00:01:39.000 --> 00:01:44.000]   And by Linda.com, the online learning platform with over 3,000
[00:01:44.000 --> 00:01:47.000]   on-demand video courses to help you strengthen your business,
[00:01:47.000 --> 00:01:49.000]   technology and creative skills.
[00:01:49.000 --> 00:01:54.000]   For a free 10-day trial visit Linda.com/Twet2.
[00:01:54.000 --> 00:01:59.000]   That's L-Y-N-D-A.com/T-W-I-T and the number two.
[00:01:59.000 --> 00:02:02.000]   It's time for Twet this week in Tech,
[00:02:02.000 --> 00:02:04.000]   the show where we cover the week's Tech News
[00:02:04.000 --> 00:02:06.000]   with some of the best journalists in the business,
[00:02:06.000 --> 00:02:07.000]   and they're all here this week.
[00:02:07.000 --> 00:02:09.000]   And I'm happy about it.
[00:02:09.000 --> 00:02:11.000]   Dylan Twini is here from Venture Beat,
[00:02:11.000 --> 00:02:14.000]   founder of This Is New, Twini Media.
[00:02:14.000 --> 00:02:17.000]   Thank you.
[00:02:17.000 --> 00:02:18.000]   Yes.
[00:02:18.000 --> 00:02:19.000]   This is true.
[00:02:19.000 --> 00:02:21.000]   What is Twini Media?
[00:02:21.000 --> 00:02:24.000]   Well, right now it's just a fancy name for me.
[00:02:24.000 --> 00:02:29.000]   Oh, we'll meet Leo Media and Jason Media and Christina Media.
[00:02:29.000 --> 00:02:30.000]   Exactly.
[00:02:30.000 --> 00:02:31.000]   Exactly.
[00:02:31.000 --> 00:02:32.000]   I love it.
[00:02:32.000 --> 00:02:35.000]   So are you, but you haven't left your day job?
[00:02:35.000 --> 00:02:38.000]   No, no, I have left my day job.
[00:02:38.000 --> 00:02:40.000]   I'm still a columnist at Venture Beat,
[00:02:40.000 --> 00:02:42.000]   and I'm still doing an occasional podcast for Venture Beat,
[00:02:42.000 --> 00:02:44.000]   but otherwise I'm out on my own.
[00:02:44.000 --> 00:02:45.000]   Exciting, congratulations.
[00:02:45.000 --> 00:02:47.000]   Thank you, Congratulations.
[00:02:47.000 --> 00:02:48.000]   /untractor.
[00:02:48.000 --> 00:02:49.000]   That's fantastic.
[00:02:49.000 --> 00:02:50.000]   It's been good.
[00:02:50.000 --> 00:02:51.000]   It's been really good.
[00:02:51.000 --> 00:02:53.000]   This is the age of the freelancer.
[00:02:53.000 --> 00:02:55.000]   There's no better time, right?
[00:02:55.000 --> 00:02:56.000]   Jason did that.
[00:02:56.000 --> 00:02:57.000]   I'm here, so...
[00:02:57.000 --> 00:02:58.000]   Oh, my God.
[00:02:58.000 --> 00:03:00.000]   Jason Snell is here.
[00:03:00.000 --> 00:03:02.000]   I'm being haunted by...
[00:03:02.000 --> 00:03:03.000]   Jason has...
[00:03:03.000 --> 00:03:04.000]   My past.
[00:03:04.000 --> 00:03:07.000]   From sixcolours.com has also gone the freelance route.
[00:03:07.000 --> 00:03:08.000]   Yep.
[00:03:08.000 --> 00:03:10.000]   And it's odd because it looks like I couldn't be.
[00:03:10.000 --> 00:03:13.000]   John C. de Vorek is standing behind you right now.
[00:03:13.000 --> 00:03:14.000]   That's a...
[00:03:14.000 --> 00:03:15.000]   I'm going to...
[00:03:15.000 --> 00:03:16.000]   I have nightmares like this.
[00:03:16.000 --> 00:03:17.000]   And there's more than one.
[00:03:17.000 --> 00:03:20.000]   I can leave and take this lens with me.
[00:03:20.000 --> 00:03:21.000]   Could you come back next week?
[00:03:21.000 --> 00:03:24.000]   That's when we thought you would be here, but no, you know, I'm thrilled.
[00:03:24.000 --> 00:03:25.000]   You're giving my lens.
[00:03:25.000 --> 00:03:26.000]   You get the 45?
[00:03:26.000 --> 00:03:28.000]   I'll talk about that later.
[00:03:28.000 --> 00:03:29.000]   Come on and have a seat.
[00:03:29.000 --> 00:03:30.000]   We didn't expect you.
[00:03:30.000 --> 00:03:31.000]   Actually, we were worried.
[00:03:31.000 --> 00:03:33.000]   We thought maybe you thought you were supposed to be here this week.
[00:03:33.000 --> 00:03:34.000]   I did.
[00:03:34.000 --> 00:03:35.000]   That's good.
[00:03:35.000 --> 00:03:37.000]   You can be here this weekend next week if you want.
[00:03:37.000 --> 00:03:39.000]   You can be here as many weeks as you want.
[00:03:39.000 --> 00:03:40.000]   Oh, John gonna make...
[00:03:40.000 --> 00:03:41.000]   I was.
[00:03:41.000 --> 00:03:42.000]   Normally John sits there.
[00:03:42.000 --> 00:03:43.000]   This is John Spod.
[00:03:43.000 --> 00:03:45.000]   What do you feel about sitting over here?
[00:03:45.000 --> 00:03:46.000]   Am I sitting over here?
[00:03:46.000 --> 00:03:47.000]   It might throw me.
[00:03:47.000 --> 00:03:48.000]   Oh, are they good?
[00:03:48.000 --> 00:03:49.000]   Yeah.
[00:03:49.000 --> 00:03:50.000]   Everything you say might be right.
[00:03:50.000 --> 00:03:51.000]   Yeah, you don't remember there.
[00:03:51.000 --> 00:03:53.000]   I'm starting on Wednesday to come in.
[00:03:53.000 --> 00:03:57.280]   We were talking about next week because we had arranged a show just for you with your favorite
[00:03:57.280 --> 00:03:58.280]   people.
[00:03:58.280 --> 00:03:59.280]   Oh.
[00:03:59.280 --> 00:04:00.280]   Old white old men.
[00:04:00.280 --> 00:04:01.280]   Do you want this?
[00:04:01.280 --> 00:04:02.280]   Yeah, but I don't have the 45 with me.
[00:04:02.280 --> 00:04:03.280]   You're the white old man.
[00:04:03.280 --> 00:04:04.280]   You're the white old man.
[00:04:04.280 --> 00:04:06.000]   I didn't expect you this week.
[00:04:06.000 --> 00:04:07.000]   Oh.
[00:04:07.000 --> 00:04:08.000]   Oh.
[00:04:08.000 --> 00:04:09.480]   Well, I'm saying that because I brought this lens.
[00:04:09.480 --> 00:04:10.480]   Thank you.
[00:04:10.480 --> 00:04:11.480]   I appreciate it.
[00:04:11.480 --> 00:04:12.480]   God, it's hot.
[00:04:12.480 --> 00:04:14.480]   No, not really.
[00:04:14.480 --> 00:04:17.480]   John C. Devorak from No Agenda Show.
[00:04:17.480 --> 00:04:18.480]   Is there a computer?
[00:04:18.480 --> 00:04:19.480]   Yeah, we'll get you a computer.
[00:04:19.480 --> 00:04:21.480]   Devorak.org/block.
[00:04:21.480 --> 00:04:27.480]   And finally, but last and certainly not least, from Mashable Christina Warren is also here.
[00:04:27.480 --> 00:04:28.480]   And do.
[00:04:28.480 --> 00:04:33.160]   Unfortunately, you've been slid out over onto the edge, so we're gonna have some pineapple
[00:04:33.160 --> 00:04:34.160]   tarts if you'd like.
[00:04:34.160 --> 00:04:35.160]   I don't think so.
[00:04:35.160 --> 00:04:36.160]   I brought them just for you.
[00:04:36.160 --> 00:04:37.160]   No, you didn't.
[00:04:37.160 --> 00:04:39.040]   You didn't expect me to be here, apparently.
