
[00:00:00.000 --> 00:00:01.360]   (upbeat music)
[00:00:01.360 --> 00:00:02.880]   It's time for Twit this weekend, tech.
[00:00:02.880 --> 00:00:04.920]   Wow, we have a great show for you.
[00:00:04.920 --> 00:00:06.960]   Jason Heiner is here from Tech Republic.
[00:00:06.960 --> 00:00:08.640]   Alex Lindsey for Pixelcore.
[00:00:08.640 --> 00:00:09.800]   Owen J. J. Stone.
[00:00:09.800 --> 00:00:11.880]   Oh, doctor, we don't know where he's from, Mars.
[00:00:11.880 --> 00:00:12.720]   I don't know.
[00:00:12.720 --> 00:00:14.000]   We're gonna talk about what's going on
[00:00:14.000 --> 00:00:15.400]   with self-driving cars.
[00:00:15.400 --> 00:00:16.960]   The latest news from Twitter.
[00:00:16.960 --> 00:00:19.280]   Apple, why it's getting everything wrong,
[00:00:19.280 --> 00:00:21.680]   and I'm going to make a personal revelation
[00:00:21.680 --> 00:00:22.880]   that will shock you.
[00:00:22.880 --> 00:00:24.560]   It's all next on Twit.
[00:00:24.560 --> 00:00:27.800]   (electronic music)
[00:00:27.800 --> 00:00:29.880]   Netcast, you love.
[00:00:29.880 --> 00:00:31.400]   From people you trust.
[00:00:31.400 --> 00:00:37.400]   This is Twit.
[00:00:37.400 --> 00:00:40.720]   Bandwidth for this weekend tech is provided by CashFly
[00:00:40.720 --> 00:00:44.320]   at C-A-C-H-E-F-L-Y dot com.
[00:00:44.320 --> 00:00:47.320]   Hi everybody, it's time for our annual audience survey.
[00:00:47.320 --> 00:00:49.840]   We'd really like to hear from you.
[00:00:49.840 --> 00:00:52.000]   It helps us understand our audience better,
[00:00:52.000 --> 00:00:53.440]   know what you like and don't like,
[00:00:53.440 --> 00:00:54.720]   how you listen to the show.
[00:00:54.720 --> 00:00:56.800]   It also helps us tell advertisers
[00:00:56.800 --> 00:00:57.920]   what kind of people listen,
[00:00:57.920 --> 00:01:00.800]   but I promise you, your feedback is always kept
[00:01:00.800 --> 00:01:02.480]   personally anonymous.
[00:01:02.480 --> 00:01:05.720]   All you have to do is visit twit.tv/survey
[00:01:05.720 --> 00:01:06.880]   and let us know what you think.
[00:01:06.880 --> 00:01:08.240]   It'll just take a few minutes
[00:01:08.240 --> 00:01:10.200]   and it'll help us make Twit even better.
[00:01:10.200 --> 00:01:12.000]   We really appreciate your support
[00:01:12.000 --> 00:01:16.120]   and any help you can give us twit.tv/survey.
[00:01:16.120 --> 00:01:19.040]   (electronic music)
[00:01:19.040 --> 00:01:23.640]   This is Twit, this week at Tech.
[00:01:23.640 --> 00:01:27.080]   Episode 549, recorded Valentine's Day.
[00:01:27.080 --> 00:01:30.360]   It's Sunday, February 14th, 2016.
[00:01:30.360 --> 00:01:32.160]   Self-smoking cigarettes.
[00:01:32.160 --> 00:01:35.920]   This week at Tech is brought to you by Harry's.
[00:01:35.920 --> 00:01:37.760]   For guys who want a great shave experience
[00:01:37.760 --> 00:01:39.560]   for a fraction of what you're paying now,
[00:01:39.560 --> 00:01:41.200]   go to harries.com.
[00:01:41.200 --> 00:01:43.960]   For a limited time, new customers can get a free trial.
[00:01:43.960 --> 00:01:48.960]   Pay just $3 for shipping by going to harries.com/twit.
[00:01:48.960 --> 00:01:51.400]   And by Squarespace.
[00:01:51.400 --> 00:01:54.880]   Squarespace is the simplest way to create a landing page,
[00:01:54.880 --> 00:01:57.240]   a beautiful website for your portfolio,
[00:01:57.240 --> 00:02:00.000]   to create a blog or business or online store,
[00:02:00.000 --> 00:02:03.720]   enter the offer code Twit and get 10% off Squarespace.
[00:02:03.720 --> 00:02:05.400]   You should.
[00:02:05.400 --> 00:02:07.160]   And by Carbonite.
[00:02:07.160 --> 00:02:08.560]   Keep your business safe this year.
[00:02:08.560 --> 00:02:10.840]   Protect files on your computer or server
[00:02:10.840 --> 00:02:13.600]   with automatic cloud backup from Carbonite.
[00:02:13.600 --> 00:02:17.240]   Try it free without a credit card at carbonite.com today
[00:02:17.240 --> 00:02:20.120]   and use the offer code Twit to get two free bonus months
[00:02:20.120 --> 00:02:21.320]   if you decide to buy.
[00:02:22.200 --> 00:02:25.520]   And by Casper, an online retailer,
[00:02:25.520 --> 00:02:28.400]   premium mattresses for a fraction of the price
[00:02:28.400 --> 00:02:30.680]   because everyone deserves a great night's sleep.
[00:02:30.680 --> 00:02:35.840]   Get $50 off any mattress purchased by visiting casper.com/twit
[00:02:35.840 --> 00:02:37.720]   and entering the promo code Twit.
[00:02:37.720 --> 00:02:41.480]   It's time for Twit this week in Tech,
[00:02:41.480 --> 00:02:44.560]   the show where we cover the latest tech news.
[00:02:44.560 --> 00:02:47.560]   And I've assembled some close personal friends
[00:02:47.560 --> 00:02:48.960]   to jawbone about the news,
[00:02:48.960 --> 00:02:50.880]   starting with the guy sitting on my right,
[00:02:50.880 --> 00:02:52.560]   Mr. Alex Lindsey of the Pixel core.
[00:02:52.560 --> 00:02:53.400]   Hello, hello.
[00:02:53.400 --> 00:02:55.360]   Nice to see you actually in studio.
[00:02:55.360 --> 00:02:56.360]   Crazy.
[00:02:56.360 --> 00:02:59.280]   Alex joins us most weeks for Mac break weekly.
[00:02:59.280 --> 00:03:02.440]   We're actually the creator of Mac break.
[00:03:02.440 --> 00:03:03.280]   That's right.
[00:03:03.280 --> 00:03:04.120]   Way back when.
[00:03:04.120 --> 00:03:04.960]   Long ago.
[00:03:04.960 --> 00:03:08.120]   The first 1080p video podcast that nearly killed us.
[00:03:08.120 --> 00:03:10.600]   (laughing)
[00:03:10.600 --> 00:03:12.240]   L.C. 1080p was only 10 years ahead
