;FFMETADATA1
title=The Echo Chamber
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=424
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2017
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.880]   It's time for Twig this week in Google. I'm Jason Howell filling in for Leo one last week
[00:00:04.880 --> 00:00:10.040]   We've got Stacy Higginbotham on the line also Matt cuts is joining us. We're gonna talk all about Amazon's big
[00:00:10.040 --> 00:00:17.400]   Surprise echo announcements. I'll go also Google's EU antitrust solution Levi's smart jacket
[00:00:17.400 --> 00:00:21.760]   Twitter's expanded character count and a whole lot more this week in Google is next
[00:00:21.760 --> 00:00:28.320]   Netcasts you love from people you trust
[00:00:28.640 --> 00:00:41.360]   This is twig bandwidth for this week in Google is provided by cash fly C A C H E F L Y
[00:00:41.360 --> 00:00:52.480]   This is Twig this week in Google episode 424 recorded Wednesday September 27th 2017
[00:00:52.480 --> 00:01:01.280]   the echo chamber this week in Google is brought to you by Casper an online retailer or premium mattresses for a fraction of the price
[00:01:01.280 --> 00:01:07.080]   Because everyone deserves a great night's sleep get $50 off any mattress purchased by visiting
[00:01:07.080 --> 00:01:10.480]   Casper.com/twig and enter promo code twig
[00:01:10.480 --> 00:01:16.000]   And by rocket mortgage by quick-alones home plays a big role in your life
[00:01:16.000 --> 00:01:18.640]   And that's why quick-alones created rocket mortgage
[00:01:18.640 --> 00:01:25.120]   It lets you apply simply and understand the entire mortgage process fully so you can be confident that you're getting the right mortgage
[00:01:25.120 --> 00:01:28.880]   For you get started at rocket mortgage calm slash twig
[00:01:28.880 --> 00:01:36.480]   And by Qualcomm snapdragon gigabit LTE to learn more about fiber optic download speeds on your smartphone
[00:01:36.480 --> 00:01:39.480]   Go to snapdragon.com slash gigabit
[00:01:39.480 --> 00:01:47.920]   It's time for twig this week in Google where we talk about well, what else Google sometimes there is a what else in there
[00:01:47.920 --> 00:01:49.920]   We talk about the cloud we talk about social
[00:01:49.920 --> 00:01:54.880]   But we've got a lot of Google a lot of Amazon plenty of stuff to keep us on topic today
[00:01:54.880 --> 00:01:58.560]   I'm Jason how I'm filling in for Leo the port who will be back next week
[00:01:58.560 --> 00:02:02.400]   And there's gonna be a lot of really cool stuff to talk about on the show next week
[00:02:02.400 --> 00:02:07.680]   I kind of wish it was next week because then we know what Google has in stores for as devices are concerned
[00:02:07.680 --> 00:02:12.800]   But that's getting ahead of ourselves. I'm happy to be here and happy as always to be joined
[00:02:13.520 --> 00:02:19.520]   By stacy higgum botham creator of the iot podcast iot podcast calm and the internet of things newsletter
[00:02:19.520 --> 00:02:24.320]   Stacey on iot calm and of course go host of this week in google has it go on stacey
[00:02:24.320 --> 00:02:29.840]   It's going well. I am joining you from my hotel room at an airport hotel in san francisco
[00:02:29.840 --> 00:02:36.640]   Oh, I was thinking that maybe you redesigned your home to look like an airport hotel hotel. Yes. Yes. Do you like my
[00:02:36.640 --> 00:02:40.640]   generic s o generic s of bridge that's very nice
[00:02:41.680 --> 00:02:46.240]   Very nice. Where's the amazon echo in there? I can't see where it's where it's mounted there
[00:02:46.240 --> 00:02:50.800]   Yeah, this one doesn't have one. I'm sure there's a security camera hidden somewhere in here though
[00:02:50.800 --> 00:02:53.520]   Oh, let's not think about that. I'm hoping not
[00:02:53.520 --> 00:03:00.000]   Uh, but also joining us super awesome guy matt cuts acting administrator for the us digital service
[00:03:00.000 --> 00:03:02.880]   And it's been a while since you've been on this week in google. It's great to have you back matt
