;FFMETADATA1
title=Looking for Mr. Goodswipe
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=525
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.640]   Coming up on Twig this week in Google I'm Jason Howell joining me Jeff Jarvis and Ant Pruitt
[00:00:04.640 --> 00:00:09.840]   We talk about all the antitrust stories that are bubbling up right now Google Facebook Amazon
[00:00:09.840 --> 00:00:11.840]   They've all got stories of antitrust
[00:00:11.840 --> 00:00:18.040]   Allegations going on pixel 4 leaks in abundance and we take a look at some new videos that hit there
[00:00:18.040 --> 00:00:20.480]   Hong Kong protesters creating their own
[00:00:20.480 --> 00:00:27.320]   National anthem as well as using technology that gets them off the internet in order to keep communicating with each other and dogs with sticks
[00:00:27.560 --> 00:00:30.760]   We're covering a lot of ground today on twig that is up next
[00:00:30.760 --> 00:00:37.920]   Netcasts you love from people you trust
[00:00:37.920 --> 00:00:43.680]   This is toys
[00:00:43.680 --> 00:00:50.860]   This is twig this week in Google episode
[00:00:50.860 --> 00:00:57.240]   525 recorded Wednesday September 11th 2019 looking for mr. Good swipe
[00:00:58.040 --> 00:01:05.280]   This episode of this week in Google is brought to you by worldwide technology worldwide technologies advanced technology center is like no other
[00:01:05.280 --> 00:01:12.680]   testing and research lab with more than a half billion dollars of equipment including OEMs like NetApp and its virtual so you can
[00:01:12.680 --> 00:01:17.600]   access it 24/7 to learn more and get insights into all that it offers go to
[00:01:17.600 --> 00:01:20.280]   WWT.com/twit
[00:01:20.280 --> 00:01:26.200]   And by captera find the right tools to make an informed software decision for your business
[00:01:26.400 --> 00:01:30.720]   visit capteras free website at captera.com/twig and
[00:01:30.720 --> 00:01:39.440]   By express VPN protect your online privacy with one click. Yes, it's that easy for three extra months free with a one-year package
[00:01:39.440 --> 00:01:42.280]   Go to express VPN calm slash twig
[00:01:42.280 --> 00:01:49.240]   It's time for twig this week in Google. I'm Jason how filling in for Leo La Porte
[00:01:49.240 --> 00:01:56.360]   Who I believe is at the last pass of no he's at the pod front pod fronts my my apologies
[00:01:56.360 --> 00:01:59.560]   He's at pod fronts talking podcast. He's talking hot
[00:01:59.560 --> 00:02:04.400]   You know this thing that we do here. It's called podcast another week. We'll be doing the last past thing
[00:02:04.400 --> 00:02:09.520]   Joining me as always Jeff or almost always Jeff Jarvis buzz machine
[00:02:09.520 --> 00:02:15.920]   Pretty much always I try my best I get here every time I can I torture you from hotel rooms with bad
[00:02:15.920 --> 00:02:19.000]   Wi-Fi to be here. I stay up to all hours to be here
[00:02:19.000 --> 00:02:23.720]   I'm pretty much always here whether you like it or not you were like 99.99%
[00:02:24.240 --> 00:02:30.920]   Reliable, but there's that point oh one percent Jeff that point oh one percent it hurts got a work
