;FFMETADATA1
title=Roofs and Drawers
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=473
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.200]   Coming up on this week in Google, I'm Jason Hal filling in for Leo. We've got Stacey Higginbotham.
[00:00:04.200 --> 00:00:09.200]   We've got Kevin Tofel joining and a very very brief appearance by Jeff Jarvis at the very beginning.
[00:00:09.200 --> 00:00:16.880]   We're gonna be talking all about the Pixel event. We have an actual date that Google has given us for the made by Google event coming up next month.
[00:00:16.880 --> 00:00:18.880]   Also, there's a new bill
[00:00:18.880 --> 00:00:25.520]   that's making its way through California about IoT security could set the path for other states and
[00:00:25.960 --> 00:00:34.000]   Snapdragon Wear 3100 which I thought was kind of cool and then Stacey compared it to the new news of Apple's watch that they announced today and
[00:00:34.000 --> 00:00:39.160]   Maybe it sounded just a little bit less cool all that and a whole lot more coming up next on this week in Google
[00:00:39.160 --> 00:00:46.320]   Netcast you love from people you trust
[00:00:46.320 --> 00:00:52.080]   This is great
[00:00:52.840 --> 00:00:54.840]   This
[00:00:54.840 --> 00:00:59.520]   Is twig this week in Google episode
[00:00:59.520 --> 00:01:06.240]   473 recorded Wednesday September 12th 2018 roofs and drawers
[00:01:06.240 --> 00:01:13.960]   This episode of this week in Google is brought to you by Grammarly the communication tool that helps improve your writing for every occasion
[00:01:13.960 --> 00:01:18.320]   Start writing more confidently for work school and even on the go
[00:01:18.320 --> 00:01:24.880]   It's a great way to double check your important papers documents and even avoid future typos get 20% off
[00:01:24.880 --> 00:01:29.080]   Grammarly premium today at Grammarly.com/twig
[00:01:29.080 --> 00:01:37.720]   And by Casper a sleep brand that continues to revolutionize its line of products to create an exceptionally comfortable sleep experience
[00:01:37.720 --> 00:01:43.320]   One night at a time you can save $50 towards select mattresses by visiting
[00:01:43.320 --> 00:01:47.600]   Casper.com/twig and use promo code twig a check out
[00:01:47.600 --> 00:01:53.080]   And by last pass secure every password protected entry point to your business
[00:01:53.080 --> 00:01:58.960]   Join over 33,000 businesses and start managing and securing your company's passwords today
[00:01:58.960 --> 00:02:01.920]   Learn more at last pass calm slash twit
[00:02:01.920 --> 00:02:10.240]   It's time for twig this week in Google Leel report is out two of three weeks
[00:02:10.240 --> 00:02:11.920]   He'll be back in a couple of weeks
[00:02:11.920 --> 00:02:16.160]   But I'm in it sitting here in the seat in his place Jason how I'm super happy to be here
[00:02:16.160 --> 00:02:21.400]   Have a lot of fun last week gonna have a lot of fun this week as well joining us Jeff Jarvis
[00:02:21.400 --> 00:02:25.000]   From hotel room somewhere in the world and we'll see how it goes
[00:02:25.000 --> 00:02:27.880]   Yes, I'm in Austin's like oh
[00:02:27.880 --> 00:02:30.960]   And that was a quick one
[00:02:30.960 --> 00:02:33.680]   Oh, but I like how it froze
[00:02:33.680 --> 00:02:38.920]   At least we got the the death freeze like at the very beginning of the show
[00:02:38.920 --> 00:02:43.160]   We weren't quite sure what was gonna happen there. I'm pretty sure it broke up for you to Jeff
[00:02:43.560 --> 00:02:49.760]   I'm turning on my phone try that too. All right. We'll try that Jeff's gonna work on that also joining us Stacy Higginbotham
[00:02:49.760 --> 00:02:57.520]   How you doing Stacy? It's great to see you again doing well also in Austin several no 13 miles 12 miles 10 miles 6 miles
[00:02:57.520 --> 00:02:58.880]   I don't know how far from Jeff
[00:02:58.880 --> 00:03:04.680]   Well, it's too bad that you didn't like go to where Jeff is so that you could use his internet there because it's amazing
