
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:35.000]   This is MacBreak Weekly, Episode 145 for June 16, 2009.
[00:00:35.000 --> 00:00:37.000]   The Born Rescue.
[00:00:37.000 --> 00:00:41.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:53.000]   And by Drobo and the new Drobo Pro with expanded capacity
[00:00:53.000 --> 00:00:55.000]   and performance for small businesses.
[00:00:55.000 --> 00:00:59.000]   To learn more about Drobo Pro and for special offers on the Drobo
[00:00:59.000 --> 00:01:03.000]   visit Drobo.com/macbreak.
[00:01:03.000 --> 00:01:06.000]   And by listeners like you.
[00:01:06.000 --> 00:01:07.000]   Thanks so much for your contribution.
[00:01:07.000 --> 00:01:09.000]   We couldn't do to it without it.
[00:01:09.000 --> 00:01:19.000]   It's time for MacBreak Weekly, the show that covers all things Macintosh.
[00:01:19.000 --> 00:01:22.000]   Ladies and gentlemen in studio with me today, of course,
[00:01:22.000 --> 00:01:25.000]   Alex Lindsey, the lovely and talented Pixel Corpian.
[00:01:25.000 --> 00:01:27.000]   I'm a Pixel Scorpion.
[00:01:27.000 --> 00:01:29.000]   A Pixel Scorpion. A Pixel Scorpion.
[00:01:29.000 --> 00:01:31.000]   I don't know what that means, but I hope it's good.
[00:01:31.000 --> 00:01:34.000]   The Jolly laugh that of Scott Born, we welcome him back from his
[00:01:34.000 --> 00:01:36.000]   Fortress of Solitude.
[00:01:36.000 --> 00:01:40.000]   Very sorry to have missed last week, especially with the
[00:01:40.000 --> 00:01:42.000]   iPhone announcement, etc.
[00:01:42.000 --> 00:01:44.000]   But I enjoyed watching the coverage.
[00:01:44.000 --> 00:01:45.000]   Well, don't feel too bad.
[00:01:45.000 --> 00:01:47.000]   I flew Andy all the way out here and he missed it as well.
[00:01:47.000 --> 00:01:49.000]   Andy and I collated.
[00:01:49.000 --> 00:01:51.000]   I didn't miss it, sir.
[00:01:51.000 --> 00:01:55.000]   I was standing by saying, guys, tell me exactly what you want me to
[00:01:55.000 --> 00:01:56.000]   do and I'll be there.
[00:01:56.000 --> 00:01:58.000]   I was like George Harrison and let it be.
[00:01:58.000 --> 00:02:01.000]   Telling Paul McCarty, if you want me to play fast, I'll play fast.
[00:02:01.000 --> 00:02:02.000]   If you want to play soft, I'll play soft.
[00:02:02.000 --> 00:02:04.000]   Just tell me what you want to do and I want to make happy.
[00:02:04.000 --> 00:02:06.000]   It's my fault entirely.
[00:02:06.000 --> 00:02:10.000]   I blame myself, but you got at least you got to go to the keynote
[00:02:10.000 --> 00:02:13.000]   and you did come back the next day and explain all.
[00:02:13.000 --> 00:02:15.000]   So that was, you were in studio.
[00:02:15.000 --> 00:02:16.000]   And how do you like your seashell?
[00:02:16.000 --> 00:02:17.000]   You still liking that?
[00:02:17.000 --> 00:02:19.000]   Oh, loving it.
[00:02:19.000 --> 00:02:21.000]   That's the new Asus.
[00:02:21.000 --> 00:02:24.000]   Yeah, very, very good, very, very smart machine.
[00:02:24.000 --> 00:02:27.000]   I love the, it's a keyboard with whatever else around it you need
[00:02:27.000 --> 00:02:29.000]   to support a keyboard.
[00:02:29.000 --> 00:02:32.000]   Now that I have Windows 7 running on it, I like it even better.
[00:02:32.000 --> 00:02:34.000]   I understand that you bought a Samsung.
[00:02:34.000 --> 00:02:37.000]   Yeah, since I, you know, I thought, you know, we got to diversify.
[00:02:37.000 --> 00:02:41.000]   So you've got the seashell, the 1008HA basis.
[00:02:41.000 --> 00:02:44.000]   In case we get hit by that one type of Windows virus that only
[00:02:44.000 --> 00:02:47.000]   affects the Asus model, but that's not a vice versa.
[00:02:47.000 --> 00:02:48.000]   Exactly.
[00:02:48.000 --> 00:02:50.000]   It's not a ridiculous thing to think about in the Windows sphere.
[00:02:50.000 --> 00:02:54.000]   I was just curious to try the, I mean, now that I wasn't bound
[00:02:54.000 --> 00:02:57.000]   by the need to hackintosh, because I have an MSI win, which I got
[00:02:57.000 --> 00:02:59.000]   because it's hackintoshable.
[00:02:59.000 --> 00:03:02.000]   The NC20 has almost a full-size keyboard and a 12-inch screen
[00:03:02.000 --> 00:03:04.000]   and it really is, it's pretty spectacular.
[00:03:04.000 --> 00:03:06.000]   That's exciting to be left to.
[00:03:06.000 --> 00:03:09.000]   This year I've become a real convert to, to netbooks in general.
[00:03:09.000 --> 00:03:12.000]   I even think that if you're a Mac user and you're not interested
[00:03:12.000 --> 00:03:15.000]   even in converting it so that we'll run Mac software,
[00:03:15.000 --> 00:03:17.000]   it's a hell of an accessory to have, especially if you have
[00:03:17.000 --> 00:03:21.000]   something that's as compact as the, as the Asus that, again, can fit.
[00:03:21.000 --> 00:03:24.000]   It's, it's, it's like a clutch purse, even if you don't have the
[00:03:24.000 --> 00:03:26.000]   Internet tactical pants for the pockets that are big enough to stick
[00:03:26.000 --> 00:03:27.000]   in the back pocket.
[00:03:27.000 --> 00:03:30.000]   I mean, it's, it's a hell of a handy thing to have.
[00:03:30.000 --> 00:03:33.000]   You think that, you think that now, now that you've seen the value of this,
[00:03:33.000 --> 00:03:37.000]   that there's a, that you have a drum beat to get Apple to do something like this?
[00:03:37.000 --> 00:03:39.000]   I don't think they ever will do anything like that.
[00:03:39.000 --> 00:03:40.000]   I think you're right.
[00:03:40.000 --> 00:03:41.000]   I think you're right.
[00:03:41.000 --> 00:03:44.000]   I mean, and, and that's okay because they're not the only computer
[00:03:44.000 --> 00:03:47.000]   company out there, but it does go to, go to sort of the point that
[00:03:47.000 --> 00:03:50.000]   sometimes good is good enough.
[00:03:50.000 --> 00:03:51.000]   Yeah.
[00:03:51.000 --> 00:03:54.000]   And a $400 notebook that's this small and this light and this convenient.
[00:03:54.000 --> 00:03:56.000]   That's good enough for me.
[00:03:56.000 --> 00:03:58.000]   I'd rather, I was talking to a developer as a matter of fact last week
[00:03:58.000 --> 00:04:02.000]   who had a really awesome iPhone app and I really wanted to have it.
[00:04:02.000 --> 00:04:05.000]   I really was looking forward to, I was writing the review in my head
[00:04:05.000 --> 00:04:07.000]   because it was a really, I can't talk about it.
[00:04:07.000 --> 00:04:09.000]   It was a really, really wonderful application.
[00:04:09.000 --> 00:04:12.000]   And he's telling me about this one feature that he wanted to put in
[00:04:12.000 --> 00:04:15.000]   involving syncing between the desktop and the, and the handset.
[00:04:15.000 --> 00:04:18.000]   And I'm saying, you have been holding onto this for seven months because
[00:04:18.000 --> 00:04:20.000]   you cannot get that one feature.
[00:04:20.000 --> 00:04:23.000]   And it's a nice feature, sir, but release it now.
[00:04:23.000 --> 00:04:26.000]   Give us something to look forward to for 2.0, but give us this great thing
[00:04:26.000 --> 00:04:27.000]   right now.
[00:04:27.000 --> 00:04:28.000]   We want it.
[00:04:28.000 --> 00:04:29.000]   We can use it.
[00:04:29.000 --> 00:04:30.000]   Your software is no use to us if you're not going to release it.
[00:04:30.000 --> 00:04:33.000]   What's that saying the, the, the perfect is the enemy of the good or the
[00:04:33.000 --> 00:04:34.000]   better is the enemy of good.
[00:04:34.000 --> 00:04:38.000]   It's from Voltaire and it was, it was one of the things that they used to say
[00:04:38.000 --> 00:04:41.000]   in the Apollo program a lot when they're trying to, when they saw a project
[00:04:41.000 --> 00:04:43.000]   start to get away with them, say, look, we have this deadline.
[00:04:43.000 --> 00:04:46.000]   You know, you will always, it's like the difference between, it's like trying
[00:04:46.000 --> 00:04:47.000]   to draw a perfect circle.
[00:04:47.000 --> 00:04:50.000]   You could always freehand, you can always draw a better circle, but sometimes
[00:04:50.000 --> 00:04:51.000]   it's good enough.
[00:04:51.000 --> 00:04:54.000]   I mean, good is a, is an attainable goal.
[00:04:54.000 --> 00:04:57.000]   Perfect is a better is a goal that you'll always be chasing.
[00:04:57.000 --> 00:04:58.000]   You'll never finish anything.
[00:04:58.000 --> 00:04:59.000]   Unless you're Steve Jobs.
[00:04:59.000 --> 00:05:03.000]   So there are some stories, however, there are some things to talk about.
[00:05:03.000 --> 00:05:05.000]   For one thing, I'm very pleased.
[00:05:05.000 --> 00:05:07.000]   And I know, I think Andy has something he might want to say along these
[00:05:07.000 --> 00:05:12.000]   lines to see that my three GS, you know, while we were doing the show last
[00:05:12.000 --> 00:05:14.000]   Tuesday, I didn't tell anybody.
[00:05:14.000 --> 00:05:15.000]   I ordered.
[00:05:15.000 --> 00:05:16.000]   What is it coming?
[00:05:16.000 --> 00:05:19.000]   32 gig while we were talking about it.
[00:05:19.000 --> 00:05:22.000]   While we were talking iPhone GS, you might have heard me get quiet for a moment
[00:05:22.000 --> 00:05:23.000]   there.
[00:05:23.000 --> 00:05:24.000]   And I pre-ordered it.
[00:05:24.000 --> 00:05:27.000]   So that was June 9th and I just got the email this morning.
[00:05:27.000 --> 00:05:29.000]   It's shipped from Shenzhen, China.
[00:05:29.000 --> 00:05:31.000]   It's another one of those drop the ship.
[00:05:31.000 --> 00:05:32.000]   It's on the boat.
[00:05:32.000 --> 00:05:34.000]   No, it's UPS.
[00:05:34.000 --> 00:05:36.000]   They say delivery date the 18th.
[00:05:36.000 --> 00:05:38.000]   Which is tomorrow.
[00:05:38.000 --> 00:05:41.000]   I mean, that day after tomorrow, Thursday, a day early.
[00:05:41.000 --> 00:05:44.000]   So I, yeah, so I was pleased.
[00:05:44.000 --> 00:05:49.000]   I saw some other people on Friend Feed who also had, you know, got that email
[00:05:49.000 --> 00:05:51.000]   that said they were going to get it by Thursday.
[00:05:51.000 --> 00:05:53.000]   So maybe we'll get a little bit early even tomorrow.
[00:05:53.000 --> 00:05:58.000]   I suppose, you know, because I ordered it on the 9th, if you ordered it on the 8th,
[00:05:58.000 --> 00:05:59.000]   you could conceivably get it.
[00:05:59.000 --> 00:06:01.000]   Hello tomorrow.
[00:06:01.000 --> 00:06:02.000]   Perfect.
[00:06:02.000 --> 00:06:03.000]   Perfect.
[00:06:03.000 --> 00:06:04.000]   Okay.
[00:06:04.000 --> 00:06:06.000]   You just changed headsets.
[00:06:06.000 --> 00:06:07.000]   This is just a prop.
[00:06:07.000 --> 00:06:08.000]   That's good.
[00:06:08.000 --> 00:06:09.000]   It's a good prop.
[00:06:09.000 --> 00:06:11.000]   You know what it is?
[00:06:11.000 --> 00:06:13.000]   What are you using for that ADD?
[00:06:13.000 --> 00:06:14.000]   Is that the CN transfer?
[00:06:14.000 --> 00:06:16.000]   I'm using that sure thing that Alex talked about.
[00:06:16.000 --> 00:06:19.000]   But I've been using it every week with no problems.
[00:06:19.000 --> 00:06:23.000]   You know, it's what we remember we had that with Andy when you plugged into,
[00:06:23.000 --> 00:06:26.000]   was it the left port or the right port of your MacBook?
[00:06:26.000 --> 00:06:27.000]   Yeah.
[00:06:27.000 --> 00:06:29.000]   On the MacBook, nothing.
[00:06:29.000 --> 00:06:31.000]   The forward port is a good one.
[00:06:31.000 --> 00:06:35.000]   The backward port, the one closer to the front edge is the good one.
[00:06:35.000 --> 00:06:37.000]   The one closer to the back is the not so good one.
[00:06:37.000 --> 00:06:39.000]   And I will troubleshoot it later.
[00:06:39.000 --> 00:06:40.000]   Yeah, yeah, we don't have to worry about it now.
[00:06:40.000 --> 00:06:47.000]   But it was something that somebody told me last week was that one of the ports is a direct connect.
[00:06:47.000 --> 00:06:48.000]   Another one goes through some stuff.
[00:06:48.000 --> 00:06:49.000]   Was it you who told me that?
[00:06:49.000 --> 00:06:53.000]   I don't know what we were talking about last week, but we were talking a week before that one has one will
[00:06:53.000 --> 00:06:56.000]   sometimes won't power stuff correctly and the other one will.
[00:06:56.000 --> 00:06:58.000]   And one will be a good audio and the other one will.
[00:06:58.000 --> 00:07:00.000]   That's always been the case on all of the MacBooks.
[00:07:00.000 --> 00:07:05.000]   I think the thing is that you have one USB port that has its own bus and its own hub.
[00:07:05.000 --> 00:07:09.000]   You have a second one that's shared with all the USB devices that are built into the system.
[00:07:09.000 --> 00:07:10.000]   So got it.
[00:07:10.000 --> 00:07:11.000]   So that would make sense.
[00:07:11.000 --> 00:07:14.000]   Anyway, when is your iPhone supposed to arrive, Leo?
[00:07:14.000 --> 00:07:15.000]   The 18th.
[00:07:15.000 --> 00:07:18.000]   Did you order second day shipping?
[00:07:18.000 --> 00:07:19.000]   No.
[00:07:19.000 --> 00:07:21.000]   They didn't even give that as an option.
[00:07:21.000 --> 00:07:22.000]   They have free shipping.
[00:07:22.000 --> 00:07:25.000]   They said it will arrive by the 19th.
[00:07:25.000 --> 00:07:26.000]   You know, that's what they say on the end.
[00:07:26.000 --> 00:07:28.000]   They gave me the option of next day shipping.
[00:07:28.000 --> 00:07:29.000]   Did you do that?
