
[00:00:00.000 --> 00:00:04.320]   It's time for Mac Break Weekly. We've got Joe Kistle here. He wrote the book on
[00:00:04.320 --> 00:00:11.280]   Passwords. Literally, we'll talk about protecting yourself and ever know what happened there and we'll take a look inside the
[00:00:11.280 --> 00:00:19.520]   Apple adapter that has an entire computer built into it. Andy Enoco Joe Kistle Renee Ritchie here Mac Break Weekly is next.
[00:00:19.520 --> 00:00:26.640]   Netcast you love from people you trust
[00:00:26.640 --> 00:00:40.240]   This is Troy bandwidth for Mac Break Weekly is provided by cash fly at C A C H E F L Y dot com
[00:00:40.240 --> 00:00:51.040]   This is Mac Break Weekly episode 340 recorded March 5th 2013 Android curious
[00:00:55.240 --> 00:00:59.880]   Mac Break Weekly is brought to you by Gazelle the fast and simple way to sell last year's gadgets
[00:00:59.880 --> 00:01:06.600]   Find out what your used iPad Mac book iPhone Galaxy S or other smartphones are worth at Gazelle dot com and buy
[00:01:06.600 --> 00:01:09.680]   LegalZoom.com LegalZoom is not a law firm
[00:01:09.680 --> 00:01:14.800]   LegalZoom provides self-help services at your direction such as affordable business and personal documents
[00:01:14.800 --> 00:01:22.280]   You can trust visit LegalZoom.com and use the offer code MBW to get $10 off at checkout and buy
[00:01:23.240 --> 00:01:27.680]   Audible.com to download the free audio book of your choice go to audible.com
[00:01:27.680 --> 00:01:30.680]   Slash Mac Break
[00:01:30.680 --> 00:01:35.320]   It's time for Mac Break Weekly the show where we cover the latest news from Cupertino
[00:01:35.320 --> 00:01:39.360]   I was in Cupertino last week and I'm here to report there's no news
[00:01:39.360 --> 00:01:44.160]   Mr. Andy Enoco is here. I like your backdrop from the Chicago Sun times
[00:01:44.160 --> 00:01:47.440]   What is that?
[00:01:47.440 --> 00:01:53.240]   Those are Pixar walking teapots and then you have actual teapots on the stool below
[00:01:53.240 --> 00:01:57.200]   Exactly they've been we sprayed for walking teapots last week
[00:01:57.200 --> 00:02:00.000]   But you know unless you cover up all the holes and start bagging on your rice
[00:02:00.000 --> 00:02:06.360]   They just keep coming right back. They smell the tea they keep coming back for the for the loose tea. I love that
[00:02:06.360 --> 00:02:12.440]   Wow, that's very cool. I got I got a care package from a very nice person from somebody who loves teapots
[00:02:12.440 --> 00:02:14.440]   Can you make tea in any of those?
[00:02:15.120 --> 00:02:21.000]   No, but you and what they do walk they do they do walk if you wind them up seven duxes
[00:02:21.000 --> 00:02:27.800]   Andy did you break your mousing finger are you okay sir?
[00:02:27.800 --> 00:02:32.000]   No, no, I just I was doing a he-manly
[00:02:32.000 --> 00:02:36.000]   You stuck your finger in a dyke and it broke off
[00:02:36.000 --> 00:02:40.720]   But you do say Holland no no all I did all I did was I bruised my finger now a little bit
[00:02:40.720 --> 00:02:45.300]   Oh, and this is like this is just the equivalent of like that collar that you put around a dog
[00:02:45.300 --> 00:02:46.800]   So he doesn't like scratch it as yeah
[00:02:46.800 --> 00:02:52.220]   It's like I didn't realize how often like you just occasionally bump and graze your fingernail until like
[00:02:52.220 --> 00:02:54.200]   I'm like oh
[00:02:54.200 --> 00:02:55.200]   Oh
[00:02:55.200 --> 00:02:59.400]   This sort of thing the drugs are cost only six dollars. It seems like it could save me a lot of pain
[00:02:59.400 --> 00:03:03.680]   I mean you know why they sell those I wonder if I could put one of those in my head
[00:03:03.680 --> 00:03:08.520]   I put one on my brain so every time I think thoughts are not gonna leave me any good
[00:03:09.240 --> 00:03:14.880]   He's even got a walking teapot hat on I just noticed you are really teapotting out again
[00:03:14.880 --> 00:03:16.800]   It was it was quite a nice little little
[00:03:16.800 --> 00:03:20.720]   impact is from awesome again someone very kind of at a company that
[00:03:20.720 --> 00:03:24.580]   Was had an affiliation with the owner of a certain fruit company located nearby?
[00:03:24.580 --> 00:03:32.520]   I'm not sure if I'm allowed to say it deduced all of that from something you and John Lasseter like this
[00:03:32.520 --> 00:03:36.200]   Also with this Renee Richie of I'm war and there's boy
[00:03:36.200 --> 00:03:41.440]   There's big rumors on I'm war today. I thought badly. Oh you didn't come back with any time
[00:03:41.440 --> 00:03:45.800]   I spent all night trying to find you some rumors. Yeah, you got rumors
[00:03:45.800 --> 00:03:53.200]   Some of them a little disturbing to be honest and we want to welcome speaking of disturbing a new guest on
[00:03:53.200 --> 00:03:59.320]   The show Joe kissle who is a blogger who lived in Paris for five years son of a gun
[00:03:59.320 --> 00:04:01.560]   Jealous yeah
[00:04:01.560 --> 00:04:07.560]   Tallis he wrote he wrote the take control ebook on passwords take control of your passwords
[00:04:07.560 --> 00:04:12.400]   And you couldn't be more aptly timed since we all now have to redo our Evernote
[00:04:12.400 --> 00:04:19.160]   Password yes, I think Evernote might have overreacted just the tiniest bit
[00:04:19.160 --> 00:04:24.200]   But maybe not maybe this is the thing to do Evernote on February 28th noted a break-in
[00:04:24.200 --> 00:04:27.720]   To their servers which they were quick to say
[00:04:28.280 --> 00:04:35.960]   Did not extend to anybody's personal notebooks on Evernote and we I mean a lot of people use Evernote everybody uses Evernote
[00:04:35.960 --> 00:04:40.600]   I do on every device and that's one of the reasons I use this completely cross-platform
[00:04:40.600 --> 00:04:47.280]   And I like many probably store credit card numbers in their social security numbers my drivers license my passport
[00:04:47.280 --> 00:04:50.520]   Really if you got my Evernote file, I'd be screwed. I
[00:04:50.520 --> 00:04:53.440]   Do use encryption in Evernote?
[00:04:53.440 --> 00:04:55.640]   Nevertheless, it's a little scary
[00:04:55.640 --> 00:04:59.600]   So it's an it's an online cloud-based notebook that has clients for Mac Windows
[00:04:59.600 --> 00:05:04.720]   iPhones Android phones even things like Windows phone and Blackberry
[00:05:04.720 --> 00:05:08.240]   Evernote kind of
[00:05:08.240 --> 00:05:12.280]   Was very forthright about in their blog about saying yes
[00:05:12.280 --> 00:05:15.640]   We got a break-in but nobody's purse as far as we can tell and this is there
[00:05:15.640 --> 00:05:18.520]   I guess that's kind of one of the keys as far as we can tell
[00:05:18.520 --> 00:05:24.080]   No personal information was revealed except for your login your email and your
[00:05:25.200 --> 00:05:27.840]   Salted and hashed password
[00:05:27.840 --> 00:05:31.440]   Joe is there cause for concern
[00:05:31.440 --> 00:05:35.160]   Well, I think Evernote did exactly the right thing
[00:05:35.160 --> 00:05:39.160]   I mean obviously there was something they did wrong because the the break-in happened in the first place
[00:05:39.160 --> 00:05:41.160]   But I think they had exactly the right response
[00:05:41.160 --> 00:05:46.600]   The fact that they salted and hash the passwords means that whoever got this file
[00:05:46.600 --> 00:05:49.800]   It's it's encrypted and they might be able to decrypt it
[00:05:49.800 --> 00:05:55.120]   But it's probably gonna take them some time and so by issuing this system-wide password reset
[00:05:55.120 --> 00:06:00.920]   Evernote is banking on the fact that that it is going to take some time
[00:06:00.920 --> 00:06:03.720]   It might be you know hours or days or weeks
[00:06:03.720 --> 00:06:07.040]   But anyway if they force all their users to reset their passwords in the meantime
[00:06:07.040 --> 00:06:12.560]   That means that those salted and hashed you know those encrypted passwords won't do anybody any good
