
[00:00:00.000 --> 00:00:04.920]   It's time for Mac Break Weekly and you better believe we're gonna be talking about the new iPad
[00:00:04.920 --> 00:00:08.460]   What does it mean? What's a god in it? Let's talk about the software running on it, too
[00:00:08.460 --> 00:00:11.360]   It's all ahead Mac Break Weekly is next
[00:00:11.360 --> 00:00:18.400]   Netcasts you love from people you trust
[00:00:18.400 --> 00:00:24.200]   This is toys
[00:00:24.840 --> 00:00:31.020]   bandwidth for Mac Break Weekly is provided by cash fly at C A C A G F L Y
[00:00:31.020 --> 00:00:33.020]   .com
[00:00:33.020 --> 00:00:43.720]   This is Mac Break Weekly episode 289 recorded March 7th 2012 the new iPad
[00:00:43.720 --> 00:00:52.120]   Mac Break Weekly is brought to you by go to meet and get better connected to the people you depend on for success
[00:00:52.440 --> 00:00:58.320]   For your free 30-day trial visit go to meeting.com offer code Mac Break and
[00:00:58.320 --> 00:01:06.140]   Buy PDF pen for iPad from smile the mobile version of smiles award-winning PDF editor use it to sign a contract
[00:01:06.140 --> 00:01:10.040]   Make corrections fill out an application and much more get it for just
[00:01:10.040 --> 00:01:16.780]   999 on the iTunes app store now learn more at smile software.com slash Mac Break and
[00:01:17.120 --> 00:01:24.400]   Buy audible.com to download the free audio book of your choice visit audible.com slash Mac Break
[00:01:24.400 --> 00:01:27.640]   Welcome to Mac Break Weekly and
[00:01:27.640 --> 00:01:30.200]   We just completed an hour and a half
[00:01:30.200 --> 00:01:37.360]   Announcement for the iPad and if you're just tuning in no not the iPad one not the iPad to the iPad
[00:01:37.360 --> 00:01:43.680]   Ryan Block was at the announcement from GD GT calm and he's right now in the demo room Ryan can you hear me?
[00:01:44.480 --> 00:01:48.840]   Yeah, hey, you hear me? Yes. So are you looking wait a minute is this it?
[00:01:48.840 --> 00:01:53.960]   This is it right? There's a wire in the way, but if you can move that wire out of the way
[00:01:53.960 --> 00:02:05.920]   So a little bit better set the scene for us first of all you're the first you're seeing this written display in person. What do you think?
[00:02:05.920 --> 00:02:14.000]   It's pretty outstanding. I mean, you know if you've seen a written display, you know how big a difference
[00:02:15.000 --> 00:02:19.520]   or she's like regular kind of you know work it a
[00:02:19.520 --> 00:02:25.520]   Plan look at that you see that all right. Yeah, of course
[00:02:25.520 --> 00:02:33.520]   And yet it still looks fantastic, which is pretty amazing. Yeah, yeah, it's it's pretty amazing
[00:02:33.520 --> 00:02:40.960]   Does this photos on it? Yeah, I'm asking our friend. Yeah, oh look at that
[00:02:40.960 --> 00:02:42.960]   That's what it's here
[00:02:42.960 --> 00:02:52.800]   Yeah, it gets really sharp
[00:02:52.800 --> 00:03:00.080]   It's it's a little bit heavier than the previous in previous iPad that had to
[00:03:00.080 --> 00:03:06.960]   But it doesn't really look significantly thicker. It's like maybe a millimeter or something like that
