
[00:00:00.000 --> 00:00:08.000]   Bandwidth for Mac Break Weekly is provided by cashfly@cacagfly.com
[00:00:08.000 --> 00:00:18.000]   Hey everybody, this is Alex Lindsey and this is Mac Break Weekly episode 2.
[00:00:18.000 --> 00:00:26.000]   Hi everyone, this is Alex and we've got a great crew.
[00:00:26.000 --> 00:00:32.000]   This is our episode 2 and we're really excited. We've been really having a great time with the first episode.
[00:00:32.000 --> 00:00:36.000]   We went really really well and we're excited to keep this going. We hope everybody's enjoying it.
[00:00:36.000 --> 00:00:43.000]   We've got a great crew here today from New York. We have Scott Brooke. Hey Scott.
[00:00:43.000 --> 00:00:45.000]   Hey guys, I'm psyched to be here.
[00:00:45.000 --> 00:00:54.000]   Scott is at a large broadcasting network and you also probably hear him on this weekend media.
[00:00:54.000 --> 00:01:02.000]   Scott joins us frequently and sometimes if we're lucky, it gives us a little legal insight.
[00:01:02.000 --> 00:01:05.000]   We won't say why, right Scott?
[00:01:05.000 --> 00:01:13.000]   Yeah, it relates to my previous occupation which I like to hide as much as possible because I wasn't an attorney for several years.
[00:01:13.000 --> 00:01:19.000]   Yeah, so we try to keep that fact just among friends and not, well I guess that's out the window.
[00:01:19.000 --> 00:01:25.000]   Yeah, it's out the window. Also coming in from Seattle we've got Scott Born.
[00:01:25.000 --> 00:01:29.000]   So this is going to be hard. I'm going to have to keep track of the Scott's here. Hey Scott.
[00:01:29.000 --> 00:01:34.000]   Hi Alex, I am psyched to be here and just say Scott is one of the two of us to answer.
[00:01:34.000 --> 00:01:44.000]   Yeah, exactly. Now Scott, Scott Born is also one of the hosts for iLifeZone which is a great podcast.
[00:01:44.000 --> 00:01:52.000]   I get to show up every once in a while too. We've got another and also just as a background for those of you in the history of things.
[00:01:52.000 --> 00:02:02.000]   Scott was the founder of NetRadio which is in my opinion kind of the father of all of the stuff that we're doing now.
[00:02:02.000 --> 00:02:08.000]   In other words I'm old. No, that's not what I meant.
[00:02:08.000 --> 00:02:15.000]   Anyway it was really the forerunner of a lot of the stuff that we're doing now.
