
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:32.000]   This is MacBreak Weekly, Episode 111,
[00:00:32.000 --> 00:00:35.000]   for October 21, 2008.
[00:00:35.000 --> 00:00:37.000]   Firewire Farewell.
[00:00:37.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:52.000]   And by Drobo, and the new second-generation Drobo,
[00:00:52.000 --> 00:00:55.000]   the Intelligent and Automated Data Storage Device.
[00:00:55.000 --> 00:00:58.000]   To learn more and receive $25 off your own Drobo,
[00:00:58.000 --> 00:01:01.000]   visit Drobo.com/macbreak.
[00:01:01.000 --> 00:01:04.000]   And by listeners like you.
[00:01:04.000 --> 00:01:06.000]   Thanks so much for your contribution.
[00:01:06.000 --> 00:01:08.000]   We couldn't do to it without it.
[00:01:08.000 --> 00:01:11.000]   Ladies and gentlemen, it's time for MacBreak Weekly.
[00:01:11.000 --> 00:01:15.000]   Scott Borne is here from the, I don't know what you call
[00:01:15.000 --> 00:01:18.000]   the boring labs in gig haba, but that's what I call them.
[00:01:18.000 --> 00:01:20.000]   It's the Born Laboratory.
[00:01:20.000 --> 00:01:21.000]   The Born Laboratory.
[00:01:21.000 --> 00:01:23.000]   Right here in beautiful downtown,
[00:01:23.000 --> 00:01:24.000]   Gig Harbor, Washington.
[00:01:24.000 --> 00:01:27.000]   The
[00:01:27.000 --> 00:01:29.000]   best one-day vacation in America and what they really beat
[00:01:29.000 --> 00:01:31.000]   is after a day, you're sick of it.
[00:01:31.000 --> 00:01:32.000]   Not sick, just done.
[00:01:32.000 --> 00:01:33.000]   There's nothing more to see.
[00:01:33.000 --> 00:01:34.000]   There's not a lot to see.
[00:01:34.000 --> 00:01:35.000]   We got six restaurants.
[00:01:35.000 --> 00:01:36.000]   We got six restaurants.
[00:01:36.000 --> 00:01:38.000]   Well, then you could stay there three days.
[00:01:38.000 --> 00:01:41.000]   You have two meals a day and breakfast you're on your own.
[00:01:41.000 --> 00:01:42.000]   Yeah.
[00:01:42.000 --> 00:01:44.000]   Gig Hab, I just like saying gig haba,
[00:01:44.000 --> 00:01:45.000]   even though it's in Washington state,
[00:01:45.000 --> 00:01:46.000]   has nothing to do with Maine.
[00:01:46.000 --> 00:01:49.000]   It's just, I've gone over the entire city looking for anybody
[00:01:49.000 --> 00:01:50.000]   that talks like that so far.
[00:01:50.000 --> 00:01:51.000]   Not one.
[00:01:51.000 --> 00:01:52.000]   I know we're going to call it.
[00:01:52.000 --> 00:01:55.000]   We're going to call it the Born Supremacy in Gig Hab.
[00:01:55.000 --> 00:01:57.000]   Alex Lindsey is also here.
[00:01:57.000 --> 00:01:59.000]   Alex is from the Pixel Core.
[00:01:59.000 --> 00:02:00.000]   Hello, Alex.
[00:02:00.000 --> 00:02:01.000]   Hello.
[00:02:01.000 --> 00:02:03.000]   I'm in the room of silence rather than the con.
[00:02:03.000 --> 00:02:04.000]   I have a whole room.
[00:02:04.000 --> 00:02:06.000]   You do, in fact, we're not joking when you say not only does it
[00:02:06.000 --> 00:02:09.000]   a room of silence, it's a room of no color.
[00:02:09.000 --> 00:02:10.000]   And soft.
[00:02:10.000 --> 00:02:11.000]   It is very...
[00:02:11.000 --> 00:02:12.000]   It's 50% gray.
[00:02:12.000 --> 00:02:13.000]   It is.
[00:02:13.000 --> 00:02:14.000]   Well, it's actually 18% gray.
[00:02:14.000 --> 00:02:15.000]   Oh, it is 18% gray.
[00:02:15.000 --> 00:02:16.000]   Yeah.
[00:02:16.000 --> 00:02:17.000]   Yeah.
[00:02:17.000 --> 00:02:19.000]   I actually handed, it's a gray card that you used in film.
[00:02:19.000 --> 00:02:21.000]   When I handed the guy was going to paint,
[00:02:21.000 --> 00:02:24.000]   I just handed him a gray card and I said, I just wanted to be that color.
[00:02:24.000 --> 00:02:28.920]   I was talking about that with my friend Scott Wilkinson, who does our home theater stuff
[00:02:28.920 --> 00:02:29.920]   on the show.
[00:02:29.920 --> 00:02:34.000]   And he also has an 18% gray room to review HD TVs.
[00:02:34.000 --> 00:02:35.000]   It's the best.
[00:02:35.000 --> 00:02:36.000]   I mean, it's neutral.
[00:02:36.000 --> 00:02:37.000]   So you're not going to...
[00:02:37.000 --> 00:02:38.000]   You're not going to make it.
[00:02:38.000 --> 00:02:39.000]   The windows are all sealed.
[00:02:39.000 --> 00:02:43.000]   Tough getting the white to approve that color choice.
[00:02:43.000 --> 00:02:45.000]   It's a little...
[00:02:45.000 --> 00:02:46.000]   It's a little grim.
[00:02:46.000 --> 00:02:47.000]   A little dark.
[00:02:47.000 --> 00:02:48.000]   I mean, it's a little dark.
[00:02:48.000 --> 00:02:49.000]   I mean, it's a little dark.
[00:02:49.000 --> 00:02:51.000]   I mean, I like to give it a mix of colors.
[00:02:51.000 --> 00:02:52.000]   I'm seeing the new paint color.
[00:02:52.000 --> 00:02:53.000]   It makes colors more vibrant.
[00:02:53.000 --> 00:02:55.000]   See, because it's the background.
[00:02:55.000 --> 00:02:56.000]   It goes into the background.
[00:02:56.000 --> 00:02:57.000]   I'm talking about the new...
[00:02:57.000 --> 00:02:59.000]   Vibrant colors are going to talk about the new Mac books in just a bit.
[00:02:59.000 --> 00:03:03.800]   But before we do, and I'm still trying to get Andy Inako on, and I'm not sure if he's
[00:03:03.800 --> 00:03:04.800]   having trouble.
[00:03:04.800 --> 00:03:07.200]   He sometimes has trouble with his Skype.
[00:03:07.200 --> 00:03:08.200]   You know how that is.
[00:03:08.200 --> 00:03:13.800]   I can virtually hear the howls of pain all the way from Boston.
[00:03:13.800 --> 00:03:16.000]   But as soon as we can get him on, we will.
[00:03:16.000 --> 00:03:18.000]   Also, I've asked Arnold Kim to join us.
[00:03:18.000 --> 00:03:19.000]   Let me see if he's going to be available.
[00:03:19.000 --> 00:03:20.000]   Yeah, he's going to be available.
[00:03:20.000 --> 00:03:24.000]   Let me get him on to talk about the Mac rumors in just a bit.
[00:03:24.000 --> 00:03:26.000]   What he wants to do, what he did on...
[00:03:26.000 --> 00:03:28.000]   He, of course, runs MacRumors.com.
[00:03:28.000 --> 00:03:31.000]   He graded the rumors on the laptop.
[00:03:31.000 --> 00:03:32.000]   And I thought that was very interesting.
[00:03:32.000 --> 00:03:33.000]   Who got it right?
[00:03:33.000 --> 00:03:34.000]   Who got it wrong?
[00:03:34.000 --> 00:03:36.000]   What we can do is from future rumors.
[00:03:36.000 --> 00:03:39.800]   But before we do that, there's a lot of concern and interest in the internet community about
[00:03:39.800 --> 00:03:41.000]   our friend, Liana LaHua.
[00:03:41.000 --> 00:03:43.000]   So we just wanted to give you an update on that.
[00:03:43.000 --> 00:03:45.000]   Liana has been on three different Mac break weeklies.
[00:03:45.000 --> 00:03:51.000]   She was the host of Girls Gone Geek at Girls Gone Geek TV and FitTorn, which is all about
[00:03:51.000 --> 00:03:57.000]   fitness, the Apple iPhone show, and also of the iLifeZone.
[00:03:57.000 --> 00:03:59.000]   And Scott, you know her very well.
[00:03:59.000 --> 00:04:01.000]   I know she was a close colleague.
[00:04:01.000 --> 00:04:03.000]   She is not well right now.
[00:04:03.000 --> 00:04:10.000]   No, actually, all of us go back with Liana to the time that you and Alex and I did the
[00:04:10.000 --> 00:04:12.000]   Gear Media Tech Conference.
[00:04:12.000 --> 00:04:13.000]   That's right.
[00:04:13.000 --> 00:04:16.000]   And that's where we all got to know her best.
[00:04:16.000 --> 00:04:21.000]   And she stood out amongst many of the students there as a great prospect.
[00:04:21.000 --> 00:04:24.000]   And I took her under my wing and we became great friends.
[00:04:24.000 --> 00:04:27.000]   And you and Alex have both done a lot to help her as well.
[00:04:27.000 --> 00:04:32.000]   And she's propelled to, you know, pretty close to what you call internet stardom.
[00:04:32.000 --> 00:04:33.000]   She's a good person.
[00:04:33.000 --> 00:04:34.000]   She's very talented.
[00:04:34.000 --> 00:04:37.000]   Most people don't really know anything about her.
[00:04:37.000 --> 00:04:39.000]   They think they do because she's such a social butterfly.
[00:04:39.000 --> 00:04:41.000]   She's really quite a private person.
[00:04:41.000 --> 00:04:43.000]   But her background is significant.
[00:04:43.000 --> 00:04:49.000]   She's worked in very significant positions at Disney and at House of Blues.
[00:04:49.000 --> 00:04:53.000]   She spent a long time working for the Wayans Brothers, the famous comedy team that you
[00:04:53.000 --> 00:04:56.000]   see on HBO and Home to Living Color.
[00:04:56.000 --> 00:04:59.000]   And she designed Damon Wayans Online Presents.
[00:04:59.000 --> 00:05:01.000]   She's got some significant chops.
[00:05:01.000 --> 00:05:05.000]   People think because she's this little four foot eleven hundred pound girl with, you know,
[00:05:05.000 --> 00:05:06.000]   she's nothing.
[00:05:06.000 --> 00:05:07.000]   And she runs marathon.
[00:05:07.000 --> 00:05:10.000]   She's in her 40s and she's going to kill me for divulging all this by.
[00:05:10.000 --> 00:05:11.000]   I had no idea.
[00:05:11.000 --> 00:05:12.000]   She looks like she's 28.
[00:05:12.000 --> 00:05:16.000]   Yeah, she's in her 40s and she's in excellent condition.
[00:05:16.000 --> 00:05:17.000]   She's a triathlete.
[00:05:17.000 --> 00:05:19.000]   She's a triathlete.
[00:05:19.000 --> 00:05:26.000]   Unfortunately, Anna is in critical condition in an Orange County hospital in the ICU with
[00:05:26.000 --> 00:05:27.000]   bacterial pneumonia.
[00:05:27.000 --> 00:05:32.000]   Now she's probably going to kick my butt when she gets out because she just really doesn't
[00:05:32.000 --> 00:05:34.000]   like people in her business at all.
[00:05:34.000 --> 00:05:36.000]   But I just think the word has got out.
[00:05:36.000 --> 00:05:37.000]   People know about it now.
[00:05:37.000 --> 00:05:39.000]   It's just getting too crazy to not talk about it.
[00:05:39.000 --> 00:05:48.000]   There was kind of a misguided attempt to do a marathon fundraiser for the studio that
[00:05:48.000 --> 00:05:50.000]   she, does she run the Patango studio?
[00:05:50.000 --> 00:05:55.000]   Yeah, I resigned in July and my ex-partners put her in charge of the studio after I left.
[00:05:55.000 --> 00:05:59.000]   And I think a lot of attention went to that, but that really wasn't about Leona.
[00:05:59.000 --> 00:06:03.000]   And so, you know, I'm partly to blame for this.
[00:06:03.000 --> 00:06:04.000]   I've blogged about it.
[00:06:04.000 --> 00:06:08.000]   And as I understand, Adam has not only stopped the marathon and returned all the money that
[00:06:08.000 --> 00:06:10.000]   we all want to focus on Leona.
[00:06:10.000 --> 00:06:12.000]   She's going to be taking care of what she gets out of the hospital.
[00:06:12.000 --> 00:06:14.000]   There's nothing to worry about that.
[00:06:14.000 --> 00:06:18.000]   But our real focus right now is on her health and to send her our good wishes.
[00:06:18.000 --> 00:06:25.000]   Furthermore, to raise awareness of this disease because I had no idea, but we talked a little
[00:06:25.000 --> 00:06:28.000]   bit about on Twitter, this has become a serious killer.
[00:06:28.000 --> 00:06:32.000]   Yeah, bacterial pneumonia is responsible for a lot of deaths in this country.
[00:06:32.000 --> 00:06:37.000]   It's the sixth leading cause of death in the United States and I had no idea.
[00:06:37.000 --> 00:06:41.000]   It's like these bacterial resistant staff infections.
[00:06:41.000 --> 00:06:46.000]   Now we've got these bacterial resistant, or I'm sorry, antibiotic resistant bacterial bacteria
[00:06:46.000 --> 00:06:49.000]   out there that is just deadly.
[00:06:49.000 --> 00:06:53.000]   And you can get it just by a random cough or a sneeze, right?
[00:06:53.000 --> 00:06:54.000]   I mean, we don't know.
[00:06:54.000 --> 00:06:58.000]   You just walk by a person that sneezed that has that bacteria or you, you know, it's often
[00:06:58.000 --> 00:07:02.000]   passed, for instance, if you go into a room that's got air conditioning, if the air conditioner
[00:07:02.000 --> 00:07:04.000]   has been properly maintained.
[00:07:04.000 --> 00:07:09.400]   I mean, basically it's easy to get and just most people have the immune system to fight
[00:07:09.400 --> 00:07:13.000]   it off for whatever reason, and the honor wasn't able to.
[00:07:13.000 --> 00:07:18.000]   You'd think she would because, I mean, of all people, she had, she absolutely has.
[00:07:18.000 --> 00:07:20.000]   Yeah, but you know, here's the thing.
[00:07:20.000 --> 00:07:24.000]   And if she was here, she'd laugh and be mad at me at the same time, but this is one potato
[00:07:24.000 --> 00:07:26.000]   chip eating girl.
[00:07:26.000 --> 00:07:27.000]   Okay.
[00:07:27.000 --> 00:07:33.000]   I mean, to have a food kills, to have a body like that and to be able to eat a whole bag
[00:07:33.000 --> 00:07:36.000]   of potato chips at a time, something is very wrong with that.
[00:07:36.000 --> 00:07:39.880]   I don't know that her nutrition was as good as it should have been subdyes, but I, here's
[00:07:39.880 --> 00:07:44.200]   the thing, you know, I've talked with a lot of doctors about this since this all happened
[00:07:44.200 --> 00:07:48.280]   and they all told me, look, this could happen to anybody in your audience tomorrow.
