
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, Episode 113, for November 4, 2008.
[00:00:34.000 --> 00:00:37.000]   The sum of all knowledge.
[00:00:37.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks so much for your contribution.
[00:00:52.000 --> 00:00:55.000]   We couldn't do to it without it.
[00:00:56.000 --> 00:00:59.000]   It's time for MacBreak Weekly, the show where we cover Macintosh,
[00:00:59.000 --> 00:01:03.000]   Apple, Pods of all kinds, anything beginning with an "I".
[00:01:03.000 --> 00:01:09.000]   I'm Leo LaPorte and joining me right now are Andy Enochko from the Chicago Sun Times
[00:01:09.000 --> 00:01:12.000]   and the CelestialWasteofBandwidth.com.
[00:01:12.000 --> 00:01:14.000]   Hello, Leo.
[00:01:14.000 --> 00:01:16.000]   And whoever else I am, I'm pairing in my ears today.
[00:01:16.000 --> 00:01:19.000]   I don't know whether it's something that you're streaming right now
[00:01:19.000 --> 00:01:22.000]   or whether an open tab has decided to basically...
[00:01:22.000 --> 00:01:23.000]   It miraculously disappear?
[00:01:23.000 --> 00:01:24.000]   Yeah, it did.
[00:01:24.000 --> 00:01:25.000]   And it was me.
[00:01:25.000 --> 00:01:26.000]   I was so confused.
[00:01:26.000 --> 00:01:29.000]   I was closing all my windows trying to figure out what that was going on.
[00:01:29.000 --> 00:01:30.000]   Exactly.
[00:01:30.000 --> 00:01:31.000]   It was so apologize.
[00:01:31.000 --> 00:01:34.000]   There's a great Firefox plugin that they could charge $100 for and I would pay it.
[00:01:34.000 --> 00:01:38.000]   It's the one that makes sure that YouTube videos do not automatically start playing.
[00:01:38.000 --> 00:01:39.000]   Yeah.
[00:01:39.000 --> 00:01:43.000]   When saved tabs or whenever it gets restored, it's like, oh, good God.
[00:01:43.000 --> 00:01:45.000]   Every time I restart, it's...
[00:01:45.000 --> 00:01:47.000]   There actually is one.
[00:01:47.000 --> 00:01:52.000]   And every time I complain because you hear a lot of stray sound on the show
[00:01:52.000 --> 00:01:56.000]   because I'm always opening Firefox and tabs are opening and, you know,
[00:01:56.000 --> 00:01:59.000]   and it is called, I think, No Flash.
[00:01:59.000 --> 00:02:00.000]   Yeah.
[00:02:00.000 --> 00:02:02.000]   But it stops the flash from playing automatically.
[00:02:02.000 --> 00:02:05.000]   You have to actively click it and I really should always have it turned on.
[00:02:05.000 --> 00:02:06.000]   I apologize for not.
[00:02:06.000 --> 00:02:09.000]   Because I always have tabs open, playing crap.
[00:02:09.000 --> 00:02:11.000]   That's okay, Leo.
[00:02:11.000 --> 00:02:14.000]   That was almost symbolic of all the chatter going around.
[00:02:14.000 --> 00:02:16.000]   It's all this democracy flies back and forth.
[00:02:16.000 --> 00:02:17.000]   Oh, it is.
[00:02:17.000 --> 00:02:18.000]   It existed our election day.
[00:02:18.000 --> 00:02:19.000]   Oh, isn't it?
[00:02:19.000 --> 00:02:21.000]   Those are the voices of America you're hearing.
[00:02:21.000 --> 00:02:22.000]   And silence them.
[00:02:22.000 --> 00:02:23.000]   No, no, no, no, no, no, no, no, no, no.
[00:02:23.000 --> 00:02:24.000]   Any other day.
[00:02:24.000 --> 00:02:26.000]   But today, we can silence them pretty easily, but not today.
[00:02:26.000 --> 00:02:28.000]   Today there are laws against that.
[00:02:28.000 --> 00:02:31.000]   Oh, it's very, very exciting.
[00:02:31.000 --> 00:02:37.000]   And I know that some people are looking forward to the result with grim determination,
[00:02:37.000 --> 00:02:42.000]   others with joy, but it is an amazing thing that we do every four years.
[00:02:42.000 --> 00:02:46.000]   And I know there are also those who are cynical who think it doesn't matter.
[00:02:46.000 --> 00:02:48.000]   I assure you it does.
[00:02:48.000 --> 00:02:50.000]   And if you haven't voted, get out there and vote.
[00:02:50.000 --> 00:02:52.000]   All three of us have voted.
[00:02:52.000 --> 00:02:54.000]   Well, it's it can also be very entertaining.
[00:02:54.000 --> 00:02:56.000]   Voting is fun.
[00:02:56.000 --> 00:02:57.000]   It is.
[00:02:57.000 --> 00:02:58.000]   It is in San Francisco.
[00:02:58.000 --> 00:02:59.000]   Did you see some of that?
[00:02:59.000 --> 00:03:00.000]   You're not in San Francisco.
[00:03:00.000 --> 00:03:01.000]   You didn't see some of the ballots.
[00:03:01.000 --> 00:03:02.000]   No.
[00:03:02.000 --> 00:03:06.000]   Are you voting to legalize prostitution in San Francisco?
[00:03:06.000 --> 00:03:08.000]   Yeah, decriminalize it, non-legalize it.
[00:03:08.000 --> 00:03:10.000]   It's not going to be legal.
[00:03:10.000 --> 00:03:11.000]   What does it mean?
[00:03:11.000 --> 00:03:13.000]   It just means that they won't enforce any of the laws.
[00:03:13.000 --> 00:03:15.000]   So it's kind of like we're not saying it's okay.
[00:03:15.000 --> 00:03:16.000]   Wow.
[00:03:16.000 --> 00:03:18.000]   But we're not going to do anything about it.
[00:03:18.000 --> 00:03:22.000]   So it's not like it's not exactly like you're going to have chicken ranches all over the
[00:03:22.000 --> 00:03:26.000]   place, but but we're not going to really do anything about it.
[00:03:26.000 --> 00:03:28.000]   I'm watching that one with interest.
[00:03:28.000 --> 00:03:32.000]   And then but the so you have you have that.
[00:03:32.000 --> 00:03:37.000]   And then there's actually an opportunity to name a sewage plant after a recent president.
[00:03:37.000 --> 00:03:40.000]   That's on the ballot on the ballot.
[00:03:40.000 --> 00:03:42.000]   It was like I thought that was a joke.
[00:03:42.000 --> 00:03:45.000]   And then I opened up my ballot guide and that was like, oh my gosh,
[00:03:45.000 --> 00:03:46.000]   this is on the ballot.
[00:03:46.000 --> 00:03:47.000]   Frankly, I love San Francisco.
[00:03:47.000 --> 00:03:53.000]   I lived there for years, but it has earned its reputation.
[00:03:53.000 --> 00:03:54.000]   We had one.
[00:03:54.000 --> 00:03:58.000]   If we had some ballot for marijuana, that would like really do it.
[00:03:58.000 --> 00:03:59.000]   That would do it.
[00:03:59.000 --> 00:04:00.000]   Yeah.
[00:04:00.000 --> 00:04:01.000]   Finish the thing.
[00:04:01.000 --> 00:04:02.000]   I don't know how they left that out.
[00:04:02.000 --> 00:04:06.000]   That's Alex Lindsey, by the way, of the pixel core pixel core.tv who is leaving San Francisco
[00:04:06.000 --> 00:04:07.000]   in a week.
[00:04:07.000 --> 00:04:08.000]   But I got to vote.
[00:04:08.000 --> 00:04:11.000]   I got to vote on the on the ballots here.
[00:04:11.000 --> 00:04:13.000]   You know, and now I know I'm leaving it the wrong time, dude.
[00:04:13.000 --> 00:04:15.000]   If they will never mind.
[00:04:15.000 --> 00:04:16.000]   All right.
[00:04:16.000 --> 00:04:17.000]   No, I'm just kidding.
[00:04:17.000 --> 00:04:19.000]   We're both happily married men.
[00:04:19.000 --> 00:04:23.000]   We're family men, which is everybody knows is the worst kind of all.
[00:04:23.000 --> 00:04:24.240]   So let's talk Mac.
[00:04:24.240 --> 00:04:25.720]   I was a little perturbed last night.
[00:04:25.720 --> 00:04:26.720]   I went not perturbed.
[00:04:26.720 --> 00:04:28.760]   Actually, I got my I got my hopes up.
[00:04:28.760 --> 00:04:30.960]   I went to the Apple store and it was closed.
[00:04:30.960 --> 00:04:32.920]   It was closed all night.
[00:04:32.920 --> 00:04:38.520]   I thought maybe the new IMAX there were rumors, but then it opens and all they were doing
[00:04:38.520 --> 00:04:39.520]   is Christmas decorating.
[00:04:39.520 --> 00:04:42.880]   But now it's very festive.
[00:04:42.880 --> 00:04:46.600]   It's kind of silly that they have to.
[00:04:46.600 --> 00:04:47.600]   Are there other ways?
[00:04:47.600 --> 00:04:50.880]   Is Amazon closed when it's going to put up holiday decorations?
[00:04:50.880 --> 00:04:51.880]   I don't think so.
[00:04:51.880 --> 00:04:56.040]   There's a thing called staging, you know, where you put it somewhere else and then you move
[00:04:56.040 --> 00:04:57.040]   it over.
[00:04:57.040 --> 00:04:58.760]   You know, you don't have to code it live.
[00:04:58.760 --> 00:04:59.760]   That's all I'm saying.
[00:04:59.760 --> 00:05:04.240]   I understand they also put a drop of vanilla oil on every light bulb.
[00:05:04.240 --> 00:05:05.240]   It does.
[00:05:05.240 --> 00:05:06.640]   It smells good in the store.
[00:05:06.640 --> 00:05:11.320]   I wonder if it was more like just infrastructure, as opposed to that festive one red ribbon
[00:05:11.320 --> 00:05:15.960]   on the back, because about a week ago, I was checking out something on the store myself
[00:05:15.960 --> 00:05:19.360]   and saw that it was down for a second.
[00:05:19.360 --> 00:05:23.960]   But I've sort of conditioned myself to not expect that to be a sign of anything until
[00:05:23.960 --> 00:05:25.280]   I know that something's coming out.
[00:05:25.280 --> 00:05:26.280]   But it was down a long time.
[00:05:26.280 --> 00:05:27.920]   I checked multiple times.
[00:05:27.920 --> 00:05:29.680]   It was down like 12 hours.
[00:05:29.680 --> 00:05:30.680]   So maybe it was infrastructure.
[00:05:30.680 --> 00:05:33.760]   I don't think it takes 12 hours to put a red ribbon on this side.
[00:05:33.760 --> 00:05:34.760]   I don't.
[00:05:34.760 --> 00:05:35.760]   All right.
[00:05:35.760 --> 00:05:37.960]   I mean, so as far as we can tell, they haven't added anything.
[00:05:37.960 --> 00:05:39.480]   We should start clicking things randomly.
[00:05:39.480 --> 00:05:42.080]   Maybe the front page is not like a secret advent carat counter.
[00:05:42.080 --> 00:05:43.080]   Yeah.
[00:05:43.080 --> 00:05:46.840]   Where if you click on the terms of service, a door opens and you see Steve Wozniak roll
[00:05:46.840 --> 00:05:49.760]   out on his side way, go back in again.
[00:05:49.760 --> 00:05:50.840]   He is Santa.
[00:05:50.840 --> 00:05:53.160]   He actually is Santa.
[00:05:53.160 --> 00:05:58.160]   So actually did not Apple announced that they were not that don't get your panties in
[00:05:58.160 --> 00:06:02.760]   an uproar or there's nothing nude coming out till next year.
[00:06:02.760 --> 00:06:03.760]   That's what they tell us.
[00:06:03.760 --> 00:06:04.760]   Yep.
[00:06:04.760 --> 00:06:05.760]   What's the story?
[00:06:05.760 --> 00:06:06.760]   Who said that?
[00:06:06.760 --> 00:06:07.760]   It was an announcement.
[00:06:07.760 --> 00:06:12.120]   Well, there was a lot of, and I think that I think Apple probably did this because obviously
[00:06:12.120 --> 00:06:13.880]   it'll affect their holiday sales.
[00:06:13.880 --> 00:06:17.280]   Everyone keeps on waiting for some ex big thing.
[00:06:17.280 --> 00:06:20.280]   So I think that the, you know, there was a lot of rumors that there was going to be
[00:06:20.280 --> 00:06:21.280]   new hardware coming out.
[00:06:21.280 --> 00:06:25.320]   And I think they kind of wanted to put that to rest so that they could get people back
[00:06:25.320 --> 00:06:29.480]   to what they should be doing, of course, is buying Apple products.
[00:06:29.480 --> 00:06:31.640]   Stop looking forward.
[00:06:31.640 --> 00:06:32.640]   Yes.
[00:06:32.640 --> 00:06:34.560]   It's as good as it gets.
[00:06:34.560 --> 00:06:37.720]   If you're going to buy something for Christmas, buy it now.
[00:06:37.720 --> 00:06:40.320]   It's not a cafe press store either.
[00:06:40.320 --> 00:06:43.160]   It's not like they're going to be continually coming up with the new stuff each and every
[00:06:43.160 --> 00:06:44.160]   week is the wind strikes.
[00:06:44.160 --> 00:06:47.760]   If they don't, everything has to be planned out so far in advance that they're not going
[00:06:47.760 --> 00:06:50.920]   to, they're not going to give themselves a six week buying window.
[00:06:50.920 --> 00:06:51.920]   Right.
[00:06:51.920 --> 00:06:52.920]   Right.
[00:06:52.920 --> 00:06:53.920]   I mean, it is, yeah, you're right.
[00:06:53.920 --> 00:06:55.680]   It's a big deal to get something news.
[00:06:55.680 --> 00:06:58.040]   Our holiday lineup is set.
[00:06:58.040 --> 00:07:03.040]   Apple spokesman Bill Evans told Macworld magazine.
[00:07:03.040 --> 00:07:05.560]   So there you don't expect those new iMacs and so forth.
[00:07:05.560 --> 00:07:10.920]   You're just going to have to wait until, well, next year.
[00:07:10.920 --> 00:07:15.920]   Unless they think December 26th means the holidays are over and now we can announce it.
[00:07:15.920 --> 00:07:18.800]   And do they mean the end of the fiscal year or the end of the calendar?
[00:07:18.800 --> 00:07:20.760]   They just ended their fiscal year, didn't they?
[00:07:20.760 --> 00:07:23.120]   The Georgian calendar or the Roman calendar?
[00:07:23.120 --> 00:07:25.120]   The Julian calendar.
[00:07:25.120 --> 00:07:26.120]   All right.
[00:07:26.120 --> 00:07:28.200]   Well, so good.
[00:07:28.200 --> 00:07:33.720]   So we've got, we now know at the Mac and an iPod and iPhone product lines are for the rest
[00:07:33.720 --> 00:07:38.600]   of the year, no more uncertainty here.
[00:07:38.600 --> 00:07:41.320]   Just about how we're going to pay for it.
