
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:00:03.340 --> 00:00:05.340]   Netcast you love.
[00:00:05.340 --> 00:00:06.840]   From people you trust.
[00:00:06.840 --> 00:00:13.480]   This is Detroit.
[00:00:13.480 --> 00:00:17.420]   Bandwidth for MacBreak Weekly is provided by cashfly
[00:00:17.420 --> 00:00:22.820]   at CACHEFLY.com.
[00:00:22.820 --> 00:00:26.160]   This is MacBreak Weekly, episode 105.
[00:00:26.160 --> 00:00:29.760]   For September 10, 2008, don't link the glide
[00:00:29.860 --> 00:00:33.100]   to the glass.
[00:00:33.100 --> 00:00:36.440]   MacBreak Weekly is brought to you by Audible.com.
[00:00:36.440 --> 00:00:43.040]   For your free audio book, visit Audible.com/MacBreak.
[00:00:43.040 --> 00:00:44.880]   And by Visa.
[00:00:44.880 --> 00:00:46.880]   We all have things we like to think about.
[00:00:46.880 --> 00:00:49.480]   Online fraud shouldn't be one of them.
[00:00:49.480 --> 00:00:51.420]   Because with every purchase, Visa prevents,
[00:00:51.420 --> 00:00:54.820]   detects, and resolves online fraud.
[00:00:54.820 --> 00:00:58.560]   Safe, secure, Visa.
[00:00:58.660 --> 00:00:59.900]   And by Drobo.
[00:00:59.900 --> 00:01:01.800]   And the new second generation Drobo,
[00:01:01.800 --> 00:01:04.800]   the intelligent and automated data storage device.
[00:01:04.800 --> 00:01:07.600]   To learn more and receive $25 off your own Drobo,
[00:01:07.600 --> 00:01:12.140]   visit Drobo.com/MacBreak.
[00:01:12.140 --> 00:01:14.140]   It's time for MacBreak Weekly, a chance
[00:01:14.140 --> 00:01:15.880]   to look at the latest from Apple.
[00:01:15.880 --> 00:01:18.780]   And a little bit delayed today because yesterday,
[00:01:18.780 --> 00:01:21.680]   Apple made its big announcement.
[00:01:21.680 --> 00:01:24.420]   "Let's rock," said Apple.
[00:01:24.420 --> 00:01:26.820]   And none of us were there.
[00:01:26.920 --> 00:01:29.820]   Oh, so we've decided to have somebody who wasn't there
[00:01:29.820 --> 00:01:30.820]   because he was overseas.
[00:01:30.820 --> 00:01:32.320]   He had a good excuse.
[00:01:32.320 --> 00:01:35.560]   Robert Llewellyn is here, Creighton from Red Dwarf.
[00:01:35.560 --> 00:01:37.020]   And he's a big Mac fan.
[00:01:37.020 --> 00:01:38.660]   And you probably saw his interview.
[00:01:38.660 --> 00:01:41.500]   We did a couple of weeks ago on Twit Live.
[00:01:41.500 --> 00:01:43.100]   Robert, Bob, I guess I can call you.
[00:01:43.100 --> 00:01:44.500]   It's great to have you.
[00:01:44.500 --> 00:01:45.600]   It's very good to be here.
[00:01:45.600 --> 00:01:47.200]   It's really an extraordinary experience.
[00:01:47.200 --> 00:01:49.140]   I'm stuck in London in the middle of the mountain.
[00:01:49.140 --> 00:01:50.840]   I'm talking to you, because--
[00:01:50.840 --> 00:01:52.240]   As long as we're talking to Brits,
[00:01:52.240 --> 00:01:55.480]   I should get Don McAllister on the line, too.
