
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:35.000]   This is MacBreak Weekly, Episode 135 for April 7, 2009.
[00:00:35.000 --> 00:00:37.000]   Don't take your love to town.
[00:00:37.000 --> 00:00:41.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:52.000]   And by Go To Meeting, the new and better way to meet with
[00:00:52.000 --> 00:00:55.000]   clients and colleagues. For your free 30-day trial,
[00:00:55.000 --> 00:00:59.000]   visit go-to-meeting.com/macbreak.
[00:00:59.000 --> 00:01:02.000]   And by listeners like you.
[00:01:02.000 --> 00:01:04.000]   Thanks so much for your contribution.
[00:01:04.000 --> 00:01:06.000]   We couldn't do it without it.
[00:01:06.000 --> 00:01:11.000]   It's time for MacBreak Weekly, the show where we
[00:01:11.000 --> 00:01:14.000]   cover all things Macintosh, including...
[00:01:14.000 --> 00:01:16.000]   The new X-Serve.
[00:01:16.000 --> 00:01:18.000]   I guess.
[00:01:18.000 --> 00:01:21.000]   On the line with us from London, England, where he's
[00:01:21.000 --> 00:01:23.000]   at some sort of conference in the middle of
[00:01:23.000 --> 00:01:26.000]   nowhere, but there are lots of neat cranes, Mr.
[00:01:26.000 --> 00:01:27.000]   Alex Lindsey.
[00:01:27.000 --> 00:01:29.000]   Hello.
[00:01:29.000 --> 00:01:30.000]   And I'm not talking cranes in the mist.
[00:01:30.000 --> 00:01:31.000]   Well, I mean, I am.
[00:01:31.000 --> 00:01:32.000]   I don't know.
[00:01:32.000 --> 00:01:33.000]   What's the mist like out there?
[00:01:33.000 --> 00:01:34.000]   Oh, there's no mist right now.
[00:01:34.000 --> 00:01:35.000]   There is in the morning.
[00:01:35.000 --> 00:01:40.000]   Alex, you should take a picture of cranes in the mist.
[00:01:40.000 --> 00:01:42.000]   I should.
[00:01:42.000 --> 00:01:43.000]   Okay, tomorrow morning.
[00:01:43.000 --> 00:01:44.000]   I have some that...
[00:01:44.000 --> 00:01:46.000]   Tomorrow morning, I'll take some cranes in the mist.
[00:01:46.000 --> 00:01:47.000]   And then I'll...
[00:01:47.000 --> 00:01:50.000]   We can substitute that for my cranes in the fire mist shot.
[00:01:50.000 --> 00:01:51.000]   Yeah, exactly.
[00:01:51.000 --> 00:01:53.000]   Well, maybe if you light a flame under, you could have a
[00:01:53.000 --> 00:01:54.000]   fire mist even.
[00:01:54.000 --> 00:01:55.000]   It could be the whole...
[00:01:55.000 --> 00:01:57.000]   Well, there's a real industrial beauty to them.
[00:01:57.000 --> 00:01:59.000]   I guess they just left them here and it is...
[00:01:59.000 --> 00:02:00.000]   They're just...
[00:02:00.000 --> 00:02:03.000]   I took a lot of photos of them as reference.
[00:02:03.000 --> 00:02:05.000]   These are old dock loading cranes or...
[00:02:05.000 --> 00:02:09.000]   Yeah, they're dock loading cranes and they are just
[00:02:09.000 --> 00:02:10.000]   massive.
[00:02:10.000 --> 00:02:11.000]   Cool.
[00:02:11.000 --> 00:02:14.000]   And they're just all the way down the river.
[00:02:14.000 --> 00:02:17.000]   By the way, Scott Borne is also here.
[00:02:17.000 --> 00:02:20.000]   Good to have you back, Scott, after your massive DNS attack.
[00:02:20.000 --> 00:02:22.000]   It was actually a...
[00:02:22.000 --> 00:02:24.000]   Distributed denial of service...
[00:02:24.000 --> 00:02:30.000]   A DDoS attack on my host, GoGrid, that took down 50% of their
[00:02:30.000 --> 00:02:31.000]   clients.
[00:02:31.000 --> 00:02:34.000]   So they find out why they were attacking GoGrid?
[00:02:34.000 --> 00:02:38.000]   I don't know, but my haters like to think it's because I
[00:02:38.000 --> 00:02:41.000]   happen to host there, but I think that's more credit than I
[00:02:41.000 --> 00:02:42.000]   deserve.
[00:02:42.000 --> 00:02:45.000]   But it was nasty and I've been dealing with it all week,
[00:02:45.000 --> 00:02:46.000]   frankly.
[00:02:46.000 --> 00:02:47.000]   Wow.
[00:02:47.000 --> 00:02:48.000]   Between that...
[00:02:48.000 --> 00:02:49.000]   Did it hurt your system?
[00:02:49.000 --> 00:02:51.000]   I mean, it took us down completely.
[00:02:51.000 --> 00:02:53.000]   So did you have to rebuild or...?
[00:02:53.000 --> 00:02:57.000]   We had a backup at 2am the night before, so we only lost
[00:02:57.000 --> 00:02:59.000]   a couple of posts and some comments.
[00:02:59.000 --> 00:03:01.000]   But other than that, we're fine.
[00:03:01.000 --> 00:03:03.000]   Because we do back up here.
[00:03:03.000 --> 00:03:06.000]   It was nasty, though.
[00:03:06.000 --> 00:03:08.000]   I mean, just reconfiguring took a long time.
[00:03:08.000 --> 00:03:11.000]   And then, of course, I'm in the middle of a 30-day-long
[00:03:11.000 --> 00:03:14.000]   IRS audit while that's going on.
[00:03:14.000 --> 00:03:15.000]   And...
[00:03:15.000 --> 00:03:16.000]   It's just...
[00:03:16.000 --> 00:03:19.000]   I'm thinking of just completely advocating my responsibilities
[00:03:19.000 --> 00:03:21.000]   next week and flying to Hawaii.
[00:03:21.000 --> 00:03:22.000]   Can I join you?
[00:03:22.000 --> 00:03:24.000]   [laughter]
[00:03:24.000 --> 00:03:26.000]   I would like to have to kid right now.
[00:03:26.000 --> 00:03:30.000]   Drobo sends me the only Drobo Pro in the world, other than
[00:03:30.000 --> 00:03:34.000]   the ones they have at the trade show, on April 1st,
[00:03:34.000 --> 00:03:35.000]   overnight.
[00:03:35.000 --> 00:03:37.000]   It's supposed to be here April 2nd.
[00:03:37.000 --> 00:03:38.000]   Oh, no.
[00:03:38.000 --> 00:03:39.000]   It didn't get there?
[00:03:39.000 --> 00:03:41.000]   They sent it to Alaska by mistake because clearly,
[00:03:41.000 --> 00:03:43.000]   Alaska and Gig Harbor are right next to each other.
[00:03:43.000 --> 00:03:45.000]   Sort of like Russia and Alaska.
[00:03:45.000 --> 00:03:46.000]   Anyway...
[00:03:46.000 --> 00:03:51.000]   It just showed up this morning, so that takes the pressure off.
[00:03:51.000 --> 00:03:54.000]   So I have the only Drobo Pro in the world right here.
[00:03:54.000 --> 00:03:56.000]   Hey, we're going to get to...
[00:03:56.000 --> 00:03:58.000]   This is the hardware episode.
[00:03:58.000 --> 00:04:01.000]   Several big hardware announcements from Apple and others.
[00:04:01.000 --> 00:04:03.000]   In just a second, before we do, though, I want to mention,
[00:04:03.000 --> 00:04:04.000]   go to meeting.
[00:04:04.000 --> 00:04:07.000]   Go to meeting for my friends at Citrix.
[00:04:07.000 --> 00:04:10.000]   When you meet with clients and colleagues, there's the new way
[00:04:10.000 --> 00:04:11.000]   and there's the old way.
[00:04:11.000 --> 00:04:12.000]   You know the old way.
[00:04:12.000 --> 00:04:13.000]   Yeah.
[00:04:13.000 --> 00:04:14.000]   Over the phone.
[00:04:14.000 --> 00:04:16.000]   Boring, unproductive.
[00:04:16.000 --> 00:04:17.000]   Not very effective.
[00:04:17.000 --> 00:04:20.000]   There's always some guy answering his email in the background there.
[00:04:20.000 --> 00:04:22.000]   Or you meet in person.
[00:04:22.000 --> 00:04:24.000]   Well, and that's time consuming.
[00:04:24.000 --> 00:04:26.000]   You've got to travel to the...
[00:04:26.000 --> 00:04:29.000]   Whether it's driving across town or flying across the country for the
[00:04:29.000 --> 00:04:30.000]   meeting.
[00:04:30.000 --> 00:04:31.000]   It's just tough.
[00:04:31.000 --> 00:04:33.000]   Old way over.
[00:04:33.000 --> 00:04:35.000]   New way to meet online with go to meeting.
[00:04:35.000 --> 00:04:36.000]   Go to meeting.
[00:04:36.000 --> 00:04:37.000]   It's just like meeting in person.
[00:04:37.000 --> 00:04:39.000]   Costless takes less time.
[00:04:39.000 --> 00:04:41.000]   You're more productive.
[00:04:41.000 --> 00:04:42.000]   It's more engaging.
[00:04:42.000 --> 00:04:45.000]   And frankly, somebody like me, I can't get out of here.
[00:04:45.000 --> 00:04:47.000]   I've got to do it this way.
[00:04:47.000 --> 00:04:49.000]   I've become a huge fan of go to meeting.
[00:04:49.000 --> 00:04:51.000]   You start your meetings with just a click of the mouse.
[00:04:51.000 --> 00:04:54.000]   Everyone sees your computer desktop on their computer screen.
[00:04:54.000 --> 00:04:56.000]   And by the way, good news now.
[00:04:56.000 --> 00:05:00.000]   You can host a meeting on Windows, as always, but also now on a Mac.
[00:05:00.000 --> 00:05:04.000]   You've always been able to join a meeting on a Mac, but now you can host as well.
[00:05:04.000 --> 00:05:08.000]   It's incredible whether you're using your keynote or you're going to web pages
[00:05:08.000 --> 00:05:11.000]   or you're collaborating, you're typing together or training.
[00:05:11.000 --> 00:05:15.000]   Sales presentation, product demos, it's incredible.
[00:05:15.000 --> 00:05:17.000]   I want you to try it free for the next 30 days.
[00:05:17.000 --> 00:05:18.000]   Here's what you do.
[00:05:18.000 --> 00:05:21.000]   You go to meeting.com/macbreak.
[00:05:21.000 --> 00:05:27.000]   Go to meeting.com/macbreak.
[00:05:27.000 --> 00:05:29.000]   And you're going to love this thing.
[00:05:29.000 --> 00:05:31.000]   Try it free for 30 days of unlimited online meetings.
[00:05:31.000 --> 00:05:33.000]   Then you let me know what you think.
[00:05:33.000 --> 00:05:34.000]   Go to meeting.
[00:05:34.000 --> 00:05:38.000]   It's the best, the new and better way to meet with clients and colleagues online.
[00:05:38.000 --> 00:05:40.000]   Go to meeting.com/macbreak.
[00:05:40.000 --> 00:05:44.000]   We thank them so much for their support of Macbreak Weekly.
[00:05:44.000 --> 00:05:48.000]   Well, this is going to be kind of a hardware episode because we've got that new Drobo Pro.
[00:05:48.000 --> 00:05:50.000]   We've got the new X-Sir, Apple's website.
[00:05:50.000 --> 00:05:53.000]   The store went down this morning, very early in the morning.
[00:05:53.000 --> 00:05:54.000]   And I was online.
[00:05:54.000 --> 00:05:55.000]   I don't know why I was up so early.
[00:05:55.000 --> 00:05:57.000]   And Don McAllister said, "The store's down.
[00:05:57.000 --> 00:05:58.000]   The store's down."
[00:05:58.000 --> 00:06:01.000]   And, you know, that could be exciting.
[00:06:01.000 --> 00:06:03.000]   I was just going, "Shh, they did it before our show.
[00:06:03.000 --> 00:06:04.000]   They did it before our show."
[00:06:04.000 --> 00:06:06.000]   And as it turned out, not as exciting.
[00:06:06.000 --> 00:06:10.000]   It was X-Serves and a new--
[00:06:10.000 --> 00:06:11.000]   What do you call it?
[00:06:11.000 --> 00:06:12.000]   Time capsule.
[00:06:12.000 --> 00:06:13.000]   Time capsule.
[00:06:13.000 --> 00:06:14.000]   Time capsule.
[00:06:14.000 --> 00:06:17.000]   And you're excited, Alex Lindsey, about the new one.
[00:06:17.000 --> 00:06:19.000]   We're getting really close to getting ready to--
[00:06:19.000 --> 00:06:21.000]   These are the Halem X-Serves.
[00:06:21.000 --> 00:06:26.000]   Yeah, well, I mean, you know, we just need a rack-mountable solution to rendering, you know?
[00:06:26.000 --> 00:06:29.000]   And we've been waiting because, you know, we knew that they were coming, eventually.
[00:06:29.000 --> 00:06:31.000]   Are these much faster than the old ones?
[00:06:31.000 --> 00:06:33.000]   I think it would be a lot faster.
[00:06:33.000 --> 00:06:38.000]   For what we do, we see the thing is that our stuff hits these processors and hits the memory
[00:06:38.000 --> 00:06:40.000]   architecture as hard as you can hit it.
[00:06:40.000 --> 00:06:41.000]   Yeah.
[00:06:41.000 --> 00:06:43.000]   And so everything is slowed down by--
[00:06:43.000 --> 00:06:45.000]   If any of that stuff goes out of whack.
[00:06:45.000 --> 00:06:50.000]   And so, you know, this is big news for us because that's exactly what we need.
[00:06:50.000 --> 00:06:56.000]   And now I have to persuade my CFO and to let me buy them.
[00:06:56.000 --> 00:06:59.000]   Yeah, your CFO is a wife, by the way.
[00:06:59.000 --> 00:07:01.000]   My CFO is a wife.
[00:07:01.000 --> 00:07:04.000]   So now I have to just persuade her to free up.
[00:07:04.000 --> 00:07:06.000]   And I, of course, I configured one.
[00:07:06.000 --> 00:07:09.000]   And, you know, our version of it is about $8,000.
[00:07:09.000 --> 00:07:14.000]   So I'm going to ask this, and I'm not going to want to hear the answer, but I have to anyway.
[00:07:14.000 --> 00:07:16.000]   You know that Mac Pro I just bought?
[00:07:16.000 --> 00:07:18.000]   Yeah, I didn't want to tell you that.
[00:07:18.000 --> 00:07:19.000]   I should have bought that.
[00:07:19.000 --> 00:07:21.000]   That is because this is really what I needed.
[00:07:21.000 --> 00:07:23.000]   That's what this is built for.
[00:07:23.000 --> 00:07:27.000]   It's built for what you're using that big Mac Pro for.
[00:07:27.000 --> 00:07:30.000]   You don't want to see a gromancry, do you?
[00:07:30.000 --> 00:07:31.000]   [LAUGHTER]
[00:07:31.000 --> 00:07:33.000]   That would have been a cry.
