
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, Episode 100 for July 30, 2008.
[00:00:34.000 --> 00:00:36.000]   The Century Morning.
[00:00:36.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:54.000]   And by Visa.
[00:00:54.000 --> 00:00:56.000]   We all have things we like to think about.
[00:00:56.000 --> 00:00:58.000]   Online fraud shouldn't be one of them.
[00:00:58.000 --> 00:01:01.000]   Because with every purchase Visa prevents, detects, and
[00:01:01.000 --> 00:01:03.000]   resolves online fraud.
[00:01:03.000 --> 00:01:06.000]   Safe, secure, reasonably.
[00:01:06.000 --> 00:01:16.000]   It's time for MacBreak Weekly, our vaunted 100 episode.
[00:01:16.000 --> 00:01:19.000]   100th episode.
[00:01:19.000 --> 00:01:22.000]   And I'm so glad you're here for Episode 100.
[00:01:22.000 --> 00:01:25.000]   We had all these plans, things we were going to give away,
[00:01:25.000 --> 00:01:28.000]   games we were going to play, fun and games and things and
[00:01:28.000 --> 00:01:29.000]   nothing.
[00:01:29.000 --> 00:01:30.000]   We got nothing.
[00:01:30.000 --> 00:01:32.000]   It says it's just too damn hot.
[00:01:32.000 --> 00:01:34.000]   It's too damn hot.
[00:01:34.000 --> 00:01:38.000]   Except we do have a fabulous panel for you today, starting
[00:01:38.000 --> 00:01:41.000]   with that man, that muffled voice you hear in the background.
[00:01:41.000 --> 00:01:44.000]   Mr. Andy Ennaco from the Chicago Sun Times.
[00:01:44.000 --> 00:01:46.000]   Hello Andy.
[00:01:46.000 --> 00:01:48.000]   Am I really muffled?
[00:01:48.000 --> 00:01:49.000]   No, you know.
[00:01:49.000 --> 00:01:53.000]   It might be because, like, I'm actually back in my office
[00:01:53.000 --> 00:01:55.000]   for the first time in, like, eight weeks.
[00:01:55.000 --> 00:02:00.000]   And to celebrate, I've got the mic stand in Edenism mode in
[00:02:00.000 --> 00:02:03.000]   which I get to, I'm like sort of reclining on the sofa as though
[00:02:03.000 --> 00:02:04.000]   someone is feeding me grapes.
[00:02:04.000 --> 00:02:07.000]   I've got the boom mic set up so that I don't really have to move
[00:02:07.000 --> 00:02:08.000]   or do anything.
[00:02:08.000 --> 00:02:11.000]   You know, Merlyn can help us here because he's an expert on the
[00:02:11.000 --> 00:02:12.000]   neck talk, kind of.
[00:02:12.000 --> 00:02:15.000]   Merlyn Mann from You Look Nice Today.
[00:02:15.000 --> 00:02:18.000]   You think it's because Andy's chin is on his chest, or
[00:02:18.000 --> 00:02:19.000]   something like that?
[00:02:19.000 --> 00:02:20.000]   No.
[00:02:20.000 --> 00:02:22.000]   No, I'm not.
[00:02:22.000 --> 00:02:26.000]   I'm now adjusting the mic stand so that my chin is up so that
[00:02:26.000 --> 00:02:29.000]   my chin is up so that the next grape is coming.
[00:02:29.000 --> 00:02:30.000]   You know what?
[00:02:30.000 --> 00:02:31.000]   You know what really is?
[00:02:31.000 --> 00:02:35.000]   It's that I don't hear birds, cafeterias sounds.
[00:02:35.000 --> 00:02:37.000]   It sounds like you're in a studio.
[00:02:37.000 --> 00:02:38.000]   Explosions.
[00:02:38.000 --> 00:02:39.000]   Matlock.
[00:02:39.000 --> 00:02:41.000]   There's no matlock in the background.
[00:02:41.000 --> 00:02:43.000]   Merlyn Mann is here.
[00:02:43.000 --> 00:02:45.000]   He's having a delicious meal of something.
[00:02:45.000 --> 00:02:46.000]   What is that?
[00:02:46.000 --> 00:02:48.000]   You're chowing down on Merlyn.
[00:02:48.000 --> 00:02:50.000]   She's gone.
[00:02:50.000 --> 00:02:54.000]   We were not able to compete with the cherries Jubilee that he
[00:02:54.000 --> 00:02:56.000]   was having for lunch.
[00:02:56.000 --> 00:02:57.000]   Let me add him back in.
[00:02:57.000 --> 00:02:59.000]   I don't know what happened there.
[00:02:59.000 --> 00:03:02.000]   He was so proud of what he was eating and then we lost him.
[00:03:02.000 --> 00:03:05.000]   From this weekend photography, the wonderful Twip
[00:03:05.000 --> 00:03:07.000]   TwipPhoto.com.
[00:03:07.000 --> 00:03:08.000]   Mr. Scott Borne.
[00:03:08.000 --> 00:03:09.000]   How was your...
[00:03:09.000 --> 00:03:11.000]   I hear you got the D700.
[00:03:11.000 --> 00:03:12.000]   I did.
[00:03:12.000 --> 00:03:14.000]   I got it a couple of days ago.
[00:03:14.000 --> 00:03:17.000]   After that heavy D3, it probably seems like this little
[00:03:17.000 --> 00:03:18.000]   toy camera.
[00:03:18.000 --> 00:03:21.000]   I'm calling it my walk around camera.
[00:03:21.000 --> 00:03:23.000]   It's my point and shoot.
[00:03:23.000 --> 00:03:24.000]   Shut up.
[00:03:24.000 --> 00:03:28.000]   By the way, when Andy was describing his Mike and
[00:03:28.000 --> 00:03:32.000]   Heatonism mode, I kind of threw up in my mouth a little bit.
[00:03:32.000 --> 00:03:35.000]   You threw up in jealousy, no doubt.
[00:03:35.000 --> 00:03:37.000]   He was revolted in...
[00:03:37.000 --> 00:03:38.000]   Stuard?
[00:03:38.000 --> 00:03:39.000]   More mini stickers.
[00:03:39.000 --> 00:03:40.000]   Too sweet.
[00:03:40.000 --> 00:03:42.000]   Now we got Merlyn Mann.
[00:03:42.000 --> 00:03:45.000]   What were you eating and what was it that pulled you away from us?
[00:03:45.000 --> 00:03:48.000]   You can't hear him like that, right?
[00:03:48.000 --> 00:03:50.000]   You're a little dim, fortunately, so we can't.
[00:03:50.000 --> 00:03:52.000]   But if you could turn yourself...
[00:03:52.000 --> 00:03:53.000]   Not you personally.
[00:03:53.000 --> 00:03:57.000]   We've got everybody listening right now hating us because you got me
[00:03:57.000 --> 00:04:00.000]   who's lying around in the middle of the afternoon.
[00:04:00.000 --> 00:04:03.000]   Scott, who's got this wonderful new camera, Merlyn, who's enjoying
[00:04:03.000 --> 00:04:04.000]   something tasty.
[00:04:04.000 --> 00:04:05.000]   What about those horrible...
[00:04:05.000 --> 00:04:07.000]   Those people in this horrible situation...
[00:04:07.000 --> 00:04:08.000]   Easy, easy text.
[00:04:08.000 --> 00:04:11.000]   I've been making up stuff for the Internet all morning and I haven't eaten.
[00:04:11.000 --> 00:04:12.000]   I was...
[00:04:12.000 --> 00:04:13.000]   I said a lot of...
[00:04:13.000 --> 00:04:17.000]   I said a lot of very slightly funny things on Twitter today, so...
[00:04:17.000 --> 00:04:19.000]   You know, I deserve a bowl of cereal, I think.
[00:04:19.000 --> 00:04:22.000]   What's the people on Twitter decide whether you said some funny things on Twitter?
[00:04:22.000 --> 00:04:24.000]   What flavor cereal are you eating?
[00:04:24.000 --> 00:04:25.000]   Are you consuming?
[00:04:25.000 --> 00:04:26.000]   Hell.
[00:04:26.000 --> 00:04:27.000]   It's fail flavored.
[00:04:27.000 --> 00:04:30.000]   Now I'm having stater, and I'm having Captain Crunch Prime.
[00:04:30.000 --> 00:04:31.000]   Captain Crunch...
[00:04:31.000 --> 00:04:32.000]   I got it!
[00:04:32.000 --> 00:04:33.000]   I got it!
[00:04:33.000 --> 00:04:34.000]   I picked Captain Crunch Prime.
[00:04:34.000 --> 00:04:35.000]   Yeah, that's the unflavored.
[00:04:35.000 --> 00:04:37.000]   There's no Choco Cherryberry in there.
[00:04:37.000 --> 00:04:39.000]   I'm going to just also say that if you guys...
[00:04:39.000 --> 00:04:41.000]   Quick, I'm sorry, I'm trying to get my level going here.
[00:04:41.000 --> 00:04:46.000]   Just if you ever have a minute though, do stop by the Captain Crunch entry on the Wikipedia.
[00:04:46.000 --> 00:04:52.000]   I always enjoy the discussion pages on any in-universe fictional character page, but this one's great.
[00:04:52.000 --> 00:04:53.000]   It's great.
[00:04:53.000 --> 00:05:02.000]   And the role of John Lefoot, his nemesis, a little bit about his personal background, what the captain's full name is, some problems internally with the story,
[00:05:02.000 --> 00:05:03.000]   with how old he was in the...
[00:05:03.000 --> 00:05:05.000]   [laughter]
[00:05:05.000 --> 00:05:06.000]   Well, um...
[00:05:06.000 --> 00:05:11.000]   So apparently he was old enough to have a beard and serve.
[00:05:11.000 --> 00:05:12.000]   [laughter]
[00:05:12.000 --> 00:05:14.000]   What is his full name?
[00:05:14.000 --> 00:05:16.000]   Oh crap, I don't know.
[00:05:16.000 --> 00:05:17.000]   That's a terrible name.
[00:05:17.000 --> 00:05:20.000]   Even this is our hundredth episode, folks.
[00:05:20.000 --> 00:05:22.000]   We have absolutely nothing about Macintosh.
[00:05:22.000 --> 00:05:23.000]   It's pointed out that it's...
[00:05:23.000 --> 00:05:24.000]   We do, we do.
[00:05:24.000 --> 00:05:26.000]   It tears up the roof of your mouth, and...
[00:05:26.000 --> 00:05:27.000]   That's the...
[00:05:27.000 --> 00:05:28.000]   ...which I think is true.
[00:05:28.000 --> 00:05:29.000]   There's some discussion about whether that belongs in the article.
[00:05:29.000 --> 00:05:32.000]   There's discussion of the fact that his eyebrows are actually on his hat.
[00:05:32.000 --> 00:05:36.000]   You know what, this is gonna be really controversial.
[00:05:36.000 --> 00:05:40.000]   This is gonna be really controversial, but my favorite Captain Crunch was Avery Brooks.
[00:05:40.000 --> 00:05:46.000]   I think he brought something to that role that Kirk didn't really do, that Picard didn't really do.
[00:05:46.000 --> 00:05:49.000]   You know, it was more in-time-capped-in-a-roundy.
[00:05:49.000 --> 00:05:51.000]   Wrong captain.
[00:05:51.000 --> 00:05:52.000]   Sorry.
[00:05:52.000 --> 00:05:55.000]   So we thought it'd be kind of fun to do a...
[00:05:55.000 --> 00:06:01.000]   What's my line game here, because we have a very special guest in studio with us.
[00:06:01.000 --> 00:06:05.000]   He is a well-known software author.
[00:06:05.000 --> 00:06:12.000]   He is perhaps one of the most championed fellas in the Macintosh world today.
[00:06:12.000 --> 00:06:15.000]   And Andy Enocho, I'm gonna give you the first question.
[00:06:15.000 --> 00:06:17.000]   Okay.
[00:06:17.000 --> 00:06:19.000]   Hang on, let's have a get my blindfold on.
[00:06:19.000 --> 00:06:21.000]   Oh, you please.
[00:06:21.000 --> 00:06:22.000]   You would not recognize him.
[00:06:22.000 --> 00:06:25.000]   I don't think he has made a lot of appearances in the public.
[00:06:25.000 --> 00:06:30.000]   He is known for being reclusive, private, out of the public.
[00:06:30.000 --> 00:06:32.000]   You don't do this much, do you, Leo?
[00:06:32.000 --> 00:06:36.000]   I think you're giving a lot of clues away in the informational part.
[00:06:36.000 --> 00:06:38.000]   You know what else?
[00:06:38.000 --> 00:06:40.000]   He just hung up.
[00:06:40.000 --> 00:06:45.000]   Well, we could still ask questions.
[00:06:45.000 --> 00:06:53.000]   What's gonna take home a case of sourdressing from our sponsors as our guest, you know, guest celebrity, but maybe now, you know?
[00:06:53.000 --> 00:06:56.000]   You would think he would have appreciated that.
[00:06:56.000 --> 00:07:01.000]   That man who's sacred is that he's the champion road trip, road trip trip shooter.
[00:07:01.000 --> 00:07:04.000]   And maybe we'll just have him on.
[00:07:04.000 --> 00:07:07.000]   And maybe you just leave your botany 500 suit in the dressing room.
[00:07:07.000 --> 00:07:08.000]   There you go.
[00:07:08.000 --> 00:07:11.000]   From the Johnny Carson collection, available specifically at Sears retail.
[00:07:11.000 --> 00:07:13.000]   All right, he's back now.
[00:07:13.000 --> 00:07:18.000]   Ladies and ladies, would you please ask your first question, put your blindfold on Andy Enocho.
[00:07:18.000 --> 00:07:22.000]   Ask a question of our guest today, our ministry guest.
[00:07:22.000 --> 00:07:24.000]   Okay, mystery guest.
[00:07:24.000 --> 00:07:33.000]   This product that you are known for, would it be helpful in say the agriculture or agribusiness sphere?
[00:07:33.000 --> 00:07:39.000]   Not yet, but given enough time, it probably would be able to control of it.
[00:07:39.000 --> 00:07:40.000]   Yes.
[00:07:40.000 --> 00:07:41.000]   Okay.
[00:07:41.000 --> 00:07:45.000]   Merlin, man, a question for our mystery guest.
[00:07:45.000 --> 00:07:51.000]   Do you have any physical deformities that could be characterized as being flipper like?
[00:07:51.000 --> 00:07:56.000]   Oh, I think you're getting warm.
[00:07:56.000 --> 00:08:01.000]   Well, I think there's some light webbing between two of my fingers, but most people wouldn't notice that Leo.
[00:08:01.000 --> 00:08:02.000]   Leo, is it Don Rickles?
[00:08:02.000 --> 00:08:04.000]   No, I'm sorry.
[00:08:04.000 --> 00:08:06.000]   $10 to our guest.
[00:08:06.000 --> 00:08:10.000]   And we go now to Scott Peggy Carlisle born.
[00:08:10.000 --> 00:08:14.000]   I was just going to say I have been channeling.
[00:08:14.000 --> 00:08:19.000]   I'm working with Vantra here in the studio.
[00:08:19.000 --> 00:08:21.000]   Vantra is a well-known side gate.
