
[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   >> Netcast you love.
[00:00:05.440 --> 00:00:07.440]   >> From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.840]   >> This is Detroit.
[00:00:12.840 --> 00:00:14.280]   [ Music ]
[00:00:14.280 --> 00:00:18.080]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:18.080 --> 00:00:21.880]   at CACAGFLY.com.
[00:00:21.880 --> 00:00:29.120]   [ Music ]
[00:00:29.120 --> 00:00:34.680]   >> This is Mac Break Weekly, episode 156 for September 1, 2009.
[00:00:34.680 --> 00:00:36.480]   Snow job.
[00:00:36.480 --> 00:00:39.440]   [ Music ]
[00:00:39.440 --> 00:00:42.720]   >> Mac Break Weekly is brought to you by Audible.com.
[00:00:42.720 --> 00:00:48.560]   For your free audio book, visit Audible.com/MacBreak.
[00:00:48.560 --> 00:00:53.960]   [ Music ]
[00:00:53.960 --> 00:00:58.640]   It's time for Mac Break Weekly, the show that answers the question.
[00:00:58.640 --> 00:01:00.160]   What is the question?
[00:01:00.160 --> 00:01:01.600]   [ Laughter ]
[00:01:01.600 --> 00:01:05.160]   The question is why are we bothering wasting time
[00:01:05.160 --> 00:01:07.480]   with such trivial matters when people are suffering
[00:01:07.480 --> 00:01:08.520]   in this world today?
[00:01:08.520 --> 00:01:09.280]   Well, I won't have it.
[00:01:09.280 --> 00:01:09.880]   I won't have it.
[00:01:09.880 --> 00:01:11.360]   That's the question and answers.
[00:01:11.360 --> 00:01:12.480]   There he goes, ladies and gentlemen.
[00:01:12.480 --> 00:01:14.200]   Andy and Ico.
[00:01:14.200 --> 00:01:16.520]   With the shortest version of Mac Break Weekly ever,
[00:01:16.520 --> 00:01:18.360]   good to talk to you, Andy, from the Celestia Waste
[00:01:18.360 --> 00:01:24.080]   of Bandwidth, Imperial Headquarters, aboard Death Star 2,
[00:01:24.080 --> 00:01:27.280]   somewhere in the galaxy of Tatooine.
[00:01:27.280 --> 00:01:30.560]   >> No, no, I'm here from -- I have a mandate from God.
[00:01:30.560 --> 00:01:31.880]   This is divine ordinance at work.
[00:01:31.880 --> 00:01:34.840]   So if we're going to be discussing snow leopard,
[00:01:34.840 --> 00:01:36.440]   are you going to disagree with me?
[00:01:36.440 --> 00:01:36.960]   >> I am.
[00:01:36.960 --> 00:01:39.880]   I'm prepared to disagree with Andy and Ico.
[00:01:39.880 --> 00:01:41.560]   But we'll see if we disagree.
[00:01:41.560 --> 00:01:44.600]   Also here, first timer, Anubi.
[00:01:44.600 --> 00:01:49.200]   Everybody be nice to Mr. Scott Kurtz of PvP online,
[00:01:49.200 --> 00:01:51.520]   the great web comic artist.
[00:01:51.520 --> 00:01:52.360]   >> And Mac.
[00:01:52.360 --> 00:01:55.320]   >> And I presume you use a Mac.
[00:01:55.320 --> 00:01:56.320]   I should ask you.
[00:01:56.320 --> 00:01:59.120]   >> I had a 10% hack of fair.
[00:01:59.120 --> 00:02:02.240]   >> I should have asked ahead of time.
[00:02:02.240 --> 00:02:03.280]   >> It's got a few diligence.
[00:02:03.280 --> 00:02:04.360]   >> Yes.
[00:02:04.360 --> 00:02:05.320]   Oh, I prepared.
[00:02:05.320 --> 00:02:07.680]   I really prepared for this show, let me tell you.
[00:02:07.680 --> 00:02:10.280]   We asked John Syracuse from Ars Technica to join us.
[00:02:10.280 --> 00:02:14.040]   He does -- anytime there's a new OS, he does a very --
[00:02:14.040 --> 00:02:17.560]   I think a very good job of dissecting it on Ars Technica.
[00:02:17.560 --> 00:02:20.560]   At press time, we haven't heard back from Mr. Syracuse.
[00:02:20.560 --> 00:02:24.560]   But it's possible he may join us last minute.
[00:02:24.560 --> 00:02:28.000]   And also here in studio with me, Mr. Alex Lindsey.
[00:02:28.000 --> 00:02:29.000]   >> Hello.
[00:02:29.000 --> 00:02:30.000]   >> The Pixel Core.
[00:02:30.000 --> 00:02:31.000]   >> Good to be back, I --
[00:02:31.000 --> 00:02:36.200]   >> So now, use guys, Andy and Alex, who were under NDA last week,
[00:02:36.200 --> 00:02:38.400]   and finally speak.
[00:02:38.400 --> 00:02:40.600]   You've been using Snow Leopard, how long?
[00:02:40.600 --> 00:02:45.520]   >> Well, we've had it for a couple of weeks.
[00:02:45.520 --> 00:02:46.520]   The release version.
[00:02:46.520 --> 00:02:47.520]   >> The release version.
[00:02:47.520 --> 00:02:49.000]   >> Yeah, what was what we assumed was the release version.
[00:02:49.000 --> 00:02:51.280]   >> And as a developer, you weren't able to talk.
[00:02:51.280 --> 00:02:52.280]   >> Right.
[00:02:52.280 --> 00:02:55.600]   >> Long of you had the -- Snow -- because you had to have it for your review,
[00:02:55.600 --> 00:02:57.560]   by the way, excellent review in the Chicago sometimes.
[00:02:57.560 --> 00:02:58.880]   You had to have it for that, right?
[00:02:58.880 --> 00:02:59.880]   >> Thank you much.
[00:02:59.880 --> 00:03:00.880]   Yep, I've had it.
[00:03:00.880 --> 00:03:06.560]   I got it about two weeks before the release, and I had a nicely silk screen to DVD and
[00:03:06.560 --> 00:03:07.560]   everything.
[00:03:07.560 --> 00:03:12.440]   So I didn't trust it enough to put it on the iMac and the really, really, really super
[00:03:12.440 --> 00:03:13.440]   important MacBook.
[00:03:13.440 --> 00:03:17.520]   But I had a brand new MacBook, and I had it on an old MacBook of mine.
[00:03:17.520 --> 00:03:21.320]   So yeah, that was two weeks of what world am I going to live in today?
[00:03:21.320 --> 00:03:23.080]   Do world much everything makes sense?
[00:03:23.080 --> 00:03:26.480]   Or the world and -- oh, wait, that button does something more easily.
[00:03:26.480 --> 00:03:27.480]   >> Wait.
[00:03:27.480 --> 00:03:30.600]   Now, you guys were very positive and have been very positive about Snow Leopard, and
[00:03:30.600 --> 00:03:32.040]   so I was very excited.
[00:03:32.040 --> 00:03:36.120]   And of course, you know, I see an operating system in development for two years, and,
[00:03:36.120 --> 00:03:39.320]   you know, long-time beta, I mean, like a year's worth of beta testing.
[00:03:39.320 --> 00:03:41.680]   I'm expecting some pretty big things from Snow Leopard.
[00:03:41.680 --> 00:03:47.240]   I read all the reviews from David Pogue, says it's, you know, big, big deal, and from
[00:03:47.240 --> 00:03:49.000]   Walt Mossberg and everybody.
[00:03:49.000 --> 00:03:54.160]   And I installed it, and I had to do a double take, because as far as I could tell, nothing
[00:03:54.160 --> 00:03:55.160]   had changed.
[00:03:55.160 --> 00:03:56.160]   >> Well, I --
[00:03:56.160 --> 00:04:00.160]   >> Except that a bunch of crap didn't work anymore.
[00:04:00.160 --> 00:04:02.960]   So I have to say, I was a little perturbed at first.
[00:04:02.960 --> 00:04:09.440]   Now I know, and I've got a lot of hate mail for this saying this -- I call it Snow Job.
[00:04:09.440 --> 00:04:10.880]   To me, this is a marketing ploy.
[00:04:10.880 --> 00:04:14.320]   This is an attempt to beat Microsoft to the punch.
