
[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cacafly.com.
[00:00:21.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 169 for December 1, 2009.
[00:00:34.000 --> 00:00:37.000]   This is what happens, Larry.
[00:00:37.000 --> 00:00:39.000]   Mac Break Weekly is brought to you by
[00:00:39.000 --> 00:00:45.000]   the new voice-activated sync featuring hands-free calling, music search, and turn-by-turn navigation.
[00:00:45.000 --> 00:00:49.000]   Available exclusively on Ford, Lincoln, and Mercury vehicles.
[00:00:49.000 --> 00:00:56.000]   For more information and to enter to win a free Nano or Zoom, visit SyncMyRidePodcast.com.
[00:00:56.000 --> 00:01:03.000]   And by Audible.com, a leading provider of audio books with more than 60,000 downloadable titles
[00:01:03.000 --> 00:01:08.000]   across all types of literature, including fiction, nonfiction, and periodicals.
[00:01:08.000 --> 00:01:13.000]   For your free book, visit Audible.com/MacBreak.
[00:01:13.000 --> 00:01:18.000]   And by GoToMeeting, the affordable way to meet with clients and colleagues.
[00:01:18.000 --> 00:01:23.000]   For your free 30-day trial, visit GoToMeeting.com/MacBreak.
[00:01:23.000 --> 00:01:26.000]   [ Music ]
[00:01:26.000 --> 00:01:32.000]   It's time for Mac Break Weekly to show the covers all over the Macintosh Apple iPod, iPhone, and Zoom.
[00:01:32.000 --> 00:01:34.000]   No, no Zoom. News.
[00:01:34.000 --> 00:01:35.000]   No Zoom.
[00:01:35.000 --> 00:01:37.000]   Too Zoom. Too Zoom. Too Zoom.
[00:01:37.000 --> 00:01:44.000]   Alex Lindsay is here from the PixelCore.com, and PixelCore.TV, if you would prefer to see his podcasts.
[00:01:44.000 --> 00:01:46.000]   We're going to have new podcasts this month.
[00:01:46.000 --> 00:01:48.000]   Oh, you always have new podcasts.
[00:01:48.000 --> 00:01:49.000]   We're going to have lots of...
[00:01:49.000 --> 00:01:53.000]   We have to ask you how you do the NAB coverage and the Mac Break coverage,
[00:01:53.000 --> 00:01:56.000]   because we want to kind of do that at CES this year.
[00:01:56.000 --> 00:01:58.000]   I talked to Dana about that a little bit yesterday, and we're going to talk about it.
[00:01:58.000 --> 00:02:02.000]   You know, a lot of it is we really build a streamlined kind of production flow.
[00:02:02.000 --> 00:02:03.000]   That's what we do.
[00:02:03.000 --> 00:02:06.000]   Because you're doing so many of them that you can't...
[00:02:06.000 --> 00:02:09.000]   There's a lot of things you can't do if you're trying to do that many, because we'll shoot 20...
[00:02:09.000 --> 00:02:11.000]   I don't want to do that many. I'd like to do five a day.
[00:02:11.000 --> 00:02:12.000]   Oh, yeah, we should do 25 in a day.
[00:02:12.000 --> 00:02:13.000]   Yeah.
[00:02:13.000 --> 00:02:16.000]   No, we do five a day, and we're doing pretty much wall-to-wall coverage.
[00:02:16.000 --> 00:02:20.000]   It's a Wednesday night party scene in Showstoppers, Thursday night party scene,
[00:02:20.000 --> 00:02:23.000]   and PEPCOM Friday all day, Saturday all day, Sunday all day.
[00:02:23.000 --> 00:02:24.000]   We should do four-day.
[00:02:24.000 --> 00:02:25.000]   It's only five a day.
[00:02:25.000 --> 00:02:27.000]   Well, I think we might contract with you here, because it's like...
[00:02:27.000 --> 00:02:29.000]   That's like five a day is like...
[00:02:29.000 --> 00:02:31.000]   You can do that in your sleep, couldn't you?
[00:02:31.000 --> 00:02:32.000]   Exactly.
[00:02:32.000 --> 00:02:34.000]   Also, here the great...
[00:02:34.000 --> 00:02:37.000]   And they're not co-of the celestial waste of bandwidth, Andy.
[00:02:37.000 --> 00:02:38.000]   Hi.
[00:02:38.000 --> 00:02:40.000]   I'm getting a high definition.
[00:02:40.000 --> 00:02:41.000]   Yeah, good.
[00:02:41.000 --> 00:02:42.000]   Your definition is good.
[00:02:42.000 --> 00:02:43.000]   I looked at mine.
[00:02:43.000 --> 00:02:44.000]   But your audio cut up.
[00:02:44.000 --> 00:02:45.000]   I'm not sure.
[00:02:45.000 --> 00:02:46.000]   It could be the fact that...
[00:02:46.000 --> 00:02:47.000]   Hang on.
[00:02:47.000 --> 00:02:49.000]   Yes, it turns out that I'm using Skype.
[00:02:49.000 --> 00:02:50.000]   That's our problem.
[00:02:50.000 --> 00:02:51.000]   Oh, sorry.
[00:02:51.000 --> 00:02:54.000]   No, we're using another week's potential having the message sponsor.
[00:02:54.000 --> 00:02:56.000]   I don't think they're sponsoring anybody.
[00:02:56.000 --> 00:02:57.000]   You know what?
[00:02:57.000 --> 00:02:59.000]   We're actually gonna use...
[00:02:59.000 --> 00:03:07.000]   We're using for...
[00:03:07.000 --> 00:03:11.000]   We have a new show that comes out of Austin, the NSFW show with Brian Brushwood.
[00:03:11.000 --> 00:03:13.000]   And this...
[00:03:13.000 --> 00:03:15.000]   Get this, talk about weird, but it works really well.
[00:03:15.000 --> 00:03:17.000]   We gave him a sling box.
[00:03:17.000 --> 00:03:18.000]   Ooh.
[00:03:18.000 --> 00:03:20.000]   And we're using a sling catcher at this end.
[00:03:20.000 --> 00:03:26.000]   Sling box is the thing you hook up to your cable and you know, you put in your television, you know, hutch.
[00:03:26.000 --> 00:03:31.000]   And you put your cable into it and your ethernet into it and you can put your DVD or DVR or whatever.
[00:03:31.000 --> 00:03:33.000]   And then it gives you internet access to all of those.
[00:03:33.000 --> 00:03:35.000]   And it's tuned to give you...
[00:03:35.000 --> 00:03:38.000]   You know, there's a lot of latency, but that's fine because it's not a two-way show in this case.
[00:03:38.000 --> 00:03:39.000]   Okay.
[00:03:39.000 --> 00:03:43.000]   But it's tuned to give you high quality 720p video.
[00:03:43.000 --> 00:03:44.000]   So he...
[00:03:44.000 --> 00:03:48.000]   It wouldn't work if you were taking calls with us because there's too much latency.
[00:03:48.000 --> 00:03:49.000]   Right.
[00:03:49.000 --> 00:03:51.000]   But because we're just taking his show and passing it on.
[00:03:51.000 --> 00:03:52.000]   And passing it on.
[00:03:52.000 --> 00:03:53.000]   It's got high quality.
[00:03:53.000 --> 00:03:54.000]   It's very high quality.
[00:03:54.000 --> 00:03:58.000]   And we use a sling catcher here and it's high def coming to us and then we can put it out.
[00:03:58.000 --> 00:04:00.000]   So we might do that with CES as well.
[00:04:00.000 --> 00:04:01.000]   That's interesting.
[00:04:01.000 --> 00:04:02.000]   Isn't that interesting?
[00:04:02.000 --> 00:04:03.000]   That's very interesting.
[00:04:03.000 --> 00:04:07.000]   Credit Colleen, I would not have thought of using a consumer product like that, but she thought,
[00:04:07.000 --> 00:04:12.000]   you know, it's tuned for internet, high bandwidth, high quality.
[00:04:12.000 --> 00:04:16.000]   They must have a, you know, some secret sauce and they do.
[00:04:16.000 --> 00:04:17.000]   Evidently.
[00:04:17.000 --> 00:04:23.000]   Etchoo says that I was a bit wonky in my appearance on NSFW last week.
[00:04:23.000 --> 00:04:25.000]   He says, "I like the classy Leo."
[00:04:25.000 --> 00:04:27.000]   Well, it's NSFW.
[00:04:27.000 --> 00:04:28.000]   It's NSFW.
[00:04:28.000 --> 00:04:32.000]   But if you prefer the classic Leo, I can do that.
[00:04:32.000 --> 00:04:37.000]   Now, gentlemen, our first story of the week.
[00:04:37.000 --> 00:04:40.000]   Ahhh.
[00:04:40.000 --> 00:04:43.000]   It's awesome Charles Grootman press here.
[00:04:43.000 --> 00:04:46.000]   That's awesome.
[00:04:46.000 --> 00:04:49.000]   How about those new I9s?
[00:04:49.000 --> 00:04:51.000]   You want to talk about the I9 really?
[00:04:51.000 --> 00:04:52.000]   You're coming soon.
[00:04:52.000 --> 00:04:53.000]   Really? The I9?
[00:04:53.000 --> 00:04:54.000]   You're coming soon.
[00:04:54.000 --> 00:04:55.000]   Possibly January 3rd.
[00:04:55.000 --> 00:04:57.000]   What is, is that the six core?
[00:04:57.000 --> 00:04:58.000]   That's six cores.
[00:04:58.000 --> 00:05:07.000]   Golf town, which means that we would get 24 virtual cores instead of 16 in a Mac Pro, which would be awesome.
[00:05:07.000 --> 00:05:13.000]   So do you have the I7, a hyper threaded four quad?
[00:05:13.000 --> 00:05:14.000]   Yeah, that's 16.
[00:05:14.000 --> 00:05:15.000]   Those are 16s.
[00:05:15.000 --> 00:05:16.000]   And I have two of those.
[00:05:16.000 --> 00:05:17.000]   And I have two of those.
[00:05:17.000 --> 00:05:18.000]   And I have two of those.
[00:05:18.000 --> 00:05:19.000]   And I have two of those.
[00:05:19.000 --> 00:05:20.000]   And I have two of those.
[00:05:20.000 --> 00:05:21.000]   And I have two of those.
[00:05:21.000 --> 00:05:22.000]   And I have two of those.
[00:05:22.000 --> 00:05:23.000]   And I have two of those.
[00:05:23.000 --> 00:05:24.000]   And I have two of those.
[00:05:24.000 --> 00:05:25.000]   And I have two of those.
[00:05:25.000 --> 00:05:26.000]   Is it noticeably fat?
[00:05:26.000 --> 00:05:27.000]   Now it's really, so it's an eight core, hyper threaded.
[00:05:27.000 --> 00:05:29.000]   And it's four dual core chips.
[00:05:29.000 --> 00:05:30.000]   If you have a--
[00:05:30.000 --> 00:05:31.000]   It's crazy.
[00:05:31.000 --> 00:05:32.000]   That's crazy talk.
[00:05:32.000 --> 00:05:33.000]   But I got to tell you.
[00:05:33.000 --> 00:05:34.000]   It's insane.
[00:05:34.000 --> 00:05:35.000]   It is--
[00:05:35.000 --> 00:05:37.000]   It's like a pancake.
[00:05:37.000 --> 00:05:39.000]   It's like stacked up like--
[00:05:39.000 --> 00:05:40.000]   Oh, no.
[00:05:40.000 --> 00:05:41.000]   It's not a pancake.
[00:05:41.000 --> 00:05:42.000]   It's a hot plate, Leo.
[00:05:42.000 --> 00:05:43.000]   Yeah.
[00:05:43.000 --> 00:05:46.000]   The real issue we're running into is 32-bit apps versus 64-bit apps.
[00:05:46.000 --> 00:05:47.000]   You want to go all 64 with it?
[00:05:47.000 --> 00:05:48.000]   It's a memory issue.
[00:05:48.000 --> 00:05:49.000]   You know, we run out of memory.
[00:05:49.000 --> 00:05:53.000]   So we were trying to run really big 3D renders and so on and so forth.
[00:05:53.000 --> 00:05:55.000]   We were just talking about that this morning.
[00:05:55.000 --> 00:05:56.000]   We were--
[00:05:56.000 --> 00:05:59.000]   We need to render something at 6,000K-- you know, or 6,000K?
[00:05:59.000 --> 00:06:02.000]   You know, 6K wide.
[00:06:02.000 --> 00:06:06.000]   And with lots of good stuff turned on.
[00:06:06.000 --> 00:06:08.000]   And we're not sure if we can do it on the max side.
[00:06:08.000 --> 00:06:12.000]   We're going to have to reboot it into Windows and render it--
[00:06:12.000 --> 00:06:16.000]   Render the same application in Windows 7 because that application is 64-bit.
[00:06:16.000 --> 00:06:20.000]   So you're just now accommodating this and now all of a sudden Intel says, "Okay."
[00:06:20.000 --> 00:06:25.000]   By the way, this was a little nip-slip by a Polish website, PC Lab.
[00:06:25.000 --> 00:06:28.000]   So, you know, I don't know.
[00:06:28.000 --> 00:06:29.000]   Take it with a grain of salt.
[00:06:29.000 --> 00:06:30.000]   I don't know.
[00:06:30.000 --> 00:06:33.000]   It says that it will be codenamed "Golftown."
[00:06:33.000 --> 00:06:37.000]   These are six core Xeon chips.
[00:06:37.000 --> 00:06:44.000]   The new chips, according to PC Lab, are nearly 50% faster than the previous quad core-- it
[00:06:44.000 --> 00:06:48.000]   says Xenon in this story, which makes me even more suspect.
[00:06:48.000 --> 00:06:53.000]   They mean Xenon during parallel tests and use up to-- you know, we'll see.
[00:06:53.000 --> 00:06:56.000]   Well, the thing is, in the last core, Apple got them first.
[00:06:56.000 --> 00:06:57.000]   You know, in the last--
[00:06:57.000 --> 00:07:00.000]   Yeah, Apple seems to be-- I guess they're one of Intel's best customers.
[00:07:00.000 --> 00:07:01.000]   So they got them first.
[00:07:01.000 --> 00:07:04.000]   And so if they're-- it looks like they're getting ready to release something.
[00:07:04.000 --> 00:07:07.000]   And if they're going to release something, there's a good chance that we're going to get them.
[00:07:07.000 --> 00:07:11.000]   And what's really interesting is for Apple to not be at Macworld because they don't want
[00:07:11.000 --> 00:07:16.000]   to release stuff, but it sounds like they're warming up to release it or near CES.
[00:07:16.000 --> 00:07:20.000]   Well, if PC Lab is not Fibben--
[00:07:20.000 --> 00:07:21.000]   Right.
[00:07:21.000 --> 00:07:24.000]   --and they really did get these results-- by the way, they took the page down immediately
[00:07:24.000 --> 00:07:26.000]   at the request of Intel, they say.
[00:07:26.000 --> 00:07:30.000]   Of course, that would be the case, and they'll never get another pre-release chip again.
[00:07:30.000 --> 00:07:36.000]   If it's the case, if it's not just made up, I don't know this site, so I don't know how credible this is.
[00:07:36.000 --> 00:07:42.000]   But apparently somebody, you know, snapped a picture of the page or cashed it or something.
